,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
263,2020-09-12T00:00:00.000,Rappahannock Rapidan,30-39,450,20,1
264,2020-09-12T00:00:00.000,Rappahannock Rapidan,40-49,425,25,3
265,2020-09-12T00:00:00.000,Rappahannock Rapidan,50-59,375,38,2
266,2020-09-12T00:00:00.000,Rappahannock Rapidan,60-69,209,30,6
267,2020-09-12T00:00:00.000,Rappahannock Rapidan,70-79,88,18,10
268,2020-09-12T00:00:00.000,Rappahannock Rapidan,80+,89,23,21
269,2020-09-12T00:00:00.000,Rappahannock Rapidan,Missing,14,0,0
270,2020-09-12T00:00:00.000,Richmond,0-9,158,6,0
271,2020-09-12T00:00:00.000,Richmond,10-19,405,5,0
272,2020-09-12T00:00:00.000,Richmond,20-29,1162,23,0
273,2020-09-12T00:00:00.000,Richmond,30-39,870,50,1
274,2020-09-12T00:00:00.000,Richmond,40-49,592,45,5
275,2020-09-12T00:00:00.000,Richmond,50-59,461,78,3
276,2020-09-12T00:00:00.000,Richmond,60-69,343,82,8
277,2020-09-12T00:00:00.000,Richmond,70-79,172,70,19
278,2020-09-12T00:00:00.000,Richmond,80+,100,36,14
279,2020-09-12T00:00:00.000,Richmond,Missing,28,1,0
280,2020-09-12T00:00:00.000,Roanoke,0-9,50,0,0
281,2020-09-12T00:00:00.000,Roanoke,10-19,145,1,0
282,2020-09-12T00:00:00.000,Roanoke,20-29,302,6,0
283,2020-09-12T00:00:00.000,Roanoke,30-39,276,6,0
284,2020-09-12T00:00:00.000,Roanoke,40-49,200,8,0
285,2020-09-12T00:00:00.000,Roanoke,50-59,145,8,0
286,2020-09-12T00:00:00.000,Roanoke,60-69,99,9,1
287,2020-09-12T00:00:00.000,Roanoke,70-79,60,10,2
288,2020-09-12T00:00:00.000,Roanoke,80+,85,8,12
289,2020-09-12T00:00:00.000,Roanoke,Missing,3,0,0
290,2020-09-12T00:00:00.000,Southside,0-9,25,0,0
291,2020-09-12T00:00:00.000,Southside,10-19,49,0,0
292,2020-09-12T00:00:00.000,Southside,20-29,168,2,0
293,2020-09-12T00:00:00.000,Southside,30-39,221,4,0
294,2020-09-12T00:00:00.000,Southside,40-49,200,6,0
295,2020-09-12T00:00:00.000,Southside,50-59,193,14,1
296,2020-09-12T00:00:00.000,Southside,60-69,163,20,8
297,2020-09-12T00:00:00.000,Southside,70-79,111,18,17
298,2020-09-12T00:00:00.000,Southside,80+,100,12,13
299,2020-09-12T00:00:00.000,Southside,Missing,2,0,0
300,2020-09-12T00:00:00.000,Thomas Jefferson,0-9,115,1,0
301,2020-09-12T00:00:00.000,Thomas Jefferson,10-19,446,3,0
302,2020-09-12T00:00:00.000,Thomas Jefferson,20-29,573,3,0
303,2020-09-12T00:00:00.000,Thomas Jefferson,30-39,447,13,0
304,2020-09-12T00:00:00.000,Thomas Jefferson,40-49,382,22,0
305,2020-09-12T00:00:00.000,Thomas Jefferson,50-59,302,25,2
306,2020-09-12T00:00:00.000,Thomas Jefferson,60-69,227,40,6
307,2020-09-12T00:00:00.000,Thomas Jefferson,70-79,164,30,14
308,2020-09-12T00:00:00.000,Thomas Jefferson,80+,182,40,36
309,2020-09-12T00:00:00.000,Thomas Jefferson,Missing,4,0,0
310,2020-09-12T00:00:00.000,Three Rivers,0-9,34,1,0
311,2020-09-12T00:00:00.000,Three Rivers,10-19,94,1,0
312,2020-09-12T00:00:00.000,Three Rivers,20-29,270,4,0
313,2020-09-12T00:00:00.000,Three Rivers,30-39,256,8,0
314,2020-09-12T00:00:00.000,Three Rivers,40-49,256,16,2
315,2020-09-12T00:00:00.000,Three Rivers,50-59,221,15,0
316,2020-09-12T00:00:00.000,Three Rivers,60-69,168,21,2
317,2020-09-12T00:00:00.000,Three Rivers,70-79,82,18,8
318,2020-09-12T00:00:00.000,Three Rivers,80+,69,15,10
319,2020-09-12T00:00:00.000,Three Rivers,Missing,13,1,0
320,2020-09-12T00:00:00.000,Virginia Beach,0-9,222,1,0
321,2020-09-12T00:00:00.000,Virginia Beach,10-19,510,1,0
322,2020-09-12T00:00:00.000,Virginia Beach,20-29,1646,13,0
323,2020-09-12T00:00:00.000,Virginia Beach,30-39,1228,25,1
324,2020-09-12T00:00:00.000,Virginia Beach,40-49,851,35,2
325,2020-09-12T00:00:00.000,Virginia Beach,50-59,755,46,3
326,2020-09-12T00:00:00.000,Virginia Beach,60-69,565,70,9
