,report_date,health_district,number_of_cases,number_of_hospitalizations,number_of_deaths
203,2020-10-25T00:00:00.000,Roanoke,2647,96,37
204,2020-10-25T00:00:00.000,Southside,1781,90,48
205,2020-10-25T00:00:00.000,Thomas Jefferson,4376,230,77
206,2020-10-25T00:00:00.000,Three Rivers,2226,136,39
207,2020-10-25T00:00:00.000,Virginia Beach,7802,431,104
208,2020-10-25T00:00:00.000,Western Tidewater,4546,233,154
209,2020-10-25T00:00:00.000,West Piedmont,2881,290,87
210,2020-10-24T00:00:00.000,Alexandria,4200,323,74
211,2020-10-24T00:00:00.000,Alleghany,2514,114,36
212,2020-10-24T00:00:00.000,Arlington,4508,533,154
213,2020-10-24T00:00:00.000,Central Shenandoah,6663,293,82
214,2020-10-24T00:00:00.000,Central Virginia,4596,177,60
215,2020-10-24T00:00:00.000,Chesapeake,4833,474,78
216,2020-10-24T00:00:00.000,Chesterfield,7538,455,133
217,2020-10-24T00:00:00.000,Chickahominy,2295,184,57
218,2020-10-24T00:00:00.000,Crater,4943,300,115
219,2020-10-24T00:00:00.000,Cumberland Plateau,1316,83,13
220,2020-10-24T00:00:00.000,Eastern Shore,1523,145,50
221,2020-10-24T00:00:00.000,Fairfax,23463,2260,621
222,2020-10-24T00:00:00.000,Hampton,2090,88,32
223,2020-10-24T00:00:00.000,Henrico,6175,479,232
224,2020-10-24T00:00:00.000,Lenowisco,1393,104,24
225,2020-10-24T00:00:00.000,Lord Fairfax,3833,320,130
226,2020-10-24T00:00:00.000,Loudoun,7730,475,130
227,2020-10-24T00:00:00.000,Mount Rogers,3602,301,146
228,2020-10-24T00:00:00.000,New River,4246,76,27
229,2020-10-24T00:00:00.000,Norfolk,5306,406,85
230,2020-10-24T00:00:00.000,Peninsula,5020,220,92
231,2020-10-24T00:00:00.000,Piedmont,2439,151,56
232,2020-10-24T00:00:00.000,Pittsylvania-Danville,2422,184,59
233,2020-10-24T00:00:00.000,Portsmouth,2798,306,69
234,2020-10-24T00:00:00.000,Prince William,16615,1174,258
235,2020-10-24T00:00:00.000,Rappahannock,5977,427,88
236,2020-10-24T00:00:00.000,Rappahannock Rapidan,3002,193,55
237,2020-10-24T00:00:00.000,Richmond,5235,449,76
238,2020-10-24T00:00:00.000,Roanoke,2624,94,37
239,2020-10-24T00:00:00.000,Southside,1769,90,48
240,2020-10-24T00:00:00.000,Thomas Jefferson,4340,230,77
241,2020-10-24T00:00:00.000,Three Rivers,2215,136,39
242,2020-10-24T00:00:00.000,Virginia Beach,7758,431,104
243,2020-10-24T00:00:00.000,Western Tidewater,4539,233,154
244,2020-10-24T00:00:00.000,West Piedmont,2852,290,87
245,2020-10-23T00:00:00.000,Alexandria,4179,326,75
246,2020-10-23T00:00:00.000,Alleghany,2467,112,35
247,2020-10-23T00:00:00.000,Arlington,4488,531,153
248,2020-10-23T00:00:00.000,Central Shenandoah,6607,292,78
249,2020-10-23T00:00:00.000,Central Virginia,4560,177,59
250,2020-10-23T00:00:00.000,Chesapeake,4823,472,78
251,2020-10-23T00:00:00.000,Chesterfield,7461,451,132
252,2020-10-23T00:00:00.000,Chickahominy,2275,183,57
253,2020-10-23T00:00:00.000,Crater,4923,299,114
254,2020-10-23T00:00:00.000,Cumberland Plateau,1298,82,13
255,2020-10-23T00:00:00.000,Eastern Shore,1522,145,50
256,2020-10-23T00:00:00.000,Fairfax,23367,2255,621
257,2020-10-23T00:00:00.000,Hampton,2079,87,32
258,2020-10-23T00:00:00.000,Henrico,6136,478,229
259,2020-10-23T00:00:00.000,Lenowisco,1343,103,23
260,2020-10-23T00:00:00.000,Lord Fairfax,3809,319,128
261,2020-10-23T00:00:00.000,Loudoun,7704,471,130
262,2020-10-23T00:00:00.000,Mount Rogers,3546,301,144
263,2020-10-23T00:00:00.000,New River,4180,76,27
264,2020-10-23T00:00:00.000,Norfolk,5282,405,85
265,2020-10-23T00:00:00.000,Peninsula,4985,218,91
266,2020-10-23T00:00:00.000,Piedmont,2413,150,55
267,2020-10-23T00:00:00.000,Pittsylvania-Danville,2409,178,59
268,2020-10-23T00:00:00.000,Portsmouth,2793,301,69
269,2020-10-23T00:00:00.000,Prince William,16582,1173,258
270,2020-10-23T00:00:00.000,Rappahannock,5957,426,86
271,2020-10-23T00:00:00.000,Rappahannock Rapidan,2993,193,55
272,2020-10-23T00:00:00.000,Richmond,5218,445,68
273,2020-10-23T00:00:00.000,Roanoke,2578,93,35
274,2020-10-23T00:00:00.000,Southside,1749,90,48
275,2020-10-23T00:00:00.000,Thomas Jefferson,4296,223,77
276,2020-10-23T00:00:00.000,Three Rivers,2204,136,38
277,2020-10-23T00:00:00.000,Virginia Beach,7722,428,103
278,2020-10-23T00:00:00.000,Western Tidewater,4526,233,148
279,2020-10-23T00:00:00.000,West Piedmont,2810,288,86
280,2020-10-22T00:00:00.000,Alexandria,4162,326,75
281,2020-10-22T00:00:00.000,Alleghany,2412,108,33
282,2020-10-22T00:00:00.000,Arlington,4457,524,152
283,2020-10-22T00:00:00.000,Central Shenandoah,6557,290,78
284,2020-10-22T00:00:00.000,Central Virginia,4520,175,58
285,2020-10-22T00:00:00.000,Chesapeake,4806,469,78
286,2020-10-22T00:00:00.000,Chesterfield,7431,445,131
287,2020-10-22T00:00:00.000,Chickahominy,2261,183,57
288,2020-10-22T00:00:00.000,Crater,4896,299,114
289,2020-10-22T00:00:00.000,Cumberland Plateau,1267,81,13
290,2020-10-22T00:00:00.000,Eastern Shore,1520,144,50
291,2020-10-22T00:00:00.000,Fairfax,23245,2247,620
292,2020-10-22T00:00:00.000,Hampton,2071,87,32
293,2020-10-22T00:00:00.000,Henrico,6096,476,227
294,2020-10-22T00:00:00.000,Lenowisco,1328,102,23
295,2020-10-22T00:00:00.000,Lord Fairfax,3773,317,126
296,2020-10-22T00:00:00.000,Loudoun,7680,470,130
297,2020-10-22T00:00:00.000,Mount Rogers,3491,300,144
298,2020-10-22T00:00:00.000,New River,4131,75,28
299,2020-10-22T00:00:00.000,Norfolk,5243,402,85
300,2020-10-22T00:00:00.000,Peninsula,4963,217,91
301,2020-10-22T00:00:00.000,Piedmont,2395,149,55
302,2020-10-22T00:00:00.000,Pittsylvania-Danville,2399,176,58
303,2020-10-22T00:00:00.000,Portsmouth,2762,299,67
304,2020-10-22T00:00:00.000,Prince William,16496,1174,258
305,2020-10-22T00:00:00.000,Rappahannock,5924,425,86
306,2020-10-22T00:00:00.000,Rappahannock Rapidan,2973,190,54
