,age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
264,Unknown,109,2020-05-19,0.1,0.0,0.0,0.0
265,0-17,3855,2020-05-20,4.5,0.0,0.0,22.5
266,18-49,43749,2020-05-20,50.8,198.0,5.7,43.5
267,50-64,20967,2020-05-20,24.3,522.0,15.1,18.4
268,65+,17513,2020-05-20,20.3,2731.0,79.1,15.6
269,Unknown,113,2020-05-20,0.1,0.0,0.0,0.0
270,0-17,4049,2020-05-21,4.6,0.0,0.0,22.5
271,18-49,44952,2020-05-21,50.8,203.0,5.7,43.5
272,50-64,21461,2020-05-21,24.3,536.0,15.1,18.4
273,65+,17864,2020-05-21,20.2,2805.0,79.1,15.6
274,Unknown,118,2020-05-21,0.1,0.0,0.0,0.0
275,0-17,4273,2020-05-22,4.7,0.0,0.0,22.5
276,18-49,46131,2020-05-22,50.9,203.0,5.7,43.5
277,50-64,21938,2020-05-22,24.2,544.0,15.2,18.4
278,65+,18164,2020-05-22,20.0,2842.0,79.2,15.6
279,Unknown,125,2020-05-22,0.1,0.0,0.0,0.0
280,0-17,4462,2020-05-23,4.8,0.0,0.0,22.5
281,18-49,47331,2020-05-23,51.1,204.0,5.6,43.5
282,50-64,22361,2020-05-23,24.1,556.0,15.2,18.4
283,65+,18424,2020-05-23,19.9,2885.0,79.1,15.6
284,Unknown,132,2020-05-23,0.1,1.0,0.0,0.0
285,0-17,4633,2020-05-24,4.9,0.0,0.0,22.5
286,18-49,48364,2020-05-24,51.1,206.0,5.6,43.5
287,50-64,22754,2020-05-24,24.1,560.0,15.3,18.4
288,65+,18670,2020-05-24,19.7,2899.0,79.1,15.6
289,Unknown,137,2020-05-24,0.1,1.0,0.0,0.0
290,0-17,4872,2020-05-25,5.0,0.0,0.0,22.5
291,18-49,49643,2020-05-25,51.3,208.0,5.7,43.5
292,50-64,23185,2020-05-25,24.0,560.0,15.2,18.4
293,65+,18898,2020-05-25,19.5,2911.0,79.1,15.6
294,Unknown,135,2020-05-25,0.1,0.0,0.0,0.0
295,0-17,5122,2020-05-26,5.2,0.0,0.0,22.5
296,18-49,50981,2020-05-26,51.5,210.0,5.7,43.5
