County Name,Scrape Time,Total Cases,Total Deaths
Holt,2020-05-25 20:50:59.330466,1,0
Audrain,2020-05-25 20:50:59.330466,60,0
Mercer,2020-05-25 20:50:59.330466,0,0
St Louis,2020-05-25 20:50:59.330466,4544,386
Carter,2020-05-25 20:50:59.330466,5,1
Shelby,2020-05-26 21:05:17.006088,1,0
Warren,2020-05-26 21:05:17.006088,26,0
St Clair,2020-05-26 21:05:17.006088,2,0
Shannon,2020-05-26 21:05:17.006088,0,0
Pemiscot,2020-05-26 21:05:17.006088,76,4
Ralls,2020-05-26 21:05:17.006088,3,0
Pulaski,2020-05-26 21:05:17.006088,33,1
Harrison,2020-05-26 21:05:17.006088,9,0
Grundy,2020-05-26 21:05:17.006088,2,0
Oregon,2020-05-26 21:05:17.006088,2,0
Dade,2020-05-26 21:05:17.006088,0,0
Scotland,2020-05-26 21:05:17.006088,4,0
Cass,2020-05-26 21:05:17.006088,82,7
Wayne,2020-05-26 21:05:17.006088,0,0
Hickory,2020-05-26 21:05:17.006088,0,0
Dallas,2020-05-26 21:05:17.006088,2,0
Washington,2020-05-26 21:05:17.006088,10,1
Pike,2020-05-26 21:05:17.006088,15,1
Caldwell,2020-05-26 21:05:17.006088,5,0
Adair,2020-05-26 21:05:17.006088,46,0
Platte,2020-05-26 21:05:17.006088,67,2
Butler,2020-05-26 21:05:17.006088,28,0
Cape Girardeau,2020-05-26 21:05:17.006088,64,2
Ozark,2020-05-26 21:05:17.006088,0,0
Bates,2020-05-26 21:05:17.006088,7,1
Putnam,2020-05-26 21:05:17.006088,0,0
Osage,2020-05-26 21:05:17.006088,5,0
Jackson,2020-05-26 21:05:17.006088,528,15
Stoddard,2020-05-26 21:05:17.006088,74,4
Johnson,2020-05-26 21:05:17.006088,73,0
McDonald,2020-05-26 21:05:17.006088,17,0
Crawford,2020-05-26 21:05:17.006088,8,0
Clinton,2020-05-26 21:05:17.006088,18,0
Linn,2020-05-26 21:05:17.006088,6,1
Barry,2020-05-26 21:05:17.006088,9,0
Cole,2020-05-26 21:05:17.006088,60,1
Dent,2020-05-26 21:05:17.006088,1,0
Miller,2020-05-26 21:05:17.006088,4,0
Reynolds,2020-05-26 21:05:17.006088,2,0
Saline,2020-05-26 21:05:17.006088,267,0
Christian,2020-05-26 21:05:17.006088,20,0
Montgomery,2020-05-26 21:05:17.006088,8,0
Worth,2020-05-26 21:05:17.006088,4,0
Pettis,2020-05-26 21:05:17.006088,70,1
Clark,2020-05-26 21:05:17.006088,1,0
Marion,2020-05-26 21:05:17.006088,5,0
Cooper,2020-05-26 21:05:17.006088,9,0
Phelps,2020-05-26 21:05:17.006088,4,0
Greene,2020-05-26 21:05:17.006088,120,8
Monroe,2020-05-26 21:05:17.006088,0,0
Daviess,2020-05-26 21:05:17.006088,4,0
Barton,2020-05-26 21:05:17.006088,0,0
Ripley,2020-05-26 21:05:17.006088,7,0
Gentry,2020-05-26 21:05:17.006088,19,0
Benton,2020-05-26 21:05:17.006088,10,0
Wright,2020-05-26 21:05:17.006088,11,0
Lincoln,2020-05-26 21:05:17.006088,81,1
Howell,2020-05-26 21:05:17.006088,5,0
Schuyler,2020-05-26 21:05:17.006088,2,0
Maries,2020-05-26 21:05:17.006088,2,0
Laclede,2020-05-26 21:05:17.006088,3,0
DeKalb,2020-05-26 21:05:17.006088,6,0
Vernon,2020-05-26 21:05:17.006088,9,0
Buchanan,2020-05-26 21:05:17.006088,640,2
Clay,2020-05-26 21:05:17.006088,149,2
Stone,2020-05-26 21:05:17.006088,4,0
Bollinger,2020-05-26 21:05:17.006088,6,0
Jefferson,2020-05-26 21:05:17.006088,324,16
Knox,2020-05-26 21:05:17.006088,0,0
Lafayette,2020-05-26 21:05:17.006088,71,1
Nodaway,2020-05-26 21:05:17.006088,12,0
Gasconade,2020-05-26 21:05:17.006088,2,0
Kansas City,2020-05-26 21:05:17.006088,1071,25
Livingston,2020-05-26 21:05:17.006088,3,0
Perry,2020-05-26 21:05:17.006088,49,0
Franklin,2020-05-26 21:05:17.006088,139,16
New Madrid,2020-05-26 21:05:17.006088,17,1
Iron,2020-05-26 21:05:17.006088,2,0
Howard,2020-05-26 21:05:17.006088,3,0
Randolph,2020-05-26 21:05:17.006088,9,0
Lewis,2020-05-26 21:05:17.006088,7,1
Texas,2020-05-26 21:05:17.006088,0,0
Douglas,2020-05-26 21:05:17.006088,0,0
Moniteau,2020-05-26 21:05:17.006088,45,1
Callaway,2020-05-26 21:05:17.006088,26,1
Atchison,2020-05-26 21:05:17.006088,3,0
St Charles,2020-05-26 21:05:17.006088,748,54
Ste Genevieve,2020-05-26 21:05:17.006088,9,1
Jasper,2020-05-26 21:05:17.006088,20,0
Joplin,2020-05-26 21:05:17.006088,12,0
Cedar,2020-05-26 21:05:17.006088,9,0
Andrew,2020-05-26 21:05:17.006088,24,0
Carroll,2020-05-26 21:05:17.006088,7,0
Henry,2020-05-26 21:05:17.006088,10,3
Madison,2020-05-26 21:05:17.006088,3,0
Boone,2020-05-26 21:05:17.006088,123,1
Ray,2020-05-26 21:05:17.006088,18,0
Sullivan,2020-05-26 21:05:17.006088,53,0
Taney,2020-05-26 21:05:17.006088,13,2
St Louis City,2020-05-26 21:05:17.006088,1748,108
Newton,2020-05-26 21:05:17.006088,16,1
Webster,2020-05-26 21:05:17.006088,17,0
Lawrence,2020-05-26 21:05:17.006088,7,0
Dunklin,2020-05-26 21:05:17.006088,30,2
Macon,2020-05-26 21:05:17.006088,2,0
Polk,2020-05-26 21:05:17.006088,2,0
Camden,2020-05-26 21:05:17.006088,37,1
Chariton,2020-05-26 21:05:17.006088,5,0
St Francois,2020-05-26 21:05:17.006088,32,2
Morgan,2020-05-26 21:05:17.006088,9,0
Holt,2020-05-26 21:05:17.006088,1,0
Audrain,2020-05-26 21:05:17.006088,61,0
Mercer,2020-05-26 21:05:17.006088,0,0
St Louis,2020-05-26 21:05:17.006088,4583,386
Carter,2020-05-26 21:05:17.006088,5,1
Shelby,2020-05-27 20:41:02.233354,1,0
Warren,2020-05-27 20:41:02.233354,26,0
St Clair,2020-05-27 20:41:02.233354,2,0
Shannon,2020-05-27 20:41:02.233354,1,0
Pemiscot,2020-05-27 20:41:02.233354,76,4
Ralls,2020-05-27 20:41:02.233354,3,0
Pulaski,2020-05-27 20:41:02.233354,34,1
Harrison,2020-05-27 20:41:02.233354,8,0
Grundy,2020-05-27 20:41:02.233354,2,0
Oregon,2020-05-27 20:41:02.233354,2,0
Dade,2020-05-27 20:41:02.233354,0,0
Scotland,2020-05-27 20:41:02.233354,4,0
Cass,2020-05-27 20:41:02.233354,82,7
Wayne,2020-05-27 20:41:02.233354,0,0
Hickory,2020-05-27 20:41:02.233354,0,0
Dallas,2020-05-27 20:41:02.233354,2,0
Washington,2020-05-27 20:41:02.233354,10,1
Pike,2020-05-27 20:41:02.233354,16,1
Caldwell,2020-05-27 20:41:02.233354,5,0
Adair,2020-05-27 20:41:02.233354,45,0
Platte,2020-05-27 20:41:02.233354,68,2
Butler,2020-05-27 20:41:02.233354,28,0
Cape Girardeau,2020-05-27 20:41:02.233354,68,2
Ozark,2020-05-27 20:41:02.233354,0,0
Bates,2020-05-27 20:41:02.233354,7,1
Putnam,2020-05-27 20:41:02.233354,0,0
Osage,2020-05-27 20:41:02.233354,5,0
Jackson,2020-05-27 20:41:02.233354,540,15
Stoddard,2020-05-27 20:41:02.233354,74,5
Johnson,2020-05-27 20:41:02.233354,73,0
McDonald,2020-05-27 20:41:02.233354,18,0
Crawford,2020-05-27 20:41:02.233354,8,0
Clinton,2020-05-27 20:41:02.233354,18,0
Linn,2020-05-27 20:41:02.233354,6,1
Barry,2020-05-27 20:41:02.233354,9,0
Cole,2020-05-27 20:41:02.233354,60,1
Dent,2020-05-27 20:41:02.233354,1,0
Miller,2020-05-27 20:41:02.233354,4,0
Reynolds,2020-05-27 20:41:02.233354,2,0
Saline,2020-05-27 20:41:02.233354,267,0
Christian,2020-05-27 20:41:02.233354,20,0
Montgomery,2020-05-27 20:41:02.233354,8,0
Worth,2020-05-27 20:41:02.233354,4,0
Pettis,2020-05-27 20:41:02.233354,71,1
Clark,2020-05-27 20:41:02.233354,1,0
Marion,2020-05-27 20:41:02.233354,5,0
Cooper,2020-05-27 20:41:02.233354,9,0
Phelps,2020-05-27 20:41:02.233354,4,0
