County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Moniteau,MO,,2.0,0.0,2.0,2020-03-30 20:37:30.944032
Monroe,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Montgomery,MO,,2.0,0.0,2.0,2020-03-30 20:37:30.944032
Morgan,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
New Madrid,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Newton,MO,,4.0,3.0,1.0,2020-03-30 20:37:30.944032
Nodaway,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Oregon,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Osage,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Ozark,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Pemiscot,MO,,2.0,0.0,2.0,2020-03-30 20:37:30.944032
Perry,MO,,12.0,9.0,3.0,2020-03-30 20:37:30.944032
Pettis,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Phelps,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Pike,MO,,1.0,1.0,0.0,2020-03-30 20:37:30.944032
Platte,MO,,7.0,0.0,7.0,2020-03-30 20:37:30.944032
Polk,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Pulaski,MO,,6.0,1.0,5.0,2020-03-30 20:37:30.944032
Putnam,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Ralls,MO,,1.0,1.0,0.0,2020-03-30 20:37:30.944032
Randolph,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Ray,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Reynolds,MO,,2.0,1.0,1.0,2020-03-30 20:37:30.944032
Ripley,MO,,2.0,0.0,2.0,2020-03-30 20:37:30.944032
Saline,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Schuyler,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Scotland,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Scott,MO,,5.0,1.0,4.0,2020-03-30 20:37:30.944032
Shannon,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Shelby,MO,,1.0,1.0,0.0,2020-03-30 20:37:30.944032
St. Charles,MO,,56.0,11.0,45.0,2020-03-30 20:37:30.944032
St. Clair,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
St. Francois,MO,,3.0,1.0,2.0,2020-03-30 20:37:30.944032
Ste. Genevieve,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Stoddard,MO,,2.0,0.0,2.0,2020-03-30 20:37:30.944032
Stone,MO,,1.0,1.0,0.0,2020-03-30 20:37:30.944032
Sullivan,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Taney,MO,,2.0,0.0,2.0,2020-03-30 20:37:30.944032
Texas,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Vernon,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Warren,MO,,2.0,0.0,2.0,2020-03-30 20:37:30.944032
Washington,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Wayne,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Webster,MO,,1.0,0.0,1.0,2020-03-30 20:37:30.944032
Worth,MO,,0.0,0.0,0.0,2020-03-30 20:37:30.944032
Wright,MO,,4.0,1.0,3.0,2020-03-30 20:37:30.944032
TBD,MO,,12.0,2.0,10.0,2020-03-30 20:37:30.944032
County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
