County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Clay,MO,,16,0,16,10:56.6
Clinton,MO,,4,0,4,10:56.6
Cole,MO,,23,3,20,10:56.6
Cooper,MO,,2,0,2,10:56.6
Crawford,MO,,1,0,1,10:56.6
Dade,MO,,0,0,0,10:56.6
Dallas,MO,,0,0,0,10:56.6
Daviess,MO,,0,0,0,10:56.6
DeKalb,MO,,0,0,0,10:56.6
Dent,MO,,0,0,0,10:56.6
Douglas,MO,,0,0,0,10:56.6
Dunklin,MO,,5,0,5,10:56.6
Franklin,MO,,13,0,13,10:56.6
Gasconade,MO,,0,0,0,10:56.6
Gentry,MO,,0,0,0,10:56.6
Grundy,MO,,0,0,0,10:56.6
Harrison,MO,,1,0,1,10:56.6
Hickory,MO,,0,0,0,10:56.6
Holt,MO,,0,0,0,10:56.6
Howard,MO,,0,0,0,10:56.6
Howell,MO,,0,0,0,10:56.6
Iron,MO,,0,0,0,10:56.6
Jasper,MO,,4,1,3,10:56.6
Jefferson,MO,,30,3,27,10:56.6
Johnson,MO,,10,1,9,10:56.6
Joplin,MO,,2,0,2,10:56.6
Kansas City,MO,,119,2,117,10:56.6
Knox,MO,,0,0,0,10:56.6
Laclede,MO,,0,0,0,10:56.6
Lawrence,MO,,0,0,0,10:56.6
Lewis,MO,,0,0,0,10:56.6
Lincoln,MO,,7,1,6,10:56.6
Linn,MO,,0,0,0,10:56.6
Livingston,MO,,1,0,1,10:56.6
Macon,MO,,3,0,3,10:56.6
Madison,MO,,0,0,0,10:56.6
Maries,MO,,1,0,1,10:56.6
Marion,MO,,0,0,0,10:56.6
McDonald,MO,,2,0,2,10:56.6
Mercer,MO,,0,0,0,10:56.6
Miller,MO,,0,0,0,10:56.6
Mississippi,MO,,0,0,0,10:56.6
Moniteau,MO,,2,0,2,10:56.6
Monroe,MO,,0,0,0,10:56.6
Montgomery,MO,,2,0,2,10:56.6
Morgan,MO,,1,0,1,10:56.6
New Madrid,MO,,0,0,0,10:56.6
Newton,MO,,5,3,2,10:56.6
Nodaway,MO,,0,0,0,10:56.6
Oregon,MO,,0,0,0,10:56.6
Osage,MO,,1,0,1,10:56.6
Ozark,MO,,0,0,0,10:56.6
Pemiscot,MO,,2,0,2,10:56.6
