deaths,fips,hospitalizations,locality,report_date,total_cases,vdh_health_district
2,51073,15,Gloucester,2020-10-11 00:00:00,299,Three Rivers
7,51075,28,Goochland,2020-10-11 00:00:00,300,Chickahominy
17,51077,27,Grayson,2020-10-11 00:00:00,335,Mount Rogers
3,51079,11,Greene,2020-10-11 00:00:00,251,Thomas Jefferson
11,51081,37,Greensville,2020-10-11 00:00:00,829,Crater
7,51083,14,Halifax,2020-10-11 00:00:00,417,Southside
40,51085,108,Hanover,2020-10-11 00:00:00,1444,Chickahominy
221,51087,460,Henrico,2020-10-11 00:00:00,5750,Henrico
27,51089,129,Henry,2020-10-11 00:00:00,1177,West Piedmont
0,51091,0,Highland,2020-10-11 00:00:00,8,Central Shenandoah
21,51093,37,Isle of Wight,2020-10-11 00:00:00,802,Western Tidewater
21,51095,67,James City,2020-10-11 00:00:00,900,Peninsula
1,51097,12,King and Queen,2020-10-11 00:00:00,80,Three Rivers
4,51099,23,King George,2020-10-11 00:00:00,251,Rappahannock
2,51101,14,King William,2020-10-11 00:00:00,175,Three Rivers
0,51103,8,Lancaster,2020-10-11 00:00:00,168,Three Rivers
8,51105,28,Lee,2020-10-11 00:00:00,324,Lenowisco
128,51107,447,Loudoun,2020-10-11 00:00:00,7217,Loudoun
7,51109,31,Louisa,2020-10-11 00:00:00,331,Thomas Jefferson
3,51111,7,Lunenburg,2020-10-11 00:00:00,128,Piedmont
3,51113,8,Madison,2020-10-11 00:00:00,117,Rappahannock Rapidan
0,51115,8,Mathews,2020-10-11 00:00:00,113,Three Rivers
34,51117,45,Mecklenburg,2020-10-11 00:00:00,833,Southside
11,51119,8,Middlesex,2020-10-11 00:00:00,134,Three Rivers
5,51121,27,Montgomery,2020-10-11 00:00:00,2361,New River
2,51125,5,Nelson,2020-10-11 00:00:00,116,Thomas Jefferson
3,51127,14,New Kent,2020-10-11 00:00:00,251,Chickahominy
31,51131,49,Northampton,2020-10-11 00:00:00,311,Eastern Shore
6,51133,12,Northumberland,2020-10-11 00:00:00,196,Three Rivers
20,51135,44,Nottoway,2020-10-11 00:00:00,301,Piedmont
5,51137,22,Orange,2020-10-11 00:00:00,352,Rappahannock Rapidan
29,51139,46,Page,2020-10-11 00:00:00,430,Lord Fairfax
26,51141,52,Patrick,2020-10-11 00:00:00,292,West Piedmont
11,51143,67,Pittsylvania,2020-10-11 00:00:00,1150,Pittsylvania-Danville
5,51145,16,Powhatan,2020-10-11 00:00:00,254,Chesterfield
12,51147,34,Prince Edward,2020-10-11 00:00:00,660,Piedmont
5,51149,24,Prince George,2020-10-11 00:00:00,899,Crater
213,51153,944,Prince William,2020-10-11 00:00:00,13110,Prince William
5,51155,15,Pulaski,2020-10-11 00:00:00,253,New River
2,51157,5,Rappahannock,2020-10-11 00:00:00,66,Rappahannock Rapidan
4,51159,14,Richmond County,2020-10-11 00:00:00,360,Three Rivers
8,51161,38,Roanoke County,2020-10-11 00:00:00,1093,Alleghany
3,51163,7,Rockbridge,2020-10-11 00:00:00,140,Central Shenandoah
22,51165,120,Rockingham,2020-10-11 00:00:00,1622,Central Shenandoah
7,51167,30,Russell,2020-10-11 00:00:00,346,Cumberland Plateau
4,51169,20,Scott,2020-10-11 00:00:00,223,Lenowisco
59,51171,94,Shenandoah,2020-10-11 00:00:00,872,Lord Fairfax
21,51173,50,Smyth,2020-10-11 00:00:00,574,Mount Rogers
30,51175,23,Southampton,2020-10-11 00:00:00,813,Western Tidewater
46,51177,138,Spotsylvania,2020-10-11 00:00:00,2260,Rappahannock
19,51179,165,Stafford,2020-10-11 00:00:00,2155,Rappahannock
3,51181,10,Surry,2020-10-11 00:00:00,133,Crater
12,51183,29,Sussex,2020-10-11 00:00:00,632,Crater
2,51185,18,Tazewell,2020-10-11 00:00:00,377,Cumberland Plateau
13,51187,34,Warren,2020-10-11 00:00:00,484,Lord Fairfax
21,51191,72,Washington,2020-10-11 00:00:00,725,Mount Rogers
4,51193,25,Westmoreland,2020-10-11 00:00:00,288,Three Rivers
9,51195,35,Wise,2020-10-11 00:00:00,485,Lenowisco
5,51197,25,Wythe,2020-10-11 00:00:00,283,Mount Rogers
9,51199,16,York,2020-10-11 00:00:00,587,Peninsula
73,51510,323,Alexandria,2020-10-11 00:00:00,4027,Alexandria
7,51520,13,Bristol,2020-10-11 00:00:00,211,Mount Rogers
1,51530,5,Buena Vista City,2020-10-11 00:00:00,106,Central Shenandoah
30,51540,33,Charlottesville,2020-10-11 00:00:00,1461,Thomas Jefferson
76,51550,445,Chesapeake,2020-10-11 00:00:00,4584,Chesapeake
26,51570,28,Colonial Heights,2020-10-11 00:00:00,273,Chesterfield
0,51580,1,Covington,2020-10-11 00:00:00,33,Alleghany
37,51590,99,Danville,2020-10-11 00:00:00,1049,Pittsylvania-Danville
26,51595,33,Emporia,2020-10-11 00:00:00,268,Crater
8,51600,13,Fairfax City,2020-10-11 00:00:00,144,Fairfax
7,51610,13,Falls Church,2020-10-11 00:00:00,74,Fairfax
10,51620,20,Franklin City,2020-10-11 00:00:00,454,Western Tidewater
5,51630,50,Fredericksburg,2020-10-11 00:00:00,567,Rappahannock
30,51640,41,Galax,2020-10-11 00:00:00,427,Mount Rogers
27,51650,74,Hampton,2020-10-11 00:00:00,1959,Hampton
35,51660,96,Harrisonburg,2020-10-11 00:00:00,2829,Central Shenandoah
7,51670,35,Hopewell,2020-10-11 00:00:00,446,Crater
1,51678,3,Lexington,2020-10-11 00:00:00,173,Central Shenandoah
21,51680,45,Lynchburg,2020-10-11 00:00:00,1685,Central Virginia
24,51683,130,Manassas City,2020-10-11 00:00:00,1982,Prince William
8,51685,56,Manassas Park,2020-10-11 00:00:00,625,Prince William
23,51690,62,Martinsville,2020-10-11 00:00:00,428,West Piedmont
49,51700,111,Newport News,2020-10-11 00:00:00,2912,Peninsula
80,51710,383,Norfolk,2020-10-11 00:00:00,5045,Norfolk
0,51720,5,Norton,2020-10-11 00:00:00,41,Lenowisco
29,51730,75,Petersburg,2020-10-11 00:00:00,811,Crater
2,51735,3,Poquoson,2020-10-11 00:00:00,81,Peninsula
63,51740,293,Portsmouth,2020-10-11 00:00:00,2667,Portsmouth
2,51750,9,Radford,2020-10-11 00:00:00,771,New River
62,51760,436,Richmond City,2020-10-11 00:00:00,4930,Richmond
32,51770,82,Roanoke City,2020-10-11 00:00:00,2128,Roanoke
6,51775,16,Salem,2020-10-11 00:00:00,355,Alleghany
