Health District Name,Report Date,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
Lord Fairfax,4/24/2020,Female,132,14,0,2020-04-24 20:41:10.285310
Western Tidewater,4/24/2020,Male,177,26,3,2020-04-24 20:41:10.285310
Central Shenandoah,4/24/2020,Not Reported,8,0,0,2020-04-24 20:41:10.285310
Richmond,4/24/2020,Not Reported,3,1,2,2020-04-24 20:41:10.285310
Eastern Shore,4/24/2020,Male,64,8,1,2020-04-24 20:41:10.285310
Rappahannock Rapidan,4/24/2020,Female,95,8,1,2020-04-24 20:41:10.285310
Roanoke,4/24/2020,Male,18,3,0,2020-04-24 20:41:10.285310
West Piedmont,4/24/2020,Female,17,1,0,2020-04-24 20:41:10.285310
Mount Rogers,4/24/2020,Male,31,10,4,2020-04-24 20:41:10.285310
Cumberland Plateau,4/24/2020,Female,12,1,0,2020-04-24 20:41:10.285310
Chickahominy,4/24/2020,Not Reported,4,1,0,2020-04-24 20:41:10.285310
Arlington,4/24/2020,Female,364,55,10,2020-04-24 20:41:10.285310
Central Shenandoah,4/24/2020,Female,341,17,4,2020-04-24 20:41:10.285310
Lenowisco,4/24/2020,Female,17,5,1,2020-04-24 20:41:10.285310
Piedmont,4/24/2020,Male,43,11,2,2020-04-24 20:41:10.285310
Crater,4/24/2020,Not Reported,4,3,0,2020-04-24 20:41:10.285310
Fairfax,4/24/2020,Not Reported,21,3,0,2020-04-24 20:41:10.285310
Portsmouth,4/24/2020,Female,57,13,2,2020-04-24 20:41:10.285310
Western Tidewater,4/24/2020,Female,141,15,4,2020-04-24 20:41:10.285310
Alleghany,4/24/2020,Male,35,9,1,2020-04-24 20:41:10.285310
Western Tidewater,4/24/2020,Not Reported,1,0,0,2020-04-24 20:41:10.285310
Henrico,4/24/2020,Male,299,59,39,2020-04-24 20:41:10.285310
Chesterfield,4/25/2020,Female,277,15,8,2020-04-25 20:31:07.033242
Mount Rogers,4/25/2020,Female,27,5,0,2020-04-25 20:31:07.033242
Virginia Beach,4/25/2020,Male,156,40,6,2020-04-25 20:31:07.033242
Crater,4/25/2020,Female,94,21,6,2020-04-25 20:31:07.033242
New River,4/25/2020,Female,35,3,0,2020-04-25 20:31:07.033242
Central Virginia,4/25/2020,Male,57,4,1,2020-04-25 20:31:07.033242
Lenowisco,4/25/2020,Male,18,7,1,2020-04-25 20:31:07.033242
Richmond,4/25/2020,Female,146,22,1,2020-04-25 20:31:07.033242
Chesapeake,4/25/2020,Female,116,23,3,2020-04-25 20:31:07.033242
Fairfax,4/25/2020,Female,1345,197,47,2020-04-25 20:31:07.033242
Peninsula,4/25/2020,Female,170,43,13,2020-04-25 20:31:07.033242
Loudoun,4/25/2020,Female,291,22,5,2020-04-25 20:31:07.033242
Norfolk,4/25/2020,Male,82,17,3,2020-04-25 20:31:07.033242
Rappahannock,4/25/2020,Not Reported,1,0,0,2020-04-25 20:31:07.033242
Loudoun,4/25/2020,Not Reported,2,0,0,2020-04-25 20:31:07.033242
Virginia Beach,4/25/2020,Female,179,31,4,2020-04-25 20:31:07.033242
Roanoke,4/25/2020,Female,15,2,0,2020-04-25 20:31:07.033242
West Piedmont,4/25/2020,Male,16,4,1,2020-04-25 20:31:07.033242
Thomas Jefferson,4/25/2020,Not Reported,1,0,0,2020-04-25 20:31:07.033242
New River,4/25/2020,Not Reported,2,0,0,2020-04-25 20:31:07.033242
