Health District Name,Report Date,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
Arlington,7/10/2020,Not Reported,1,0,0,2020-07-10 20:23:02.966550
Mount Rogers,7/10/2020,Not Reported,2,0,0,2020-07-10 20:23:02.966550
Thomas Jefferson,7/10/2020,Not Reported,0,0,0,2020-07-10 20:23:02.966550
Three Rivers,7/10/2020,Not Reported,20,0,0,2020-07-10 20:23:02.966550
Hampton,7/10/2020,Male,198,26,3,2020-07-10 20:23:02.966550
Alleghany,7/10/2020,Male,276,21,5,2020-07-10 20:23:02.966550
Roanoke,7/10/2020,Female,294,7,7,2020-07-10 20:23:02.966550
Loudoun,7/10/2020,Not Reported,21,0,0,2020-07-10 20:23:02.966550
Fairfax,7/10/2020,Female,7345,745,250,2020-07-10 20:23:02.966550
Western Tidewater,7/10/2020,Male,469,57,34,2020-07-10 20:23:02.966550
Peninsula,7/10/2020,Not Reported,4,0,0,2020-07-10 20:23:02.966550
New River,7/10/2020,Male,148,15,5,2020-07-10 20:23:02.966550
Central Shenandoah,7/10/2020,Male,1029,86,19,2020-07-10 20:23:02.966550
Southside,7/10/2020,Male,191,27,13,2020-07-10 20:23:02.966550
Chesterfield,7/10/2020,Male,1654,90,40,2020-07-10 20:23:02.966550
Arlington,7/10/2020,Female,1269,192,65,2020-07-10 20:23:02.966550
Rappahannock,7/10/2020,Male,1239,131,27,2020-07-10 20:23:02.966550
Central Virginia,7/10/2020,Male,237,9,4,2020-07-10 20:23:02.966550
Alleghany,7/10/2020,Not Reported,4,0,0,2020-07-10 20:23:02.966550
Henrico,7/10/2020,Male,1262,144,81,2020-07-10 20:23:02.966550
Thomas Jefferson,7/10/2020,Male,528,48,15,2020-07-10 20:23:02.966550
Lord Fairfax,7/10/2020,Male,1013,99,36,2020-07-10 20:23:02.966550
Three Rivers,7/10/2020,Male,516,24,4,2020-07-10 20:23:02.966550
Richmond,7/10/2020,Not Reported,40,2,2,2020-07-10 20:23:02.966550
Pittsylvania-Danville,7/10/2020,Male,104,20,1,2020-07-10 20:23:02.966550
Portsmouth,7/10/2020,Not Reported,3,0,0,2020-07-10 20:23:02.966550
Norfolk,7/10/2020,Not Reported,0,0,0,2020-07-10 20:23:02.966550
Chesapeake,7/10/2020,Male,499,72,12,2020-07-10 20:23:02.966550
Chickahominy,7/10/2020,Female,387,58,21,2020-07-10 20:23:02.966550
Prince William,7/10/2020,Male,4809,471,103,2020-07-10 20:23:02.966550
Eastern Shore,7/10/2020,Not Reported,9,0,0,2020-07-10 20:23:02.966550
Eastern Shore,7/10/2020,Male,647,54,19,2020-07-10 20:23:02.966550
Rappahannock Rapidan,7/10/2020,Male,776,67,14,2020-07-10 20:23:02.966550
Henrico,7/10/2020,Not Reported,12,0,0,2020-07-10 20:23:02.966550
Cumberland Plateau,7/10/2020,Female,44,1,0,2020-07-10 20:23:02.966550
West Piedmont,7/10/2020,Male,276,25,4,2020-07-10 20:23:02.966550
Hampton,7/10/2020,Not Reported,3,0,0,2020-07-10 20:23:02.966550
Alexandria,7/10/2020,Not Reported,7,0,0,2020-07-10 20:23:02.966550
Western Tidewater,7/10/2020,Not Reported,1,0,0,2020-07-10 20:23:02.966550
Cumberland Plateau,7/10/2020,Not Reported,0,0,0,2020-07-10 20:23:02.966550
Virginia Beach,7/10/2020,Male,771,70,16,2020-07-10 20:23:02.966550
Alleghany,7/10/2020,Female,320,10,10,2020-07-10 20:23:02.966550
Lenowisco,7/10/2020,Female,40,9,1,2020-07-10 20:23:02.966550
Virginia Beach,7/10/2020,Not Reported,11,0,0,2020-07-10 20:23:02.966550
Western Tidewater,7/10/2020,Female,510,39,30,2020-07-10 20:23:02.966550
Mount Rogers,7/10/2020,Male,372,52,20,2020-07-10 20:23:02.966550
Lord Fairfax,7/10/2020,Female,1116,90,39,2020-07-10 20:23:02.966550
Piedmont,7/10/2020,Not Reported,4,0,0,2020-07-10 20:23:02.966550
Alexandria,7/10/2020,Male,1182,133,27,2020-07-10 20:23:02.966550
Pittsylvania-Danville,7/10/2020,Not Reported,2,0,0,2020-07-10 20:23:02.966550
West Piedmont,7/10/2020,Not Reported,8,0,0,2020-07-10 20:23:02.966550
Loudoun,7/10/2020,Female,2187,128,61,2020-07-10 20:23:02.966550
Hampton,7/10/2020,Female,253,14,1,2020-07-10 20:23:02.966550
Henrico,7/10/2020,Female,1510,124,91,2020-07-10 20:23:02.966550
Prince William,7/10/2020,Not Reported,66,1,0,2020-07-10 20:23:02.966550
Chickahominy,7/10/2020,Male,309,55,20,2020-07-10 20:23:02.966550
Rappahannock Rapidan,7/10/2020,Not Reported,2,1,1,2020-07-10 20:23:02.966550
Peninsula,7/10/2020,Female,672,63,21,2020-07-10 20:23:02.966550
Lenowisco,7/10/2020,Not Reported,0,0,0,2020-07-10 20:23:02.966550
Crater,7/10/2020,Not Reported,15,1,0,2020-07-10 20:23:02.966550
Chickahominy,7/10/2020,Not Reported,4,0,0,2020-07-10 20:23:02.966550
Portsmouth,7/10/2020,Male,310,36,7,2020-07-10 20:23:02.966550
New River,7/10/2020,Female,131,8,1,2020-07-10 20:23:02.966550
Rappahannock,7/10/2020,Female,1384,112,18,2020-07-10 20:23:02.966550
Central Virginia,7/10/2020,Female,224,7,2,2020-07-10 20:23:02.966550
Roanoke,7/10/2020,Not Reported,7,0,0,2020-07-10 20:23:02.966550
West Piedmont,7/10/2020,Female,315,31,4,2020-07-10 20:23:02.966550
Mount Rogers,7/10/2020,Female,433,25,15,2020-07-10 20:23:02.966550
Piedmont,7/10/2020,Male,778,60,13,2020-07-10 20:23:02.966550
Chesterfield,7/10/2020,Female,1641,80,42,2020-07-10 20:23:02.966550
Fairfax,7/10/2020,Male,7033,970,261,2020-07-10 20:23:02.966550
Crater,7/10/2020,Male,937,79,20,2020-07-10 20:23:02.966550
Central Virginia,7/10/2020,Not Reported,0,0,0,2020-07-10 20:23:02.966550
Prince William,7/10/2020,Female,4794,376,77,2020-07-10 20:23:02.966550
Virginia Beach,7/10/2020,Female,881,63,14,2020-07-10 20:23:02.966550
Norfolk,7/10/2020,Female,713,60,4,2020-07-10 20:23:02.966550
Three Rivers,7/10/2020,Female,224,34,9,2020-07-10 20:23:02.966550
Arlington,7/10/2020,Male,1312,233,68,2020-07-10 20:23:02.966550
Central Shenandoah,7/10/2020,Female,1194,91,23,2020-07-10 20:23:02.966550
Southside,7/10/2020,Female,257,27,18,2020-07-10 20:23:02.966550
Southside,7/11/2020,Not Reported,4,0,0,2020-07-11 20:23:41.165841
Chesapeake,7/11/2020,Female,688,85,10,2020-07-11 20:23:41.165841
Richmond,7/11/2020,Female,1153,109,9,2020-07-11 20:23:41.165841
Roanoke,7/11/2020,Male,255,7,3,2020-07-11 20:23:41.165841
Fairfax,7/11/2020,Not Reported,98,3,2,2020-07-11 20:23:41.165841
Thomas Jefferson,7/11/2020,Female,631,54,14,2020-07-11 20:23:41.165841
Chesapeake,7/11/2020,Not Reported,1,0,0,2020-07-11 20:23:41.165841
Cumberland Plateau,7/11/2020,Male,45,2,0,2020-07-11 20:23:41.165841
Eastern Shore,7/11/2020,Female,660,59,23,2020-07-11 20:23:41.165841
Lord Fairfax,7/11/2020,Not Reported,7,0,0,2020-07-11 20:23:41.165841
Rappahannock,7/11/2020,Not Reported,5,1,0,2020-07-11 20:23:41.165841
Central Shenandoah,7/11/2020,Not Reported,3,0,0,2020-07-11 20:23:41.165841
Peninsula,7/11/2020,Male,589,66,14,2020-07-11 20:23:41.165841
Norfolk,7/11/2020,Male,676,63,11,2020-07-11 20:23:41.165841
Alexandria,7/11/2020,Female,1261,115,30,2020-07-11 20:23:41.165841
Lenowisco,7/11/2020,Male,30,8,3,2020-07-11 20:23:41.165841
Pittsylvania-Danville,7/11/2020,Female,155,23,3,2020-07-11 20:23:41.165841
New River,7/11/2020,Not Reported,3,0,0,2020-07-11 20:23:41.165841
Chesterfield,7/11/2020,Not Reported,80,0,2,2020-07-11 20:23:41.165841
Loudoun,7/11/2020,Male,2155,161,38,2020-07-11 20:23:41.165841
Rappahannock Rapidan,7/11/2020,Female,778,49,10,2020-07-11 20:23:41.165841
Piedmont,7/11/2020,Female,331,45,5,2020-07-11 20:23:41.165841
Richmond,7/11/2020,Male,1193,126,24,2020-07-11 20:23:41.165841
Crater,7/11/2020,Female,726,85,29,2020-07-11 20:23:41.165841
Portsmouth,7/11/2020,Female,335,49,11,2020-07-11 20:23:41.165841
Arlington,7/11/2020,Not Reported,1,0,0,2020-07-11 20:23:41.165841
Mount Rogers,7/11/2020,Not Reported,2,0,0,2020-07-11 20:23:41.165841
Thomas Jefferson,7/11/2020,Not Reported,0,0,0,2020-07-11 20:23:41.165841
Three Rivers,7/11/2020,Not Reported,20,0,0,2020-07-11 20:23:41.165841
Hampton,7/11/2020,Male,203,26,3,2020-07-11 20:23:41.165841
Alleghany,7/11/2020,Male,278,21,5,2020-07-11 20:23:41.165841
Roanoke,7/11/2020,Female,295,7,7,2020-07-11 20:23:41.165841
Loudoun,7/11/2020,Not Reported,21,0,0,2020-07-11 20:23:41.165841
Fairfax,7/11/2020,Female,7371,747,250,2020-07-11 20:23:41.165841
Western Tidewater,7/11/2020,Male,478,57,34,2020-07-11 20:23:41.165841
Peninsula,7/11/2020,Not Reported,4,0,0,2020-07-11 20:23:41.165841
New River,7/11/2020,Male,150,15,5,2020-07-11 20:23:41.165841
Central Shenandoah,7/11/2020,Male,1036,87,19,2020-07-11 20:23:41.165841
Southside,7/11/2020,Male,196,27,13,2020-07-11 20:23:41.165841
Chesterfield,7/11/2020,Male,1671,92,40,2020-07-11 20:23:41.165841
Arlington,7/11/2020,Female,1279,192,65,2020-07-11 20:23:41.165841
Rappahannock,7/11/2020,Male,1251,131,27,2020-07-11 20:23:41.165841
Central Virginia,7/11/2020,Male,250,9,4,2020-07-11 20:23:41.165841
Alleghany,7/11/2020,Not Reported,4,0,0,2020-07-11 20:23:41.165841
Henrico,7/11/2020,Male,1285,144,82,2020-07-11 20:23:41.165841
Thomas Jefferson,7/11/2020,Male,542,49,15,2020-07-11 20:23:41.165841
Lord Fairfax,7/11/2020,Male,1021,99,36,2020-07-11 20:23:41.165841
Three Rivers,7/11/2020,Male,533,24,4,2020-07-11 20:23:41.165841
Richmond,7/11/2020,Not Reported,40,2,2,2020-07-11 20:23:41.165841
Pittsylvania-Danville,7/11/2020,Male,115,20,1,2020-07-11 20:23:41.165841
Portsmouth,7/11/2020,Not Reported,3,0,0,2020-07-11 20:23:41.165841
Norfolk,7/11/2020,Not Reported,0,0,0,2020-07-11 20:23:41.165841
Chesapeake,7/11/2020,Male,515,72,12,2020-07-11 20:23:41.165841
Chickahominy,7/11/2020,Female,390,59,21,2020-07-11 20:23:41.165841
Prince William,7/11/2020,Male,4824,473,104,2020-07-11 20:23:41.165841
Eastern Shore,7/11/2020,Not Reported,9,0,0,2020-07-11 20:23:41.165841
Eastern Shore,7/11/2020,Male,647,54,19,2020-07-11 20:23:41.165841
Rappahannock Rapidan,7/11/2020,Male,786,67,14,2020-07-11 20:23:41.165841
Henrico,7/11/2020,Not Reported,12,0,0,2020-07-11 20:23:41.165841
Cumberland Plateau,7/11/2020,Female,46,1,0,2020-07-11 20:23:41.165841
West Piedmont,7/11/2020,Male,281,26,4,2020-07-11 20:23:41.165841
Hampton,7/11/2020,Not Reported,3,0,0,2020-07-11 20:23:41.165841
Alexandria,7/11/2020,Not Reported,7,0,0,2020-07-11 20:23:41.165841
Western Tidewater,7/11/2020,Not Reported,1,0,0,2020-07-11 20:23:41.165841
Cumberland Plateau,7/11/2020,Not Reported,0,0,0,2020-07-11 20:23:41.165841
Virginia Beach,7/11/2020,Male,827,71,16,2020-07-11 20:23:41.165841
Alleghany,7/11/2020,Female,322,10,10,2020-07-11 20:23:41.165841
Lenowisco,7/11/2020,Female,40,9,1,2020-07-11 20:23:41.165841
Virginia Beach,7/11/2020,Not Reported,11,0,0,2020-07-11 20:23:41.165841
Western Tidewater,7/11/2020,Female,521,39,30,2020-07-11 20:23:41.165841
Mount Rogers,7/11/2020,Male,378,53,20,2020-07-11 20:23:41.165841
Lord Fairfax,7/11/2020,Female,1130,90,39,2020-07-11 20:23:41.165841
Piedmont,7/11/2020,Not Reported,4,0,0,2020-07-11 20:23:41.165841
Alexandria,7/11/2020,Male,1185,133,27,2020-07-11 20:23:41.165841
Pittsylvania-Danville,7/11/2020,Not Reported,2,0,0,2020-07-11 20:23:41.165841
West Piedmont,7/11/2020,Not Reported,7,0,0,2020-07-11 20:23:41.165841
Loudoun,7/11/2020,Female,2197,128,61,2020-07-11 20:23:41.165841
Hampton,7/11/2020,Female,263,14,1,2020-07-11 20:23:41.165841
Henrico,7/11/2020,Female,1525,124,91,2020-07-11 20:23:41.165841
Prince William,7/11/2020,Not Reported,66,1,0,2020-07-11 20:23:41.165841
Chickahominy,7/11/2020,Male,313,55,20,2020-07-11 20:23:41.165841
Rappahannock Rapidan,7/11/2020,Not Reported,2,1,1,2020-07-11 20:23:41.165841
Peninsula,7/11/2020,Female,683,63,21,2020-07-11 20:23:41.165841
Lenowisco,7/11/2020,Not Reported,0,0,0,2020-07-11 20:23:41.165841
Crater,7/11/2020,Not Reported,15,1,0,2020-07-11 20:23:41.165841
Chickahominy,7/11/2020,Not Reported,4,0,0,2020-07-11 20:23:41.165841
Portsmouth,7/11/2020,Male,324,37,8,2020-07-11 20:23:41.165841
New River,7/11/2020,Female,134,8,1,2020-07-11 20:23:41.165841
Rappahannock,7/11/2020,Female,1395,113,18,2020-07-11 20:23:41.165841
Central Virginia,7/11/2020,Female,243,7,2,2020-07-11 20:23:41.165841
Roanoke,7/11/2020,Not Reported,7,0,0,2020-07-11 20:23:41.165841
West Piedmont,7/11/2020,Female,328,31,4,2020-07-11 20:23:41.165841
Mount Rogers,7/11/2020,Female,438,25,15,2020-07-11 20:23:41.165841
Piedmont,7/11/2020,Male,782,62,13,2020-07-11 20:23:41.165841
Chesterfield,7/11/2020,Female,1665,81,42,2020-07-11 20:23:41.165841
Fairfax,7/11/2020,Male,7059,973,260,2020-07-11 20:23:41.165841
Crater,7/11/2020,Male,950,80,20,2020-07-11 20:23:41.165841
Central Virginia,7/11/2020,Not Reported,0,0,0,2020-07-11 20:23:41.165841
Prince William,7/11/2020,Female,4818,376,77,2020-07-11 20:23:41.165841
Virginia Beach,7/11/2020,Female,921,63,14,2020-07-11 20:23:41.165841
Norfolk,7/11/2020,Female,772,62,4,2020-07-11 20:23:41.165841
Three Rivers,7/11/2020,Female,228,34,9,2020-07-11 20:23:41.165841
Arlington,7/11/2020,Male,1317,233,69,2020-07-11 20:23:41.165841
Central Shenandoah,7/11/2020,Female,1210,91,23,2020-07-11 20:23:41.165841
Southside,7/11/2020,Female,264,28,18,2020-07-11 20:23:41.165841
Southside,7/12/2020,Not Reported,4,0,0,2020-07-12 20:16:45.990153
Chesapeake,7/12/2020,Female,721,85,10,2020-07-12 20:16:45.990153
Richmond,7/12/2020,Female,1170,109,9,2020-07-12 20:16:45.990153
Roanoke,7/12/2020,Male,269,8,3,2020-07-12 20:16:45.990153
Fairfax,7/12/2020,Not Reported,98,3,2,2020-07-12 20:16:45.990153
Thomas Jefferson,7/12/2020,Female,648,55,14,2020-07-12 20:16:45.990153
Chesapeake,7/12/2020,Not Reported,1,0,0,2020-07-12 20:16:45.990153
Cumberland Plateau,7/12/2020,Male,47,4,0,2020-07-12 20:16:45.990153
Eastern Shore,7/12/2020,Female,660,59,23,2020-07-12 20:16:45.990153
Lord Fairfax,7/12/2020,Not Reported,7,0,0,2020-07-12 20:16:45.990153
Rappahannock,7/12/2020,Not Reported,5,1,0,2020-07-12 20:16:45.990153
Central Shenandoah,7/12/2020,Not Reported,3,0,0,2020-07-12 20:16:45.990153
Peninsula,7/12/2020,Male,603,66,14,2020-07-12 20:16:45.990153
Norfolk,7/12/2020,Male,721,64,11,2020-07-12 20:16:45.990153
Alexandria,7/12/2020,Female,1264,116,30,2020-07-12 20:16:45.990153
Lenowisco,7/12/2020,Male,34,8,3,2020-07-12 20:16:45.990153
Pittsylvania-Danville,7/12/2020,Female,175,25,3,2020-07-12 20:16:45.990153
New River,7/12/2020,Not Reported,3,0,0,2020-07-12 20:16:45.990153
Chesterfield,7/12/2020,Not Reported,80,0,2,2020-07-12 20:16:45.990153
Loudoun,7/12/2020,Male,2165,161,38,2020-07-12 20:16:45.990153
Rappahannock Rapidan,7/12/2020,Female,784,50,10,2020-07-12 20:16:45.990153
Piedmont,7/12/2020,Female,332,45,5,2020-07-12 20:16:45.990153
Richmond,7/12/2020,Male,1205,126,24,2020-07-12 20:16:45.990153
Crater,7/12/2020,Female,733,85,29,2020-07-12 20:16:45.990153
Portsmouth,7/12/2020,Female,350,49,11,2020-07-12 20:16:45.990153
Arlington,7/12/2020,Not Reported,2,0,0,2020-07-12 20:16:45.990153
Mount Rogers,7/12/2020,Not Reported,2,0,0,2020-07-12 20:16:45.990153
Thomas Jefferson,7/12/2020,Not Reported,0,0,0,2020-07-12 20:16:45.990153
Three Rivers,7/12/2020,Not Reported,20,0,0,2020-07-12 20:16:45.990153
Hampton,7/12/2020,Male,209,26,3,2020-07-12 20:16:45.990153
Alleghany,7/12/2020,Male,292,21,5,2020-07-12 20:16:45.990153
Roanoke,7/12/2020,Female,306,7,7,2020-07-12 20:16:45.990153
Loudoun,7/12/2020,Not Reported,27,0,0,2020-07-12 20:16:45.990153
Fairfax,7/12/2020,Female,7410,748,251,2020-07-12 20:16:45.990153
Western Tidewater,7/12/2020,Male,493,57,34,2020-07-12 20:16:45.990153
Peninsula,7/12/2020,Not Reported,4,0,0,2020-07-12 20:16:45.990153
New River,7/12/2020,Male,156,15,5,2020-07-12 20:16:45.990153
Central Shenandoah,7/12/2020,Male,1044,87,19,2020-07-12 20:16:45.990153
Southside,7/12/2020,Male,198,28,13,2020-07-12 20:16:45.990153
Chesterfield,7/12/2020,Male,1682,92,40,2020-07-12 20:16:45.990153
Arlington,7/12/2020,Female,1287,192,65,2020-07-12 20:16:45.990153
Rappahannock,7/12/2020,Male,1257,131,27,2020-07-12 20:16:45.990153
Central Virginia,7/12/2020,Male,255,9,4,2020-07-12 20:16:45.990153
Alleghany,7/12/2020,Not Reported,5,0,0,2020-07-12 20:16:45.990153
Henrico,7/12/2020,Male,1305,144,82,2020-07-12 20:16:45.990153
Thomas Jefferson,7/12/2020,Male,560,49,15,2020-07-12 20:16:45.990153
Lord Fairfax,7/12/2020,Male,1036,99,36,2020-07-12 20:16:45.990153
Three Rivers,7/12/2020,Male,533,24,4,2020-07-12 20:16:45.990153
Richmond,7/12/2020,Not Reported,40,2,2,2020-07-12 20:16:45.990153
Pittsylvania-Danville,7/12/2020,Male,129,21,1,2020-07-12 20:16:45.990153
Portsmouth,7/12/2020,Not Reported,3,0,0,2020-07-12 20:16:45.990153
Norfolk,7/12/2020,Not Reported,0,0,0,2020-07-12 20:16:45.990153
Chesapeake,7/12/2020,Male,531,72,12,2020-07-12 20:16:45.990153
Chickahominy,7/12/2020,Female,395,59,21,2020-07-12 20:16:45.990153
Prince William,7/12/2020,Male,4839,480,104,2020-07-12 20:16:45.990153
Eastern Shore,7/12/2020,Not Reported,9,0,0,2020-07-12 20:16:45.990153
Eastern Shore,7/12/2020,Male,647,54,19,2020-07-12 20:16:45.990153
Rappahannock Rapidan,7/12/2020,Male,789,67,14,2020-07-12 20:16:45.990153
Henrico,7/12/2020,Not Reported,12,0,0,2020-07-12 20:16:45.990153
Cumberland Plateau,7/12/2020,Female,49,1,0,2020-07-12 20:16:45.990153
West Piedmont,7/12/2020,Male,281,26,4,2020-07-12 20:16:45.990153
Hampton,7/12/2020,Not Reported,3,0,0,2020-07-12 20:16:45.990153
Alexandria,7/12/2020,Not Reported,7,0,0,2020-07-12 20:16:45.990153
Western Tidewater,7/12/2020,Not Reported,1,0,0,2020-07-12 20:16:45.990153
Cumberland Plateau,7/12/2020,Not Reported,0,0,0,2020-07-12 20:16:45.990153
Virginia Beach,7/12/2020,Male,859,72,16,2020-07-12 20:16:45.990153
Alleghany,7/12/2020,Female,343,10,10,2020-07-12 20:16:45.990153
Lenowisco,7/12/2020,Female,44,9,1,2020-07-12 20:16:45.990153
Virginia Beach,7/12/2020,Not Reported,11,0,0,2020-07-12 20:16:45.990153
Western Tidewater,7/12/2020,Female,540,39,30,2020-07-12 20:16:45.990153
Mount Rogers,7/12/2020,Male,385,54,20,2020-07-12 20:16:45.990153
Lord Fairfax,7/12/2020,Female,1144,90,39,2020-07-12 20:16:45.990153
Piedmont,7/12/2020,Not Reported,4,0,0,2020-07-12 20:16:45.990153
Alexandria,7/12/2020,Male,1184,133,27,2020-07-12 20:16:45.990153
Pittsylvania-Danville,7/12/2020,Not Reported,2,0,0,2020-07-12 20:16:45.990153
West Piedmont,7/12/2020,Not Reported,7,0,0,2020-07-12 20:16:45.990153
Loudoun,7/12/2020,Female,2215,128,61,2020-07-12 20:16:45.990153
Hampton,7/12/2020,Female,276,14,1,2020-07-12 20:16:45.990153
Henrico,7/12/2020,Female,1543,125,91,2020-07-12 20:16:45.990153
Prince William,7/12/2020,Not Reported,68,1,0,2020-07-12 20:16:45.990153
Chickahominy,7/12/2020,Male,321,56,20,2020-07-12 20:16:45.990153
Rappahannock Rapidan,7/12/2020,Not Reported,11,1,1,2020-07-12 20:16:45.990153
Peninsula,7/12/2020,Female,711,63,21,2020-07-12 20:16:45.990153
Lenowisco,7/12/2020,Not Reported,0,0,0,2020-07-12 20:16:45.990153
Crater,7/12/2020,Not Reported,15,1,0,2020-07-12 20:16:45.990153
Chickahominy,7/12/2020,Not Reported,4,0,0,2020-07-12 20:16:45.990153
Portsmouth,7/12/2020,Male,333,37,8,2020-07-12 20:16:45.990153
New River,7/12/2020,Female,137,8,1,2020-07-12 20:16:45.990153
Rappahannock,7/12/2020,Female,1404,113,18,2020-07-12 20:16:45.990153
Central Virginia,7/12/2020,Female,250,7,2,2020-07-12 20:16:45.990153
Roanoke,7/12/2020,Not Reported,7,0,0,2020-07-12 20:16:45.990153
West Piedmont,7/12/2020,Female,328,31,4,2020-07-12 20:16:45.990153
Mount Rogers,7/12/2020,Female,447,25,15,2020-07-12 20:16:45.990153
Piedmont,7/12/2020,Male,784,62,13,2020-07-12 20:16:45.990153
Chesterfield,7/12/2020,Female,1676,82,42,2020-07-12 20:16:45.990153
Fairfax,7/12/2020,Male,7099,977,261,2020-07-12 20:16:45.990153
Crater,7/12/2020,Male,955,80,20,2020-07-12 20:16:45.990153
Central Virginia,7/12/2020,Not Reported,0,0,0,2020-07-12 20:16:45.990153
Prince William,7/12/2020,Female,4845,378,78,2020-07-12 20:16:45.990153
Virginia Beach,7/12/2020,Female,951,67,14,2020-07-12 20:16:45.990153
Norfolk,7/12/2020,Female,827,64,5,2020-07-12 20:16:45.990153
Three Rivers,7/12/2020,Female,229,34,9,2020-07-12 20:16:45.990153
Arlington,7/12/2020,Male,1326,233,69,2020-07-12 20:16:45.990153
Central Shenandoah,7/12/2020,Female,1217,91,23,2020-07-12 20:16:45.990153
Southside,7/12/2020,Female,268,29,18,2020-07-12 20:16:45.990153
Southside,7/13/2020,Not Reported,4,0,0,2020-07-13 20:19:52.196057
Chesapeake,7/13/2020,Female,760,85,10,2020-07-13 20:19:52.196057
Richmond,7/13/2020,Female,1178,109,9,2020-07-13 20:19:52.196057
Roanoke,7/13/2020,Male,270,8,3,2020-07-13 20:19:52.196057
Fairfax,7/13/2020,Not Reported,98,3,2,2020-07-13 20:19:52.196057
Thomas Jefferson,7/13/2020,Female,658,55,14,2020-07-13 20:19:52.196057
Chesapeake,7/13/2020,Not Reported,1,0,0,2020-07-13 20:19:52.196057
Cumberland Plateau,7/13/2020,Male,49,4,0,2020-07-13 20:19:52.196057
Eastern Shore,7/13/2020,Female,660,59,23,2020-07-13 20:19:52.196057
Lord Fairfax,7/13/2020,Not Reported,8,0,0,2020-07-13 20:19:52.196057
Rappahannock,7/13/2020,Not Reported,5,1,0,2020-07-13 20:19:52.196057
Central Shenandoah,7/13/2020,Not Reported,3,0,0,2020-07-13 20:19:52.196057
Peninsula,7/13/2020,Male,669,67,14,2020-07-13 20:19:52.196057
Norfolk,7/13/2020,Male,738,65,11,2020-07-13 20:19:52.196057
Alexandria,7/13/2020,Female,1265,116,30,2020-07-13 20:19:52.196057
Lenowisco,7/13/2020,Male,35,8,3,2020-07-13 20:19:52.196057
Pittsylvania-Danville,7/13/2020,Female,178,25,3,2020-07-13 20:19:52.196057
New River,7/13/2020,Not Reported,3,0,0,2020-07-13 20:19:52.196057
Chesterfield,7/13/2020,Not Reported,84,0,2,2020-07-13 20:19:52.196057
Loudoun,7/13/2020,Male,2181,161,38,2020-07-13 20:19:52.196057
Rappahannock Rapidan,7/13/2020,Female,792,51,10,2020-07-13 20:19:52.196057
Piedmont,7/13/2020,Female,337,45,5,2020-07-13 20:19:52.196057
Richmond,7/13/2020,Male,1213,127,24,2020-07-13 20:19:52.196057
Crater,7/13/2020,Female,747,86,29,2020-07-13 20:19:52.196057
Portsmouth,7/13/2020,Female,367,49,11,2020-07-13 20:19:52.196057
Arlington,7/13/2020,Not Reported,2,0,0,2020-07-13 20:19:52.196057
Mount Rogers,7/13/2020,Not Reported,2,0,0,2020-07-13 20:19:52.196057
Thomas Jefferson,7/13/2020,Not Reported,0,0,0,2020-07-13 20:19:52.196057
Three Rivers,7/13/2020,Not Reported,20,0,0,2020-07-13 20:19:52.196057
Hampton,7/13/2020,Male,233,26,3,2020-07-13 20:19:52.196057
Alleghany,7/13/2020,Male,295,21,5,2020-07-13 20:19:52.196057
Roanoke,7/13/2020,Female,311,7,7,2020-07-13 20:19:52.196057
Loudoun,7/13/2020,Not Reported,27,0,0,2020-07-13 20:19:52.196057
Fairfax,7/13/2020,Female,7455,748,251,2020-07-13 20:19:52.196057
Western Tidewater,7/13/2020,Male,502,58,34,2020-07-13 20:19:52.196057
Peninsula,7/13/2020,Not Reported,4,0,0,2020-07-13 20:19:52.196057
New River,7/13/2020,Male,165,15,5,2020-07-13 20:19:52.196057
Central Shenandoah,7/13/2020,Male,1065,88,19,2020-07-13 20:19:52.196057
Southside,7/13/2020,Male,210,28,13,2020-07-13 20:19:52.196057
Chesterfield,7/13/2020,Male,1697,92,40,2020-07-13 20:19:52.196057
Arlington,7/13/2020,Female,1293,189,65,2020-07-13 20:19:52.196057
Rappahannock,7/13/2020,Male,1265,132,27,2020-07-13 20:19:52.196057
Central Virginia,7/13/2020,Male,260,9,4,2020-07-13 20:19:52.196057
Alleghany,7/13/2020,Not Reported,5,0,0,2020-07-13 20:19:52.196057
Henrico,7/13/2020,Male,1322,144,82,2020-07-13 20:19:52.196057
Thomas Jefferson,7/13/2020,Male,578,51,15,2020-07-13 20:19:52.196057
Lord Fairfax,7/13/2020,Male,1043,100,36,2020-07-13 20:19:52.196057
Three Rivers,7/13/2020,Male,543,25,4,2020-07-13 20:19:52.196057
Richmond,7/13/2020,Not Reported,41,2,2,2020-07-13 20:19:52.196057
Pittsylvania-Danville,7/13/2020,Male,131,21,1,2020-07-13 20:19:52.196057
Portsmouth,7/13/2020,Not Reported,3,0,0,2020-07-13 20:19:52.196057
Norfolk,7/13/2020,Not Reported,0,0,0,2020-07-13 20:19:52.196057
Chesapeake,7/13/2020,Male,565,72,12,2020-07-13 20:19:52.196057
Chickahominy,7/13/2020,Female,397,59,21,2020-07-13 20:19:52.196057
Prince William,7/13/2020,Male,4862,480,104,2020-07-13 20:19:52.196057
Eastern Shore,7/13/2020,Not Reported,9,0,0,2020-07-13 20:19:52.196057
Eastern Shore,7/13/2020,Male,646,54,19,2020-07-13 20:19:52.196057
