Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
5/3/2020,Southside,Not Hispanic or Latino,45,6,3,2020-05-03 20:34:10.546837
5/3/2020,Thomas Jefferson,Hispanic or Latino,11,0,0,2020-05-03 20:34:10.546837
5/3/2020,Pittsylvania-Danville,Not Reported,11,4,0,2020-05-03 20:34:10.546837
5/3/2020,Norfolk,Hispanic or Latino,18,4,0,2020-05-03 20:34:10.546837
5/3/2020,Portsmouth,Not Hispanic or Latino,74,24,7,2020-05-03 20:34:10.546837
5/3/2020,West Piedmont,Not Reported,8,1,0,2020-05-03 20:34:10.546837
5/3/2020,Richmond,Not Hispanic or Latino,244,55,15,2020-05-03 20:34:10.546837
5/3/2020,West Piedmont,Hispanic or Latino,3,0,0,2020-05-03 20:34:10.546837
5/3/2020,Prince William,Not Reported,1199,9,0,2020-05-03 20:34:10.546837
5/3/2020,Rappahannock Rapidan,Not Reported,156,5,1,2020-05-03 20:34:10.546837
5/3/2020,Chickahominy,Hispanic or Latino,2,1,0,2020-05-03 20:34:10.546837
5/3/2020,Lenowisco,Not Reported,20,5,1,2020-05-03 20:34:10.546837
5/3/2020,New River,Hispanic or Latino,0,0,0,2020-05-03 20:34:10.546837
5/3/2020,Crater,Not Reported,115,27,6,2020-05-03 20:34:10.546837
5/3/2020,Chickahominy,Not Reported,173,28,8,2020-05-03 20:34:10.546837
5/3/2020,Loudoun,Hispanic or Latino,248,30,2,2020-05-03 20:34:10.546837
5/3/2020,Rappahannock Rapidan,Hispanic or Latino,154,14,1,2020-05-03 20:34:10.546837
5/3/2020,Roanoke,Not Reported,27,0,0,2020-05-03 20:34:10.546837
5/3/2020,Rappahannock,Hispanic or Latino,143,24,0,2020-05-03 20:34:10.546837
5/3/2020,Lenowisco,Hispanic or Latino,0,0,0,2020-05-03 20:34:10.546837
5/3/2020,Virginia Beach,Hispanic or Latino,20,5,1,2020-05-03 20:34:10.546837
5/3/2020,Prince William,Not Hispanic or Latino,468,100,29,2020-05-03 20:34:10.546837
5/3/2020,Central Virginia,Not Reported,104,3,0,2020-05-03 20:34:10.546837
5/3/2020,Central Shenandoah,Not Hispanic or Latino,334,30,13,2020-05-03 20:34:10.546837
5/3/2020,Hampton,Hispanic or Latino,5,0,0,2020-05-03 20:34:10.546837
5/3/2020,Roanoke,Hispanic or Latino,5,0,0,2020-05-03 20:34:10.546837
5/4/2020,Southside,Not Reported,94,19,7,2020-05-04 19:46:59.762938
5/4/2020,Lord Fairfax,Hispanic or Latino,110,12,1,2020-05-04 19:46:59.762938
5/4/2020,Eastern Shore,Not Hispanic or Latino,391,24,5,2020-05-04 19:46:59.762938
5/4/2020,Portsmouth,Hispanic or Latino,4,2,0,2020-05-04 19:46:59.762938
5/4/2020,Fairfax,Not Reported,1343,93,73,2020-05-04 19:46:59.762938
5/4/2020,Richmond,Hispanic or Latino,58,6,1,2020-05-04 19:46:59.762938
5/4/2020,Chesapeake,Not Reported,97,8,2,2020-05-04 19:46:59.762938
5/4/2020,Arlington,Hispanic or Latino,203,58,3,2020-05-04 19:46:59.762938
5/4/2020,West Piedmont,Not Hispanic or Latino,35,5,1,2020-05-04 19:46:59.762938
5/4/2020,Fairfax,Not Hispanic or Latino,1451,400,115,2020-05-04 19:46:59.762938
5/4/2020,Piedmont,Hispanic or Latino,11,0,0,2020-05-04 19:46:59.762938
5/4/2020,Crater,Not Hispanic or Latino,114,31,7,2020-05-04 19:46:59.762938
5/4/2020,Chickahominy,Not Hispanic or Latino,86,25,12,2020-05-04 19:46:59.762938
5/4/2020,New River,Not Hispanic or Latino,46,9,1,2020-05-04 19:46:59.762938
5/4/2020,Lord Fairfax,Not Reported,111,2,0,2020-05-04 19:46:59.762938
5/4/2020,Rappahannock,Not Reported,240,29,2,2020-05-04 19:46:59.762938
5/4/2020,Central Shenandoah,Not Reported,215,2,4,2020-05-04 19:46:59.762938
5/4/2020,Central Virginia,Not Hispanic or Latino,38,4,1,2020-05-04 19:46:59.762938
5/4/2020,Lenowisco,Not Hispanic or Latino,21,9,1,2020-05-04 19:46:59.762938
5/4/2020,Cumberland Plateau,Not Hispanic or Latino,14,2,0,2020-05-04 19:46:59.762938
5/4/2020,Western Tidewater,Not Hispanic or Latino,274,48,17,2020-05-04 19:46:59.762938
5/4/2020,New River,Not Reported,32,1,0,2020-05-04 19:46:59.762938
5/4/2020,Chesterfield,Not Reported,443,19,16,2020-05-04 19:46:59.762938
5/4/2020,Chesterfield,Hispanic or Latino,44,1,0,2020-05-04 19:46:59.762938
5/4/2020,Hampton,Not Hispanic or Latino,93,26,1,2020-05-04 19:46:59.762938
5/4/2020,Chesapeake,Not Hispanic or Latino,174,50,6,2020-05-04 19:46:59.762938
5/4/2020,Peninsula,Hispanic or Latino,22,7,1,2020-05-04 19:46:59.762938
5/4/2020,Arlington,Not Reported,661,68,12,2020-05-04 19:46:59.762938
5/4/2020,Roanoke,Not Hispanic or Latino,49,5,0,2020-05-04 19:46:59.762938
5/4/2020,Lord Fairfax,Not Hispanic or Latino,290,28,4,2020-05-04 19:46:59.762938
5/4/2020,Eastern Shore,Hispanic or Latino,86,2,2,2020-05-04 19:46:59.762938
5/4/2020,Mount Rogers,Not Reported,6,2,0,2020-05-04 19:46:59.762938
5/4/2020,Three Rivers,Not Hispanic or Latino,140,16,1,2020-05-04 19:46:59.762938
5/4/2020,Thomas Jefferson,Not Reported,30,1,0,2020-05-04 19:46:59.762938
5/4/2020,Three Rivers,Not Reported,99,7,1,2020-05-04 19:46:59.762938
