Health District Name,Report Date,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
Three Rivers,6/24/2020,20-29,105,4,0,2020-06-24 21:21:33.642216
Rappahannock,6/24/2020,40-49,418,36,2,2020-06-24 21:21:33.642216
Portsmouth,6/24/2020,80+,20,7,4,2020-06-24 21:21:33.642216
Central Shenandoah,6/24/2020,Missing,0,0,0,2020-06-24 21:21:33.642216
Eastern Shore,6/24/2020,70-79,47,15,9,2020-06-24 21:21:33.642216
Mount Rogers,6/24/2020,70-79,57,24,9,2020-06-24 21:21:33.642216
Cumberland Plateau,6/24/2020,70-79,2,0,0,2020-06-24 21:21:33.642216
Piedmont,6/24/2020,10-19,31,0,0,2020-06-24 21:21:33.642216
Southside,6/24/2020,20-29,38,2,0,2020-06-24 21:21:33.642216
Chesterfield,6/24/2020,50-59,411,29,4,2020-06-24 21:21:33.642216
Rappahannock Rapidan,6/24/2020,20-29,267,4,0,2020-06-24 21:21:33.642216
Cumberland Plateau,6/24/2020,60-69,5,1,0,2020-06-24 21:21:33.642216
Roanoke,6/24/2020,70-79,11,3,0,2020-06-24 21:21:33.642216
Central Shenandoah,6/24/2020,20-29,364,6,0,2020-06-24 21:21:33.642216
Pittsylvania-Danville,6/24/2020,80+,3,2,2,2020-06-24 21:21:33.642216
Virginia Beach,6/24/2020,80+,84,28,18,2020-06-24 21:21:33.642216
Central Shenandoah,6/24/2020,50-59,345,31,2,2020-06-24 21:21:33.642216
Lenowisco,6/24/2020,Missing,0,0,0,2020-06-24 21:21:33.642216
Fairfax,6/24/2020,30-39,2646,158,4,2020-06-24 21:21:33.642216
Lenowisco,6/24/2020,60-69,5,4,2,2020-06-24 21:21:33.642216
Loudoun,6/24/2020,30-39,681,23,0,2020-06-24 21:21:33.642216
West Piedmont,6/24/2020,80+,13,6,1,2020-06-24 21:21:33.642216
Roanoke,6/24/2020,80+,38,3,10,2020-06-24 21:21:33.642216
Fairfax,6/24/2020,40-49,2580,234,9,2020-06-24 21:21:33.642216
Thomas Jefferson,6/24/2020,80+,74,23,14,2020-06-24 21:21:33.642216
Roanoke,6/24/2020,20-29,74,3,0,2020-06-24 21:21:33.642216
Henrico,6/24/2020,60-69,276,44,26,2020-06-24 21:21:33.642216
Lord Fairfax,6/24/2020,40-49,297,16,1,2020-06-24 21:21:33.642216
Western Tidewater,6/24/2020,Missing,5,0,0,2020-06-24 21:21:33.642216
Chickahominy,6/24/2020,60-69,73,18,6,2020-06-24 21:21:33.642216
Chesapeake,6/24/2020,20-29,117,3,0,2020-06-24 21:21:33.642216
Three Rivers,6/24/2020,Missing,1,0,0,2020-06-24 21:21:33.642216
Henrico,6/24/2020,10-19,131,3,0,2020-06-24 21:21:33.642216
Mount Rogers,6/24/2020,30-39,95,4,0,2020-06-24 21:21:33.642216
Eastern Shore,6/24/2020,30-39,234,8,0,2020-06-24 21:21:33.642216
Chesterfield,6/24/2020,0-9,102,0,0,2020-06-24 21:21:33.642216
Central Shenandoah,6/24/2020,10-19,103,1,0,2020-06-24 21:21:33.642216
Crater,6/24/2020,0-9,20,1,0,2020-06-24 21:21:33.642216
Fairfax,6/24/2020,70-79,654,228,97,2020-06-24 21:21:33.642216
Rappahannock,6/24/2020,80+,83,27,14,2020-06-24 21:21:33.642216
Alexandria,6/24/2020,10-19,159,3,0,2020-06-24 21:21:33.642216
Portsmouth,6/24/2020,40-49,58,6,0,2020-06-24 21:21:33.642216
Three Rivers,6/24/2020,50-59,83,7,0,2020-06-24 21:21:33.642216
Alleghany,6/24/2020,Missing,1,0,0,2020-06-24 21:21:33.642216
Alexandria,6/24/2020,30-39,529,28,0,2020-06-24 21:21:33.642216
Southside,6/24/2020,Missing,0,0,0,2020-06-24 21:21:33.642216
Portsmouth,6/24/2020,60-69,49,14,5,2020-06-24 21:21:33.642216
Roanoke,6/24/2020,30-39,75,0,0,2020-06-24 21:21:33.642216
Three Rivers,6/24/2020,60-69,67,10,0,2020-06-24 21:21:33.642216
Fairfax,6/24/2020,50-59,2168,281,29,2020-06-24 21:21:33.642216
Portsmouth,6/24/2020,50-59,70,18,2,2020-06-24 21:21:33.642216
Chickahominy,6/24/2020,80+,82,32,21,2020-06-24 21:21:33.642216
Rappahannock Rapidan,6/24/2020,50-59,202,23,2,2020-06-24 21:21:33.642216
Fairfax,6/24/2020,80+,785,286,271,2020-06-24 21:21:33.642216
Hampton,6/24/2020,Missing,5,0,0,2020-06-24 21:21:33.642216
Cumberland Plateau,6/24/2020,80+,0,0,0,2020-06-24 21:21:33.642216
Alleghany,6/24/2020,50-59,57,5,1,2020-06-24 21:21:33.642216
Prince William,6/24/2020,40-49,1873,137,6,2020-06-24 21:21:33.642216
Fairfax,6/24/2020,Missing,149,3,0,2020-06-24 21:21:33.642216
Virginia Beach,6/24/2020,40-49,153,19,1,2020-06-24 21:21:33.642216
Richmond,6/24/2020,Missing,17,0,0,2020-06-24 21:21:33.642216
Norfolk,6/24/2020,40-49,114,12,0,2020-06-24 21:21:33.642216
Piedmont,6/24/2020,80+,47,14,6,2020-06-24 21:21:33.642216
Virginia Beach,6/24/2020,60-69,133,17,1,2020-06-24 21:21:33.642216
West Piedmont,6/24/2020,40-49,69,7,2,2020-06-24 21:21:33.642216
Arlington,6/24/2020,10-19,91,5,0,2020-06-24 21:21:33.642216
Lenowisco,6/24/2020,0-9,3,0,0,2020-06-24 21:21:33.642216
Pittsylvania-Danville,6/24/2020,50-59,32,9,0,2020-06-24 21:21:33.642216
Virginia Beach,6/24/2020,50-59,137,13,0,2020-06-24 21:21:33.642216
Chesapeake,6/24/2020,Missing,10,1,0,2020-06-24 21:21:33.642216
Central Shenandoah,6/24/2020,80+,92,21,12,2020-06-24 21:21:33.642216
Thomas Jefferson,6/24/2020,40-49,140,7,0,2020-06-24 21:21:33.642216
Rappahannock Rapidan,6/24/2020,60-69,110,16,2,2020-06-24 21:21:33.642216
Norfolk,6/24/2020,30-39,144,10,0,2020-06-24 21:21:33.642216
Rappahannock Rapidan,6/24/2020,Missing,7,0,0,2020-06-24 21:21:33.642216
Lord Fairfax,6/24/2020,80+,128,31,34,2020-06-24 21:21:33.642216
Three Rivers,6/24/2020,10-19,21,0,0,2020-06-24 21:21:33.642216
Piedmont,6/24/2020,40-49,182,8,0,2020-06-24 21:21:33.642216
Norfolk,6/24/2020,80+,17,7,3,2020-06-24 21:21:33.642216
Peninsula,6/24/2020,20-29,159,1,0,2020-06-24 21:21:33.642216
Norfolk,6/24/2020,50-59,114,18,0,2020-06-24 21:21:33.642216
Thomas Jefferson,6/24/2020,50-59,103,9,1,2020-06-24 21:21:33.642216
Richmond,6/24/2020,70-79,75,34,12,2020-06-24 21:21:33.642216
Chesterfield,6/24/2020,70-79,120,21,14,2020-06-24 21:21:33.642216
Piedmont,6/24/2020,30-39,186,2,0,2020-06-24 21:21:33.642216
Prince William,6/24/2020,30-39,1659,90,2,2020-06-24 21:21:33.642216
Alleghany,6/24/2020,20-29,75,1,0,2020-06-24 21:21:33.642216
Alleghany,6/24/2020,0-9,8,0,0,2020-06-24 21:21:33.642216
Mount Rogers,6/24/2020,40-49,93,1,1,2020-06-24 21:21:33.642216
Eastern Shore,6/24/2020,40-49,245,10,2,2020-06-24 21:21:33.642216
Central Virginia,6/24/2020,60-69,41,4,2,2020-06-24 21:21:33.642216
Richmond,6/24/2020,10-19,170,2,0,2020-06-24 21:21:33.642216
Pittsylvania-Danville,6/24/2020,60-69,21,7,1,2020-06-24 21:21:33.642216
Pittsylvania-Danville,6/24/2020,Missing,0,0,0,2020-06-24 21:21:33.642216
Chesterfield,6/24/2020,60-69,263,32,9,2020-06-24 21:21:33.642216
Southside,6/24/2020,10-19,5,0,0,2020-06-24 21:21:33.642216
New River,6/24/2020,80+,12,4,1,2020-06-24 21:21:33.642216
Central Virginia,6/24/2020,50-59,50,2,1,2020-06-24 21:21:33.642216
Hampton,6/24/2020,70-79,17,7,0,2020-06-24 21:21:33.642216
Pittsylvania-Danville,6/24/2020,10-19,7,0,0,2020-06-24 21:21:33.642216
Richmond,6/24/2020,60-69,185,43,6,2020-06-24 21:21:33.642216
Chickahominy,6/24/2020,40-49,80,11,1,2020-06-24 21:21:33.642216
Three Rivers,6/24/2020,80+,32,5,3,2020-06-24 21:21:33.642216
Rappahannock,6/24/2020,30-39,456,21,0,2020-06-24 21:21:33.642216
Lord Fairfax,6/24/2020,60-69,210,41,10,2020-06-24 21:21:33.642216
Western Tidewater,6/24/2020,0-9,6,0,0,2020-06-24 21:21:33.642216
Rappahannock,6/24/2020,70-79,94,26,14,2020-06-24 21:21:33.642216
Prince William,6/24/2020,80+,223,73,63,2020-06-24 21:21:33.642216
Hampton,6/24/2020,80+,5,3,2,2020-06-24 21:21:33.642216
Alexandria,6/24/2020,80+,87,28,22,2020-06-24 21:21:33.642216
Mount Rogers,6/24/2020,60-69,77,7,0,2020-06-24 21:21:33.642216
Eastern Shore,6/24/2020,60-69,174,27,8,2020-06-24 21:21:33.642216
Lord Fairfax,6/24/2020,70-79,120,33,14,2020-06-24 21:21:33.642216
New River,6/24/2020,30-39,23,1,0,2020-06-24 21:21:33.642216
Chesapeake,6/24/2020,10-19,40,1,0,2020-06-24 21:21:33.642216
Hampton,6/24/2020,40-49,44,3,0,2020-06-24 21:21:33.642216
Peninsula,6/24/2020,Missing,7,0,0,2020-06-24 21:21:33.642216
Henrico,6/24/2020,70-79,202,43,34,2020-06-24 21:21:33.642216
Western Tidewater,6/24/2020,20-29,65,2,0,2020-06-24 21:21:33.642216
Peninsula,6/24/2020,0-9,33,0,0,2020-06-24 21:21:33.642216
Loudoun,6/24/2020,40-49,761,45,1,2020-06-24 21:21:33.642216
Pittsylvania-Danville,6/24/2020,30-39,20,1,0,2020-06-24 21:21:33.642216
Loudoun,6/24/2020,20-29,620,6,0,2020-06-24 21:21:33.642216
Crater,6/24/2020,60-69,207,38,10,2020-06-24 21:21:33.642216
Loudoun,6/24/2020,80+,185,49,63,2020-06-24 21:21:33.642216
Arlington,6/24/2020,80+,204,84,65,2020-06-24 21:21:33.642216
Virginia Beach,6/24/2020,10-19,50,0,0,2020-06-24 21:21:33.642216
Mount Rogers,6/24/2020,80+,70,24,16,2020-06-24 21:21:33.642216
Eastern Shore,6/24/2020,80+,50,21,18,2020-06-24 21:21:33.642216
Crater,6/24/2020,10-19,44,0,0,2020-06-24 21:21:33.642216
Lenowisco,6/24/2020,30-39,5,1,1,2020-06-24 21:21:33.642216
Norfolk,6/24/2020,Missing,7,1,0,2020-06-24 21:21:33.642216
Henrico,6/24/2020,Missing,34,1,1,2020-06-24 21:21:33.642216
New River,6/24/2020,40-49,28,1,0,2020-06-24 21:21:33.642216
Central Virginia,6/24/2020,0-9,7,0,0,2020-06-24 21:21:33.642216
New River,6/24/2020,70-79,15,8,3,2020-06-24 21:21:33.642216
Loudoun,6/24/2020,0-9,138,3,0,2020-06-24 21:21:33.642216
Central Virginia,6/24/2020,70-79,20,4,2,2020-06-24 21:21:33.642216
Southside,6/24/2020,0-9,3,0,0,2020-06-24 21:21:33.642216
Three Rivers,6/24/2020,40-49,126,11,2,2020-06-24 21:21:33.642216
Chickahominy,6/24/2020,30-39,82,2,0,2020-06-24 21:21:33.642216
Central Shenandoah,6/24/2020,60-69,244,40,8,2020-06-24 21:21:33.642216
Western Tidewater,6/24/2020,60-69,119,13,6,2020-06-24 21:21:33.642216
Cumberland Plateau,6/24/2020,30-39,5,0,0,2020-06-24 21:21:33.642216
Portsmouth,6/24/2020,10-19,13,0,0,2020-06-24 21:21:33.642216
Chesterfield,6/24/2020,Missing,67,0,0,2020-06-24 21:21:33.642216
Alexandria,6/24/2020,40-49,415,35,0,2020-06-24 21:21:33.642216
Thomas Jefferson,6/24/2020,70-79,57,19,2,2020-06-24 21:21:33.642216
Three Rivers,6/24/2020,30-39,131,3,0,2020-06-24 21:21:33.642216
Western Tidewater,6/24/2020,70-79,82,20,16,2020-06-24 21:21:33.642216
Arlington,6/24/2020,60-69,277,77,19,2020-06-24 21:21:33.642216
Cumberland Plateau,6/24/2020,10-19,13,0,0,2020-06-24 21:21:33.642216
West Piedmont,6/24/2020,30-39,60,1,0,2020-06-24 21:21:33.642216
Peninsula,6/24/2020,10-19,46,1,0,2020-06-24 21:21:33.642216
Chickahominy,6/25/2020,50-59,112,21,1,2020-06-25 20:03:02.672611
Alleghany,6/25/2020,40-49,51,1,0,2020-06-25 20:03:02.672611
Prince William,6/25/2020,50-59,1379,179,14,2020-06-25 20:03:02.672611
Mount Rogers,6/25/2020,0-9,33,1,0,2020-06-25 20:03:02.672611
Eastern Shore,6/25/2020,0-9,18,1,0,2020-06-25 20:03:02.672611
Thomas Jefferson,6/25/2020,60-69,78,17,2,2020-06-25 20:03:02.672611
Pittsylvania-Danville,6/25/2020,70-79,21,10,0,2020-06-25 20:03:02.672611
Chesterfield,6/25/2020,80+,131,26,39,2020-06-25 20:03:02.672611
Richmond,6/25/2020,0-9,88,4,0,2020-06-25 20:03:02.672611
Chesapeake,6/25/2020,80+,44,15,9,2020-06-25 20:03:02.672611
Peninsula,6/25/2020,40-49,118,7,1,2020-06-25 20:03:02.672611
Henrico,6/25/2020,0-9,101,1,0,2020-06-25 20:03:02.672611
Lenowisco,6/25/2020,80+,0,0,0,2020-06-25 20:03:02.672611
Piedmont,6/25/2020,60-69,132,19,2,2020-06-25 20:03:02.672611
West Piedmont,6/25/2020,0-9,14,1,0,2020-06-25 20:03:02.672611
Rappahannock Rapidan,6/25/2020,70-79,37,12,7,2020-06-25 20:03:02.672611
Central Shenandoah,6/25/2020,70-79,116,38,12,2020-06-25 20:03:02.672611
Chesapeake,6/25/2020,30-39,151,8,0,2020-06-25 20:03:02.672611
Chickahominy,6/25/2020,0-9,12,0,0,2020-06-25 20:03:02.672611
Prince William,6/25/2020,0-9,306,7,0,2020-06-25 20:03:02.672611
Eastern Shore,6/25/2020,50-59,276,18,5,2020-06-25 20:03:02.672611
Mount Rogers,6/25/2020,50-59,85,5,1,2020-06-25 20:03:02.672611
Loudoun,6/25/2020,10-19,284,0,0,2020-06-25 20:03:02.672611
Southside,6/25/2020,80+,78,12,12,2020-06-25 20:03:02.672611
Central Virginia,6/25/2020,80+,16,2,0,2020-06-25 20:03:02.672611
Rappahannock,6/25/2020,Missing,18,0,0,2020-06-25 20:03:02.672611
Rappahannock Rapidan,6/25/2020,30-39,292,16,1,2020-06-25 20:03:02.672611
New River,6/25/2020,50-59,29,4,0,2020-06-25 20:03:02.672611
Richmond,6/25/2020,80+,36,17,9,2020-06-25 20:03:02.672611
Mount Rogers,6/25/2020,20-29,101,0,0,2020-06-25 20:03:02.672611
Eastern Shore,6/25/2020,20-29,197,6,0,2020-06-25 20:03:02.672611
Hampton,6/25/2020,10-19,14,0,0,2020-06-25 20:03:02.672611
Portsmouth,6/25/2020,0-9,11,1,0,2020-06-25 20:03:02.672611
Crater,6/25/2020,70-79,128,27,6,2020-06-25 20:03:02.672611
Chesterfield,6/25/2020,40-49,526,15,2,2020-06-25 20:03:02.672611
Alexandria,6/25/2020,Missing,11,0,0,2020-06-25 20:03:02.672611
Southside,6/25/2020,30-39,43,0,0,2020-06-25 20:03:02.672611
Prince William,6/25/2020,Missing,135,2,0,2020-06-25 20:03:02.672611
Hampton,6/25/2020,60-69,36,11,2,2020-06-25 20:03:02.672611
Fairfax,6/25/2020,20-29,2127,68,2,2020-06-25 20:03:02.672611
Thomas Jefferson,6/25/2020,0-9,34,1,0,2020-06-25 20:03:02.672611
Lenowisco,6/25/2020,40-49,7,2,0,2020-06-25 20:03:02.672611
Central Virginia,6/25/2020,10-19,29,1,0,2020-06-25 20:03:02.672611
Lenowisco,6/25/2020,70-79,5,4,1,2020-06-25 20:03:02.672611
Arlington,6/25/2020,50-59,375,66,6,2020-06-25 20:03:02.672611
Piedmont,6/25/2020,70-79,63,17,2,2020-06-25 20:03:02.672611
Alexandria,6/25/2020,60-69,194,44,2,2020-06-25 20:03:02.672611
Portsmouth,6/25/2020,30-39,93,4,0,2020-06-25 20:03:02.672611
Lenowisco,6/25/2020,20-29,7,0,0,2020-06-25 20:03:02.672611
Central Virginia,6/25/2020,30-39,50,1,0,2020-06-25 20:03:02.672611
Norfolk,6/25/2020,10-19,47,1,0,2020-06-25 20:03:02.672611
New River,6/25/2020,10-19,10,0,0,2020-06-25 20:03:02.672611
Central Virginia,6/25/2020,20-29,68,2,0,2020-06-25 20:03:02.672611
Rappahannock,6/25/2020,50-59,358,43,4,2020-06-25 20:03:02.672611
Rappahannock,6/25/2020,60-69,201,43,5,2020-06-25 20:03:02.672611
Piedmont,6/25/2020,20-29,152,2,0,2020-06-25 20:03:02.672611
New River,6/25/2020,60-69,24,4,0,2020-06-25 20:03:02.672611
Roanoke,6/25/2020,40-49,53,1,0,2020-06-25 20:03:02.672611
Three Rivers,6/25/2020,20-29,105,4,0,2020-06-25 20:03:02.672611
Rappahannock,6/25/2020,40-49,418,36,2,2020-06-25 20:03:02.672611
Portsmouth,6/25/2020,80+,21,7,4,2020-06-25 20:03:02.672611
Central Shenandoah,6/25/2020,Missing,0,0,0,2020-06-25 20:03:02.672611
Eastern Shore,6/25/2020,70-79,47,16,9,2020-06-25 20:03:02.672611
Mount Rogers,6/25/2020,70-79,57,24,9,2020-06-25 20:03:02.672611
Cumberland Plateau,6/25/2020,70-79,2,0,0,2020-06-25 20:03:02.672611
Piedmont,6/25/2020,10-19,31,0,0,2020-06-25 20:03:02.672611
Southside,6/25/2020,20-29,38,2,0,2020-06-25 20:03:02.672611
Chesterfield,6/25/2020,50-59,414,30,4,2020-06-25 20:03:02.672611
Rappahannock Rapidan,6/25/2020,20-29,268,4,0,2020-06-25 20:03:02.672611
Cumberland Plateau,6/25/2020,60-69,5,1,0,2020-06-25 20:03:02.672611
Roanoke,6/25/2020,70-79,11,3,0,2020-06-25 20:03:02.672611
Central Shenandoah,6/25/2020,20-29,366,6,0,2020-06-25 20:03:02.672611
Pittsylvania-Danville,6/25/2020,80+,5,3,2,2020-06-25 20:03:02.672611
Virginia Beach,6/25/2020,80+,85,28,18,2020-06-25 20:03:02.672611
Central Shenandoah,6/25/2020,50-59,354,31,2,2020-06-25 20:03:02.672611
Lenowisco,6/25/2020,Missing,0,0,0,2020-06-25 20:03:02.672611
Fairfax,6/25/2020,30-39,2656,160,4,2020-06-25 20:03:02.672611
Lenowisco,6/25/2020,60-69,5,4,2,2020-06-25 20:03:02.672611
Loudoun,6/25/2020,30-39,691,23,0,2020-06-25 20:03:02.672611
West Piedmont,6/25/2020,80+,13,6,1,2020-06-25 20:03:02.672611
Roanoke,6/25/2020,80+,38,3,10,2020-06-25 20:03:02.672611
Fairfax,6/25/2020,40-49,2582,235,9,2020-06-25 20:03:02.672611
Thomas Jefferson,6/25/2020,80+,74,23,14,2020-06-25 20:03:02.672611
Roanoke,6/25/2020,20-29,74,3,0,2020-06-25 20:03:02.672611
Henrico,6/25/2020,60-69,282,45,27,2020-06-25 20:03:02.672611
Lord Fairfax,6/25/2020,40-49,299,16,1,2020-06-25 20:03:02.672611
Western Tidewater,6/25/2020,Missing,5,0,0,2020-06-25 20:03:02.672611
Chickahominy,6/25/2020,60-69,73,18,6,2020-06-25 20:03:02.672611
Chesapeake,6/25/2020,20-29,119,3,0,2020-06-25 20:03:02.672611
Three Rivers,6/25/2020,Missing,1,0,0,2020-06-25 20:03:02.672611
Henrico,6/25/2020,10-19,138,3,0,2020-06-25 20:03:02.672611
Mount Rogers,6/25/2020,30-39,98,4,0,2020-06-25 20:03:02.672611
Eastern Shore,6/25/2020,30-39,234,8,0,2020-06-25 20:03:02.672611
Chesapeake,6/25/2020,0-9,22,1,0,2020-06-25 20:03:02.672611
Peninsula,6/25/2020,50-59,129,19,3,2020-06-25 20:03:02.672611
Cumberland Plateau,6/25/2020,Missing,0,0,0,2020-06-25 20:03:02.672611
Peninsula,6/25/2020,60-69,119,29,3,2020-06-25 20:03:02.672611
Lord Fairfax,6/25/2020,30-39,321,11,1,2020-06-25 20:03:02.672611
Virginia Beach,6/25/2020,Missing,25,0,0,2020-06-25 20:03:02.672611
Arlington,6/25/2020,40-49,418,47,4,2020-06-25 20:03:02.672611
West Piedmont,6/25/2020,10-19,35,0,0,2020-06-25 20:03:02.672611
Chickahominy,6/25/2020,70-79,54,20,6,2020-06-25 20:03:02.672611
Pittsylvania-Danville,6/25/2020,20-29,17,0,0,2020-06-25 20:03:02.672611
Loudoun,6/25/2020,50-59,604,48,1,2020-06-25 20:03:02.672611
Richmond,6/25/2020,30-39,454,24,1,2020-06-25 20:03:02.672611
Thomas Jefferson,6/25/2020,Missing,1,0,0,2020-06-25 20:03:02.672611
Rappahannock Rapidan,6/25/2020,80+,20,12,4,2020-06-25 20:03:02.672611
Lord Fairfax,6/25/2020,Missing,2,0,0,2020-06-25 20:03:02.672611
Cumberland Plateau,6/25/2020,50-59,5,1,0,2020-06-25 20:03:02.672611
Loudoun,6/25/2020,Missing,59,0,1,2020-06-25 20:03:02.672611
Southside,6/25/2020,50-59,54,7,0,2020-06-25 20:03:02.672611
Chesterfield,6/25/2020,20-29,469,5,0,2020-06-25 20:03:02.672611
Norfolk,6/25/2020,70-79,30,19,3,2020-06-25 20:03:02.672611
Alleghany,6/25/2020,10-19,38,0,0,2020-06-25 20:03:02.672611
Crater,6/25/2020,80+,91,16,2,2020-06-25 20:03:02.672611
Portsmouth,6/25/2020,Missing,6,0,0,2020-06-25 20:03:02.672611
Western Tidewater,6/25/2020,10-19,15,0,0,2020-06-25 20:03:02.672611
Chesterfield,6/25/2020,10-19,274,0,0,2020-06-25 20:03:02.672611
Southside,6/25/2020,60-69,53,11,4,2020-06-25 20:03:02.672611
Virginia Beach,6/25/2020,0-9,21,0,0,2020-06-25 20:03:02.672611
Lenowisco,6/25/2020,50-59,14,5,0,2020-06-25 20:03:02.672611
Chesapeake,6/25/2020,70-79,59,25,2,2020-06-25 20:03:02.672611
Western Tidewater,6/25/2020,80+,128,22,21,2020-06-25 20:03:02.672611
Thomas Jefferson,6/25/2020,10-19,52,1,0,2020-06-25 20:03:02.672611
Richmond,6/25/2020,40-49,364,26,1,2020-06-25 20:03:02.672611
Lord Fairfax,6/25/2020,50-59,312,24,2,2020-06-25 20:03:02.672611
Lord Fairfax,6/25/2020,10-19,124,1,0,2020-06-25 20:03:02.672611
Rappahannock Rapidan,6/25/2020,10-19,129,3,0,2020-06-25 20:03:02.672611
Crater,6/25/2020,50-59,247,28,2,2020-06-25 20:03:02.672611
Arlington,6/25/2020,Missing,10,1,0,2020-06-25 20:03:02.672611
Roanoke,6/25/2020,50-59,37,1,0,2020-06-25 20:03:02.672611
Rappahannock,6/25/2020,10-19,207,2,0,2020-06-25 20:03:02.672611
Roanoke,6/25/2020,10-19,30,0,0,2020-06-25 20:03:02.672611
Eastern Shore,6/25/2020,Missing,6,0,0,2020-06-25 20:03:02.672611
Mount Rogers,6/25/2020,Missing,1,0,0,2020-06-25 20:03:02.672611
Prince William,6/25/2020,60-69,726,156,34,2020-06-25 20:03:02.672611
Alleghany,6/25/2020,70-79,31,7,7,2020-06-25 20:03:02.672611
Crater,6/25/2020,20-29,213,7,0,2020-06-25 20:03:02.672611
Loudoun,6/25/2020,60-69,243,46,4,2020-06-25 20:03:02.672611
Fairfax,6/25/2020,0-9,445,18,0,2020-06-25 20:03:02.672611
Roanoke,6/25/2020,Missing,3,0,0,2020-06-25 20:03:02.672611
Alexandria,6/25/2020,20-29,349,7,1,2020-06-25 20:03:02.672611
Portsmouth,6/25/2020,70-79,29,11,5,2020-06-25 20:03:02.672611
Alleghany,6/25/2020,30-39,37,2,0,2020-06-25 20:03:02.672611
Prince William,6/25/2020,20-29,1559,47,0,2020-06-25 20:03:02.672611
Southside,6/25/2020,70-79,54,9,12,2020-06-25 20:03:02.672611
Piedmont,6/25/2020,Missing,1,0,0,2020-06-25 20:03:02.672611
Rappahannock,6/25/2020,0-9,102,1,0,2020-06-25 20:03:02.672611
Henrico,6/25/2020,30-39,425,13,0,2020-06-25 20:03:02.672611
Prince William,6/25/2020,10-19,707,8,0,2020-06-25 20:03:02.672611
Chickahominy,6/25/2020,10-19,32,0,0,2020-06-25 20:03:02.672611
Lord Fairfax,6/25/2020,0-9,55,1,0,2020-06-25 20:03:02.672611
Central Virginia,6/25/2020,Missing,1,0,0,2020-06-25 20:03:02.672611
Fairfax,6/25/2020,60-69,1401,300,54,2020-06-25 20:03:02.672611
Hampton,6/25/2020,20-29,60,2,0,2020-06-25 20:03:02.672611
Central Shenandoah,6/25/2020,40-49,317,12,0,2020-06-25 20:03:02.672611
Pittsylvania-Danville,6/25/2020,0-9,3,0,0,2020-06-25 20:03:02.672611
Crater,6/25/2020,30-39,246,3,0,2020-06-25 20:03:02.672611
Virginia Beach,6/25/2020,70-79,67,26,7,2020-06-25 20:03:02.672611
Virginia Beach,6/25/2020,30-39,150,11,0,2020-06-25 20:03:02.672611
Piedmont,6/25/2020,0-9,20,0,0,2020-06-25 20:03:02.672611
Central Shenandoah,6/25/2020,30-39,299,6,0,2020-06-25 20:03:02.672611
Hampton,6/25/2020,50-59,44,9,1,2020-06-25 20:03:02.672611
Peninsula,6/25/2020,70-79,84,38,11,2020-06-25 20:03:02.672611
Arlington,6/25/2020,20-29,414,20,0,2020-06-25 20:03:02.672611
West Piedmont,6/25/2020,70-79,23,7,3,2020-06-25 20:03:02.672611
Richmond,6/25/2020,20-29,421,13,0,2020-06-25 20:03:02.672611
Roanoke,6/25/2020,0-9,10,0,0,2020-06-25 20:03:02.672611
Hampton,6/25/2020,30-39,46,3,0,2020-06-25 20:03:02.672611
Thomas Jefferson,6/25/2020,30-39,173,5,0,2020-06-25 20:03:02.672611
Western Tidewater,6/25/2020,40-49,94,5,1,2020-06-25 20:03:02.672611
Richmond,6/25/2020,50-59,270,42,1,2020-06-25 20:03:02.672611
Western Tidewater,6/25/2020,50-59,135,12,2,2020-06-25 20:03:02.672611
Crater,6/25/2020,Missing,7,0,0,2020-06-25 20:03:02.672611
Chesterfield,6/25/2020,0-9,102,0,0,2020-06-25 20:03:02.672611
Central Shenandoah,6/25/2020,10-19,105,1,0,2020-06-25 20:03:02.672611
Crater,6/25/2020,0-9,20,1,0,2020-06-25 20:03:02.672611
Fairfax,6/25/2020,70-79,654,228,97,2020-06-25 20:03:02.672611
Rappahannock,6/25/2020,80+,83,27,14,2020-06-25 20:03:02.672611
Alexandria,6/25/2020,10-19,162,3,0,2020-06-25 20:03:02.672611
Portsmouth,6/25/2020,40-49,61,6,0,2020-06-25 20:03:02.672611
Three Rivers,6/25/2020,50-59,83,7,0,2020-06-25 20:03:02.672611
Alleghany,6/25/2020,Missing,1,0,0,2020-06-25 20:03:02.672611
Alexandria,6/25/2020,30-39,529,28,0,2020-06-25 20:03:02.672611
Southside,6/25/2020,Missing,0,0,0,2020-06-25 20:03:02.672611
Portsmouth,6/25/2020,60-69,50,15,5,2020-06-25 20:03:02.672611
Roanoke,6/25/2020,30-39,75,0,0,2020-06-25 20:03:02.672611
Three Rivers,6/25/2020,60-69,67,10,0,2020-06-25 20:03:02.672611
Fairfax,6/25/2020,50-59,2174,283,30,2020-06-25 20:03:02.672611
Portsmouth,6/25/2020,50-59,70,18,2,2020-06-25 20:03:02.672611
Chickahominy,6/25/2020,80+,83,32,21,2020-06-25 20:03:02.672611
Rappahannock Rapidan,6/25/2020,50-59,203,23,2,2020-06-25 20:03:02.672611
Fairfax,6/25/2020,80+,782,286,275,2020-06-25 20:03:02.672611
Hampton,6/25/2020,Missing,5,0,0,2020-06-25 20:03:02.672611
Cumberland Plateau,6/25/2020,80+,0,0,0,2020-06-25 20:03:02.672611
