age_group,health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
70-79,Crater,349,34,65,2020-11-13 00:00:00
80+,Crater,223,46,48,2020-11-13 00:00:00
Missing,Crater,44,0,0,2020-11-13 00:00:00
0-9,Cumberland Plateau,72,0,1,2020-11-13 00:00:00
10-19,Cumberland Plateau,245,0,2,2020-11-13 00:00:00
20-29,Cumberland Plateau,285,0,0,2020-11-13 00:00:00
30-39,Cumberland Plateau,236,0,2,2020-11-13 00:00:00
40-49,Cumberland Plateau,276,1,10,2020-11-13 00:00:00
50-59,Cumberland Plateau,298,2,27,2020-11-13 00:00:00
60-69,Cumberland Plateau,253,4,28,2020-11-13 00:00:00
70-79,Cumberland Plateau,165,4,24,2020-11-13 00:00:00
80+,Cumberland Plateau,70,6,22,2020-11-13 00:00:00
Missing,Cumberland Plateau,1,0,0,2020-11-13 00:00:00
0-9,Eastern Shore,33,0,2,2020-11-13 00:00:00
10-19,Eastern Shore,86,0,1,2020-11-13 00:00:00
20-29,Eastern Shore,224,0,6,2020-11-13 00:00:00
30-39,Eastern Shore,282,0,11,2020-11-13 00:00:00
40-49,Eastern Shore,285,2,13,2020-11-13 00:00:00
50-59,Eastern Shore,313,8,30,2020-11-13 00:00:00
60-69,Eastern Shore,212,8,34,2020-11-13 00:00:00
70-79,Eastern Shore,76,13,27,2020-11-13 00:00:00
80+,Eastern Shore,59,21,27,2020-11-13 00:00:00
Missing,Eastern Shore,6,0,0,2020-11-13 00:00:00
0-9,Fairfax,1232,0,33,2020-11-13 00:00:00
10-19,Fairfax,2297,0,34,2020-11-13 00:00:00
20-29,Fairfax,4824,3,121,2020-11-13 00:00:00
30-39,Fairfax,4963,10,250,2020-11-13 00:00:00
40-49,Fairfax,4484,16,367,2020-11-13 00:00:00
50-59,Fairfax,3921,47,442,2020-11-13 00:00:00
60-69,Fairfax,2421,88,448,2020-11-13 00:00:00
70-79,Fairfax,1020,130,331,2020-11-13 00:00:00
80+,Fairfax,1051,331,390,2020-11-13 00:00:00
Missing,Fairfax,188,0,7,2020-11-13 00:00:00
0-9,Hampton,68,0,0,2020-11-13 00:00:00
10-19,Hampton,160,0,0,2020-11-13 00:00:00
20-29,Hampton,590,1,4,2020-11-13 00:00:00
30-39,Hampton,417,0,4,2020-11-13 00:00:00
40-49,Hampton,320,1,19,2020-11-13 00:00:00
50-59,Hampton,322,5,20,2020-11-13 00:00:00
60-69,Hampton,228,15,23,2020-11-13 00:00:00
70-79,Hampton,131,6,22,2020-11-13 00:00:00
80+,Hampton,73,6,12,2020-11-13 00:00:00
Missing,Hampton,35,0,0,2020-11-13 00:00:00
0-9,Henrico,280,0,6,2020-11-13 00:00:00
10-19,Henrico,646,0,7,2020-11-13 00:00:00
20-29,Henrico,1284,1,22,2020-11-13 00:00:00
30-39,Henrico,1246,0,31,2020-11-13 00:00:00
40-49,Henrico,1042,4,58,2020-11-13 00:00:00
50-59,Henrico,957,15,89,2020-11-13 00:00:00
60-69,Henrico,642,42,95,2020-11-13 00:00:00
70-79,Henrico,429,58,97,2020-11-13 00:00:00
80+,Henrico,545,122,131,2020-11-13 00:00:00
Missing,Henrico,62,1,2,2020-11-13 00:00:00
0-9,Lenowisco,87,0,0,2020-11-13 00:00:00
10-19,Lenowisco,194,0,1,2020-11-13 00:00:00
20-29,Lenowisco,278,0,0,2020-11-13 00:00:00
30-39,Lenowisco,334,1,6,2020-11-13 00:00:00
40-49,Lenowisco,346,0,12,2020-11-13 00:00:00
50-59,Lenowisco,322,1,20,2020-11-13 00:00:00
60-69,Lenowisco,317,5,25,2020-11-13 00:00:00
70-79,Lenowisco,257,13,35,2020-11-13 00:00:00
80+,Lenowisco,198,14,32,2020-11-13 00:00:00
Missing,Lenowisco,3,0,0,2020-11-13 00:00:00
0-9,Lord Fairfax,170,0,4,2020-11-13 00:00:00
10-19,Lord Fairfax,454,0,6,2020-11-13 00:00:00
20-29,Lord Fairfax,789,0,9,2020-11-13 00:00:00
30-39,Lord Fairfax,752,1,23,2020-11-13 00:00:00
40-49,Lord Fairfax,678,2,38,2020-11-13 00:00:00
50-59,Lord Fairfax,731,6,67,2020-11-13 00:00:00
60-69,Lord Fairfax,477,21,81,2020-11-13 00:00:00
70-79,Lord Fairfax,297,32,83,2020-11-13 00:00:00
80+,Lord Fairfax,322,77,72,2020-11-13 00:00:00
Missing,Lord Fairfax,4,0,0,2020-11-13 00:00:00
0-9,Loudoun,379,0,5,2020-11-13 00:00:00
10-19,Loudoun,1179,0,4,2020-11-13 00:00:00
20-29,Loudoun,1529,0,21,2020-11-13 00:00:00
30-39,Loudoun,1467,0,49,2020-11-13 00:00:00
40-49,Loudoun,1614,1,92,2020-11-13 00:00:00
50-59,Loudoun,1297,4,99,2020-11-13 00:00:00
60-69,Loudoun,566,14,102,2020-11-13 00:00:00
70-79,Loudoun,272,22,71,2020-11-13 00:00:00
80+,Loudoun,268,93,72,2020-11-13 00:00:00
Missing,Loudoun,71,1,0,2020-11-13 00:00:00
0-9,Mount Rogers,151,0,2,2020-11-13 00:00:00
10-19,Mount Rogers,416,0,1,2020-11-13 00:00:00
20-29,Mount Rogers,688,0,2,2020-11-13 00:00:00
30-39,Mount Rogers,552,0,17,2020-11-13 00:00:00
40-49,Mount Rogers,648,2,15,2020-11-13 00:00:00
50-59,Mount Rogers,754,6,49,2020-11-13 00:00:00
60-69,Mount Rogers,619,13,61,2020-11-13 00:00:00
70-79,Mount Rogers,516,46,111,2020-11-13 00:00:00
80+,Mount Rogers,445,86,107,2020-11-13 00:00:00
Missing,Mount Rogers,1,0,0,2020-11-13 00:00:00
0-9,New River,60,0,2,2020-11-13 00:00:00
10-19,New River,1472,0,0,2020-11-13 00:00:00
20-29,New River,2207,0,4,2020-11-13 00:00:00
30-39,New River,310,0,5,2020-11-13 00:00:00
40-49,New River,318,0,9,2020-11-13 00:00:00
50-59,New River,306,1,12,2020-11-13 00:00:00
60-69,New River,235,4,28,2020-11-13 00:00:00
70-79,New River,171,12,29,2020-11-13 00:00:00
80+,New River,161,15,22,2020-11-13 00:00:00
Missing,New River,21,0,0,2020-11-13 00:00:00
0-9,Norfolk,207,0,4,2020-11-13 00:00:00
10-19,Norfolk,462,0,4,2020-11-13 00:00:00
20-29,Norfolk,1943,1,19,2020-11-13 00:00:00
30-39,Norfolk,1024,2,44,2020-11-13 00:00:00
40-49,Norfolk,648,2,44,2020-11-13 00:00:00
50-59,Norfolk,633,7,77,2020-11-13 00:00:00
60-69,Norfolk,509,23,103,2020-11-13 00:00:00
70-79,Norfolk,234,23,86,2020-11-13 00:00:00
80+,Norfolk,120,28,41,2020-11-13 00:00:00
Missing,Norfolk,49,0,1,2020-11-13 00:00:00
0-9,Peninsula,205,0,1,2020-11-13 00:00:00
10-19,Peninsula,441,0,1,2020-11-13 00:00:00
20-29,Peninsula,1418,0,4,2020-11-13 00:00:00
30-39,Peninsula,1026,3,20,2020-11-13 00:00:00
40-49,Peninsula,777,2,22,2020-11-13 00:00:00
50-59,Peninsula,741,5,39,2020-11-13 00:00:00
60-69,Peninsula,470,10,46,2020-11-13 00:00:00
70-79,Peninsula,288,33,62,2020-11-13 00:00:00
80+,Peninsula,160,40,41,2020-11-13 00:00:00
Missing,Peninsula,62,0,0,2020-11-13 00:00:00
0-9,Piedmont,85,0,1,2020-11-13 00:00:00
10-19,Piedmont,206,0,3,2020-11-13 00:00:00
20-29,Piedmont,505,0,4,2020-11-13 00:00:00
30-39,Piedmont,459,0,7,2020-11-13 00:00:00
40-49,Piedmont,425,1,16,2020-11-13 00:00:00
50-59,Piedmont,424,4,34,2020-11-13 00:00:00
60-69,Piedmont,340,13,39,2020-11-13 00:00:00
70-79,Piedmont,187,18,46,2020-11-13 00:00:00
80+,Piedmont,136,25,36,2020-11-13 00:00:00
Missing,Piedmont,4,0,0,2020-11-13 00:00:00
0-9,Pittsylvania-Danville,86,0,0,2020-11-13 00:00:00
10-19,Pittsylvania-Danville,243,0,2,2020-11-13 00:00:00
20-29,Pittsylvania-Danville,439,0,4,2020-11-13 00:00:00
30-39,Pittsylvania-Danville,403,1,5,2020-11-13 00:00:00
40-49,Pittsylvania-Danville,432,3,21,2020-11-13 00:00:00
50-59,Pittsylvania-Danville,495,3,44,2020-11-13 00:00:00
60-69,Pittsylvania-Danville,377,12,53,2020-11-13 00:00:00
70-79,Pittsylvania-Danville,210,10,50,2020-11-13 00:00:00
80+,Pittsylvania-Danville,195,36,47,2020-11-13 00:00:00
Missing,Pittsylvania-Danville,2,0,0,2020-11-13 00:00:00
0-9,Portsmouth,89,0,6,2020-11-13 00:00:00
10-19,Portsmouth,226,0,6,2020-11-13 00:00:00
20-29,Portsmouth,616,0,21,2020-11-13 00:00:00
30-39,Portsmouth,527,1,34,2020-11-13 00:00:00
40-49,Portsmouth,443,2,38,2020-11-13 00:00:00
50-59,Portsmouth,412,8,66,2020-11-13 00:00:00
60-69,Portsmouth,356,18,70,2020-11-13 00:00:00
70-79,Portsmouth,171,20,62,2020-11-13 00:00:00
80+,Portsmouth,102,21,34,2020-11-13 00:00:00
Missing,Portsmouth,25,0,1,2020-11-13 00:00:00
0-9,Prince William,890,0,13,2020-11-13 00:00:00
10-19,Prince William,1786,0,15,2020-11-13 00:00:00
20-29,Prince William,3567,1,76,2020-11-13 00:00:00
30-39,Prince William,3399,4,139,2020-11-13 00:00:00
40-49,Prince William,3569,8,215,2020-11-13 00:00:00
50-59,Prince William,2667,25,269,2020-11-13 00:00:00
60-69,Prince William,1400,65,230,2020-11-13 00:00:00
70-79,Prince William,586,66,162,2020-11-13 00:00:00
80+,Prince William,358,94,111,2020-11-13 00:00:00
Missing,Prince William,224,1,3,2020-11-13 00:00:00
0-9,Rappahannock,302,0,2,2020-11-13 00:00:00
10-19,Rappahannock,756,0,6,2020-11-13 00:00:00
20-29,Rappahannock,1328,0,23,2020-11-13 00:00:00
30-39,Rappahannock,1148,0,35,2020-11-13 00:00:00
40-49,Rappahannock,1105,4,65,2020-11-13 00:00:00
50-59,Rappahannock,1023,8,84,2020-11-13 00:00:00
60-69,Rappahannock,526,12,78,2020-11-13 00:00:00
70-79,Rappahannock,290,24,69,2020-11-13 00:00:00
80+,Rappahannock,276,46,97,2020-11-13 00:00:00
Missing,Rappahannock,59,0,2,2020-11-13 00:00:00
0-9,Rappahannock Rapidan,153,0,2,2020-11-13 00:00:00
10-19,Rappahannock Rapidan,332,0,4,2020-11-13 00:00:00
20-29,Rappahannock Rapidan,635,0,6,2020-11-13 00:00:00
30-39,Rappahannock Rapidan,657,2,23,2020-11-13 00:00:00
40-49,Rappahannock Rapidan,618,3,30,2020-11-13 00:00:00
50-59,Rappahannock Rapidan,600,3,45,2020-11-13 00:00:00
60-69,Rappahannock Rapidan,353,6,39,2020-11-13 00:00:00
70-79,Rappahannock Rapidan,146,13,32,2020-11-13 00:00:00
80+,Rappahannock Rapidan,115,28,27,2020-11-13 00:00:00
Missing,Rappahannock Rapidan,20,2,0,2020-11-13 00:00:00
0-9,Richmond,216,0,8,2020-11-13 00:00:00
10-19,Richmond,542,0,6,2020-11-13 00:00:00
20-29,Richmond,1706,0,24,2020-11-13 00:00:00
30-39,Richmond,1173,2,58,2020-11-13 00:00:00
40-49,Richmond,752,5,50,2020-11-13 00:00:00
50-59,Richmond,615,5,85,2020-11-13 00:00:00
60-69,Richmond,474,11,106,2020-11-13 00:00:00
70-79,Richmond,237,28,81,2020-11-13 00:00:00
80+,Richmond,153,27,54,2020-11-13 00:00:00
Missing,Richmond,40,0,1,2020-11-13 00:00:00
0-9,Roanoke,117,0,0,2020-11-13 00:00:00
10-19,Roanoke,304,0,1,2020-11-13 00:00:00
20-29,Roanoke,718,0,8,2020-11-13 00:00:00
30-39,Roanoke,578,0,12,2020-11-13 00:00:00
40-49,Roanoke,452,1,14,2020-11-13 00:00:00
50-59,Roanoke,420,0,19,2020-11-13 00:00:00
60-69,Roanoke,294,1,20,2020-11-13 00:00:00
70-79,Roanoke,205,15,24,2020-11-13 00:00:00
80+,Roanoke,306,37,21,2020-11-13 00:00:00
Missing,Roanoke,6,0,0,2020-11-13 00:00:00
0-9,Southside,43,0,0,2020-11-13 00:00:00
10-19,Southside,102,1,2,2020-11-13 00:00:00
20-29,Southside,260,0,2,2020-11-13 00:00:00
30-39,Southside,337,2,6,2020-11-13 00:00:00
40-49,Southside,305,0,6,2020-11-13 00:00:00
50-59,Southside,323,3,17,2020-11-13 00:00:00
60-69,Southside,299,10,23,2020-11-13 00:00:00
70-79,Southside,201,18,22,2020-11-13 00:00:00
80+,Southside,176,17,17,2020-11-13 00:00:00
Missing,Southside,4,0,0,2020-11-13 00:00:00
0-9,Thomas Jefferson,175,0,1,2020-11-13 00:00:00
10-19,Thomas Jefferson,919,0,5,2020-11-13 00:00:00
20-29,Thomas Jefferson,1156,0,8,2020-11-13 00:00:00
30-39,Thomas Jefferson,641,0,17,2020-11-13 00:00:00
40-49,Thomas Jefferson,577,0,32,2020-11-13 00:00:00
50-59,Thomas Jefferson,456,5,40,2020-11-13 00:00:00
60-69,Thomas Jefferson,360,9,53,2020-11-13 00:00:00
70-79,Thomas Jefferson,233,18,48,2020-11-13 00:00:00
80+,Thomas Jefferson,241,47,51,2020-11-13 00:00:00
Missing,Thomas Jefferson,7,0,0,2020-11-13 00:00:00
0-9,Three Rivers,92,0,1,2020-11-13 00:00:00
10-19,Three Rivers,179,0,1,2020-11-13 00:00:00
20-29,Three Rivers,416,0,10,2020-11-13 00:00:00
30-39,Three Rivers,398,0,10,2020-11-13 00:00:00
40-49,Three Rivers,351,2,19,2020-11-13 00:00:00
50-59,Three Rivers,398,1,23,2020-11-13 00:00:00
60-69,Three Rivers,289,5,31,2020-11-13 00:00:00
70-79,Three Rivers,150,14,29,2020-11-13 00:00:00
80+,Three Rivers,119,19,21,2020-11-13 00:00:00
Missing,Three Rivers,26,0,1,2020-11-13 00:00:00
0-9,Virginia Beach,330,0,1,2020-11-13 00:00:00
10-19,Virginia Beach,745,0,2,2020-11-13 00:00:00
20-29,Virginia Beach,2245,1,20,2020-11-13 00:00:00
30-39,Virginia Beach,1704,1,36,2020-11-13 00:00:00
40-49,Virginia Beach,1228,3,48,2020-11-13 00:00:00
50-59,Virginia Beach,1097,10,77,2020-11-13 00:00:00
60-69,Virginia Beach,775,11,96,2020-11-13 00:00:00
70-79,Virginia Beach,380,30,101,2020-11-13 00:00:00
80+,Virginia Beach,301,55,92,2020-11-13 00:00:00
Missing,Virginia Beach,197,0,0,2020-11-13 00:00:00
0-9,Western Tidewater,152,0,1,2020-11-13 00:00:00
10-19,Western Tidewater,323,0,0,2020-11-13 00:00:00
20-29,Western Tidewater,653,0,6,2020-11-13 00:00:00
30-39,Western Tidewater,699,2,23,2020-11-13 00:00:00
40-49,Western Tidewater,705,5,16,2020-11-13 00:00:00
50-59,Western Tidewater,971,13,39,2020-11-13 00:00:00
60-69,Western Tidewater,682,26,59,2020-11-13 00:00:00
70-79,Western Tidewater,345,41,53,2020-11-13 00:00:00
80+,Western Tidewater,307,73,55,2020-11-13 00:00:00
Missing,Western Tidewater,29,0,0,2020-11-13 00:00:00
0-9,West Piedmont,95,0,2,2020-11-13 00:00:00
10-19,West Piedmont,336,0,4,2020-11-13 00:00:00
20-29,West Piedmont,540,0,7,2020-11-13 00:00:00
30-39,West Piedmont,493,2,15,2020-11-13 00:00:00
40-49,West Piedmont,549,5,30,2020-11-13 00:00:00
50-59,West Piedmont,616,5,63,2020-11-13 00:00:00
60-69,West Piedmont,489,10,61,2020-11-13 00:00:00
70-79,West Piedmont,337,27,77,2020-11-13 00:00:00
80+,West Piedmont,253,46,75,2020-11-13 00:00:00
Missing,West Piedmont,1,0,0,2020-11-13 00:00:00
0-9,Alexandria,328,0,3,2020-11-14 00:00:00
10-19,Alexandria,322,0,6,2020-11-14 00:00:00
20-29,Alexandria,911,1,9,2020-11-14 00:00:00
30-39,Alexandria,1057,1,36,2020-11-14 00:00:00
40-49,Alexandria,793,1,55,2020-11-14 00:00:00
50-59,Alexandria,570,14,69,2020-11-14 00:00:00
60-69,Alexandria,342,5,65,2020-11-14 00:00:00
70-79,Alexandria,153,21,55,2020-11-14 00:00:00
80+,Alexandria,131,33,38,2020-11-14 00:00:00
Missing,Alexandria,12,0,0,2020-11-14 00:00:00
0-9,Alleghany,96,0,0,2020-11-14 00:00:00
10-19,Alleghany,380,0,2,2020-11-14 00:00:00
20-29,Alleghany,654,0,2,2020-11-14 00:00:00
30-39,Alleghany,536,0,8,2020-11-14 00:00:00
40-49,Alleghany,554,0,12,2020-11-14 00:00:00
50-59,Alleghany,579,2,15,2020-11-14 00:00:00
60-69,Alleghany,394,4,31,2020-11-14 00:00:00
70-79,Alleghany,312,27,37,2020-11-14 00:00:00
80+,Alleghany,280,26,30,2020-11-14 00:00:00
Missing,Alleghany,9,0,0,2020-11-14 00:00:00
0-9,Arlington,162,0,2,2020-11-14 00:00:00
10-19,Arlington,345,0,7,2020-11-14 00:00:00
20-29,Arlington,1282,0,26,2020-11-14 00:00:00
30-39,Arlington,1019,0,56,2020-11-14 00:00:00
40-49,Arlington,815,9,73,2020-11-14 00:00:00
50-59,Arlington,652,9,93,2020-11-14 00:00:00
60-69,Arlington,447,23,111,2020-11-14 00:00:00
70-79,Arlington,243,39,90,2020-11-14 00:00:00
80+,Arlington,247,77,100,2020-11-14 00:00:00
Missing,Arlington,29,0,1,2020-11-14 00:00:00
0-9,Central Shenandoah,194,0,0,2020-11-14 00:00:00
10-19,Central Shenandoah,1476,0,2,2020-11-14 00:00:00
20-29,Central Shenandoah,2153,0,15,2020-11-14 00:00:00
30-39,Central Shenandoah,815,2,12,2020-11-14 00:00:00
40-49,Central Shenandoah,858,0,30,2020-11-14 00:00:00
50-59,Central Shenandoah,852,7,54,2020-11-14 00:00:00
60-69,Central Shenandoah,662,17,69,2020-11-14 00:00:00
70-79,Central Shenandoah,360,26,79,2020-11-14 00:00:00
80+,Central Shenandoah,314,42,65,2020-11-14 00:00:00
Missing,Central Shenandoah,20,0,0,2020-11-14 00:00:00
0-9,Central Virginia,163,0,0,2020-11-14 00:00:00
10-19,Central Virginia,751,0,3,2020-11-14 00:00:00
20-29,Central Virginia,1349,0,9,2020-11-14 00:00:00
30-39,Central Virginia,725,0,18,2020-11-14 00:00:00
40-49,Central Virginia,721,1,12,2020-11-14 00:00:00
50-59,Central Virginia,809,5,27,2020-11-14 00:00:00
60-69,Central Virginia,574,9,46,2020-11-14 00:00:00
70-79,Central Virginia,384,14,56,2020-11-14 00:00:00
80+,Central Virginia,232,38,48,2020-11-14 00:00:00
Missing,Central Virginia,6,0,0,2020-11-14 00:00:00
0-9,Chesapeake,207,0,3,2020-11-14 00:00:00
10-19,Chesapeake,475,0,4,2020-11-14 00:00:00
20-29,Chesapeake,1008,0,12,2020-11-14 00:00:00
30-39,Chesapeake,1023,0,29,2020-11-14 00:00:00
40-49,Chesapeake,844,1,59,2020-11-14 00:00:00
50-59,Chesapeake,794,8,95,2020-11-14 00:00:00
60-69,Chesapeake,600,18,118,2020-11-14 00:00:00
70-79,Chesapeake,292,16,99,2020-11-14 00:00:00
80+,Chesapeake,217,37,83,2020-11-14 00:00:00
Missing,Chesapeake,39,0,1,2020-11-14 00:00:00
0-9,Chesterfield,361,0,5,2020-11-14 00:00:00
10-19,Chesterfield,884,0,2,2020-11-14 00:00:00
20-29,Chesterfield,1590,0,21,2020-11-14 00:00:00
30-39,Chesterfield,1616,2,50,2020-11-14 00:00:00
40-49,Chesterfield,1424,5,64,2020-11-14 00:00:00
50-59,Chesterfield,1203,8,107,2020-11-14 00:00:00
60-69,Chesterfield,776,29,109,2020-11-14 00:00:00
70-79,Chesterfield,379,44,84,2020-11-14 00:00:00
80+,Chesterfield,299,65,61,2020-11-14 00:00:00
Missing,Chesterfield,185,0,2,2020-11-14 00:00:00
0-9,Chickahominy,77,0,1,2020-11-14 00:00:00
10-19,Chickahominy,316,0,0,2020-11-14 00:00:00
20-29,Chickahominy,453,0,4,2020-11-14 00:00:00
30-39,Chickahominy,391,0,8,2020-11-14 00:00:00
40-49,Chickahominy,372,1,19,2020-11-14 00:00:00
50-59,Chickahominy,480,1,38,2020-11-14 00:00:00
60-69,Chickahominy,305,11,46,2020-11-14 00:00:00
70-79,Chickahominy,204,12,41,2020-11-14 00:00:00
80+,Chickahominy,150,38,57,2020-11-14 00:00:00
Missing,Chickahominy,27,1,0,2020-11-14 00:00:00
0-9,Crater,138,0,2,2020-11-14 00:00:00
10-19,Crater,356,0,2,2020-11-14 00:00:00
20-29,Crater,919,0,10,2020-11-14 00:00:00
30-39,Crater,1036,1,15,2020-11-14 00:00:00
40-49,Crater,842,1,30,2020-11-14 00:00:00
50-59,Crater,934,10,66,2020-11-14 00:00:00
60-69,Crater,635,26,86,2020-11-14 00:00:00
70-79,Crater,349,34,65,2020-11-14 00:00:00
80+,Crater,225,46,48,2020-11-14 00:00:00
Missing,Crater,44,0,0,2020-11-14 00:00:00
0-9,Cumberland Plateau,72,0,1,2020-11-14 00:00:00
10-19,Cumberland Plateau,249,0,2,2020-11-14 00:00:00
20-29,Cumberland Plateau,289,0,0,2020-11-14 00:00:00
30-39,Cumberland Plateau,244,0,2,2020-11-14 00:00:00
40-49,Cumberland Plateau,282,1,10,2020-11-14 00:00:00
50-59,Cumberland Plateau,304,2,27,2020-11-14 00:00:00
60-69,Cumberland Plateau,258,4,28,2020-11-14 00:00:00
70-79,Cumberland Plateau,169,4,24,2020-11-14 00:00:00
80+,Cumberland Plateau,73,6,23,2020-11-14 00:00:00
Missing,Cumberland Plateau,1,0,0,2020-11-14 00:00:00
0-9,Eastern Shore,33,0,2,2020-11-14 00:00:00
10-19,Eastern Shore,88,0,1,2020-11-14 00:00:00
20-29,Eastern Shore,225,0,6,2020-11-14 00:00:00
30-39,Eastern Shore,283,0,11,2020-11-14 00:00:00
40-49,Eastern Shore,285,2,13,2020-11-14 00:00:00
50-59,Eastern Shore,313,8,30,2020-11-14 00:00:00
60-69,Eastern Shore,214,8,34,2020-11-14 00:00:00
70-79,Eastern Shore,76,13,27,2020-11-14 00:00:00
80+,Eastern Shore,59,21,27,2020-11-14 00:00:00
Missing,Eastern Shore,6,0,0,2020-11-14 00:00:00
0-9,Fairfax,1237,0,33,2020-11-14 00:00:00
10-19,Fairfax,2310,0,34,2020-11-14 00:00:00
20-29,Fairfax,4842,3,122,2020-11-14 00:00:00
30-39,Fairfax,4979,10,250,2020-11-14 00:00:00
40-49,Fairfax,4509,16,368,2020-11-14 00:00:00
50-59,Fairfax,3946,47,442,2020-11-14 00:00:00
60-69,Fairfax,2427,88,449,2020-11-14 00:00:00
70-79,Fairfax,1022,130,331,2020-11-14 00:00:00
80+,Fairfax,1058,331,392,2020-11-14 00:00:00
Missing,Fairfax,188,0,7,2020-11-14 00:00:00
0-9,Hampton,68,0,0,2020-11-14 00:00:00
10-19,Hampton,162,0,0,2020-11-14 00:00:00
20-29,Hampton,594,1,4,2020-11-14 00:00:00
30-39,Hampton,418,0,4,2020-11-14 00:00:00
40-49,Hampton,323,1,19,2020-11-14 00:00:00
50-59,Hampton,323,5,20,2020-11-14 00:00:00
60-69,Hampton,229,15,24,2020-11-14 00:00:00
70-79,Hampton,131,6,22,2020-11-14 00:00:00
80+,Hampton,73,6,13,2020-11-14 00:00:00
Missing,Hampton,35,0,0,2020-11-14 00:00:00
0-9,Henrico,281,0,6,2020-11-14 00:00:00
10-19,Henrico,652,0,7,2020-11-14 00:00:00
20-29,Henrico,1288,1,22,2020-11-14 00:00:00
30-39,Henrico,1246,0,31,2020-11-14 00:00:00
40-49,Henrico,1047,4,58,2020-11-14 00:00:00
50-59,Henrico,962,15,89,2020-11-14 00:00:00
60-69,Henrico,647,42,95,2020-11-14 00:00:00
70-79,Henrico,430,58,99,2020-11-14 00:00:00
80+,Henrico,551,122,132,2020-11-14 00:00:00
Missing,Henrico,62,1,2,2020-11-14 00:00:00
0-9,Lenowisco,95,0,0,2020-11-14 00:00:00
10-19,Lenowisco,196,0,1,2020-11-14 00:00:00
20-29,Lenowisco,280,0,0,2020-11-14 00:00:00
30-39,Lenowisco,342,1,6,2020-11-14 00:00:00
40-49,Lenowisco,353,0,12,2020-11-14 00:00:00
50-59,Lenowisco,334,2,21,2020-11-14 00:00:00
60-69,Lenowisco,319,5,25,2020-11-14 00:00:00
70-79,Lenowisco,261,13,36,2020-11-14 00:00:00
80+,Lenowisco,202,14,32,2020-11-14 00:00:00
Missing,Lenowisco,3,0,0,2020-11-14 00:00:00
0-9,Lord Fairfax,174,0,4,2020-11-14 00:00:00
10-19,Lord Fairfax,459,0,6,2020-11-14 00:00:00
20-29,Lord Fairfax,803,0,9,2020-11-14 00:00:00
30-39,Lord Fairfax,770,1,23,2020-11-14 00:00:00
40-49,Lord Fairfax,690,2,38,2020-11-14 00:00:00
50-59,Lord Fairfax,745,6,67,2020-11-14 00:00:00
60-69,Lord Fairfax,483,21,81,2020-11-14 00:00:00
70-79,Lord Fairfax,301,32,84,2020-11-14 00:00:00
80+,Lord Fairfax,325,77,75,2020-11-14 00:00:00
Missing,Lord Fairfax,4,0,0,2020-11-14 00:00:00
0-9,Loudoun,379,0,5,2020-11-14 00:00:00
10-19,Loudoun,1188,0,4,2020-11-14 00:00:00
20-29,Loudoun,1541,0,21,2020-11-14 00:00:00
30-39,Loudoun,1477,0,49,2020-11-14 00:00:00
40-49,Loudoun,1635,1,92,2020-11-14 00:00:00
50-59,Loudoun,1305,4,99,2020-11-14 00:00:00
60-69,Loudoun,568,14,102,2020-11-14 00:00:00
70-79,Loudoun,274,22,71,2020-11-14 00:00:00
80+,Loudoun,268,93,72,2020-11-14 00:00:00
Missing,Loudoun,71,1,0,2020-11-14 00:00:00
0-9,Mount Rogers,159,0,3,2020-11-14 00:00:00
10-19,Mount Rogers,430,0,2,2020-11-14 00:00:00
20-29,Mount Rogers,700,0,2,2020-11-14 00:00:00
30-39,Mount Rogers,567,0,17,2020-11-14 00:00:00
40-49,Mount Rogers,667,2,16,2020-11-14 00:00:00
50-59,Mount Rogers,779,6,50,2020-11-14 00:00:00
60-69,Mount Rogers,635,13,61,2020-11-14 00:00:00
70-79,Mount Rogers,524,46,112,2020-11-14 00:00:00
80+,Mount Rogers,447,86,107,2020-11-14 00:00:00
Missing,Mount Rogers,1,0,0,2020-11-14 00:00:00
0-9,New River,60,0,2,2020-11-14 00:00:00
10-19,New River,1476,0,0,2020-11-14 00:00:00
20-29,New River,2218,0,4,2020-11-14 00:00:00
30-39,New River,312,0,5,2020-11-14 00:00:00
40-49,New River,320,0,9,2020-11-14 00:00:00
50-59,New River,311,1,12,2020-11-14 00:00:00
60-69,New River,236,4,28,2020-11-14 00:00:00
70-79,New River,172,12,30,2020-11-14 00:00:00
80+,New River,161,15,22,2020-11-14 00:00:00
Missing,New River,21,0,0,2020-11-14 00:00:00
0-9,Norfolk,207,0,4,2020-11-14 00:00:00
10-19,Norfolk,466,0,4,2020-11-14 00:00:00
20-29,Norfolk,1954,1,20,2020-11-14 00:00:00
30-39,Norfolk,1032,2,44,2020-11-14 00:00:00
40-49,Norfolk,653,2,44,2020-11-14 00:00:00
50-59,Norfolk,635,8,77,2020-11-14 00:00:00
60-69,Norfolk,512,23,103,2020-11-14 00:00:00
70-79,Norfolk,235,23,86,2020-11-14 00:00:00
80+,Norfolk,120,28,42,2020-11-14 00:00:00
Missing,Norfolk,49,0,1,2020-11-14 00:00:00
0-9,Peninsula,207,0,1,2020-11-14 00:00:00
10-19,Peninsula,445,0,1,2020-11-14 00:00:00
20-29,Peninsula,1433,0,4,2020-11-14 00:00:00
30-39,Peninsula,1032,3,20,2020-11-14 00:00:00
