age_group,health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
Missing,Mount Rogers,1,0,0,2020-07-23 00:00:00
0-9,New River,8,0,0,2020-07-23 00:00:00
10-19,New River,41,0,0,2020-07-23 00:00:00
20-29,New River,102,0,0,2020-07-23 00:00:00
30-39,New River,43,0,1,2020-07-23 00:00:00
40-49,New River,51,0,3,2020-07-23 00:00:00
50-59,New River,48,0,4,2020-07-23 00:00:00
60-69,New River,30,0,5,2020-07-23 00:00:00
70-79,New River,22,4,8,2020-07-23 00:00:00
80+,New River,14,2,4,2020-07-23 00:00:00
Missing,New River,0,0,0,2020-07-23 00:00:00
0-9,Norfolk,80,0,2,2020-07-23 00:00:00
10-19,Norfolk,130,0,1,2020-07-23 00:00:00
20-29,Norfolk,817,0,7,2020-07-23 00:00:00
30-39,Norfolk,489,1,17,2020-07-23 00:00:00
40-49,Norfolk,313,1,17,2020-07-23 00:00:00
50-59,Norfolk,260,4,26,2020-07-23 00:00:00
60-69,Norfolk,226,3,37,2020-07-23 00:00:00
70-79,Norfolk,85,6,30,2020-07-23 00:00:00
80+,Norfolk,60,5,14,2020-07-23 00:00:00
Missing,Norfolk,29,0,1,2020-07-23 00:00:00
0-9,Peninsula,83,0,0,2020-07-23 00:00:00
10-19,Peninsula,130,0,1,2020-07-23 00:00:00
20-29,Peninsula,553,0,1,2020-07-23 00:00:00
30-39,Peninsula,388,1,12,2020-07-23 00:00:00
40-49,Peninsula,315,1,14,2020-07-23 00:00:00
50-59,Peninsula,260,3,24,2020-07-23 00:00:00
60-69,Peninsula,184,4,34,2020-07-23 00:00:00
70-79,Peninsula,123,12,40,2020-07-23 00:00:00
80+,Peninsula,82,18,30,2020-07-23 00:00:00
Missing,Peninsula,33,0,0,2020-07-23 00:00:00
0-9,Piedmont,25,0,0,2020-07-23 00:00:00
10-19,Piedmont,39,0,0,2020-07-23 00:00:00
20-29,Piedmont,190,0,2,2020-07-23 00:00:00
30-39,Piedmont,226,0,5,2020-07-23 00:00:00
40-49,Piedmont,213,0,12,2020-07-23 00:00:00
50-59,Piedmont,208,1,25,2020-07-23 00:00:00
60-69,Piedmont,157,2,23,2020-07-23 00:00:00
70-79,Piedmont,82,4,26,2020-07-23 00:00:00
80+,Piedmont,56,12,23,2020-07-23 00:00:00
Missing,Piedmont,2,0,0,2020-07-23 00:00:00
0-9,Pittsylvania-Danville,17,0,0,2020-07-23 00:00:00
10-19,Pittsylvania-Danville,31,0,0,2020-07-23 00:00:00
20-29,Pittsylvania-Danville,61,0,0,2020-07-23 00:00:00
30-39,Pittsylvania-Danville,62,0,1,2020-07-23 00:00:00
40-49,Pittsylvania-Danville,88,1,8,2020-07-23 00:00:00
50-59,Pittsylvania-Danville,94,0,16,2020-07-23 00:00:00
60-69,Pittsylvania-Danville,60,1,10,2020-07-23 00:00:00
70-79,Pittsylvania-Danville,35,1,13,2020-07-23 00:00:00
80+,Pittsylvania-Danville,34,2,9,2020-07-23 00:00:00
Missing,Pittsylvania-Danville,0,0,0,2020-07-23 00:00:00
0-9,Portsmouth,37,0,3,2020-07-23 00:00:00
10-19,Portsmouth,76,0,0,2020-07-23 00:00:00
20-29,Portsmouth,262,0,11,2020-07-23 00:00:00
30-39,Portsmouth,234,1,10,2020-07-23 00:00:00
40-49,Portsmouth,149,0,11,2020-07-23 00:00:00
50-59,Portsmouth,152,2,24,2020-07-23 00:00:00
60-69,Portsmouth,108,6,24,2020-07-23 00:00:00
70-79,Portsmouth,55,6,16,2020-07-23 00:00:00
80+,Portsmouth,22,6,8,2020-07-23 00:00:00
Missing,Portsmouth,20,0,0,2020-07-23 00:00:00
0-9,Prince William,398,0,10,2020-07-23 00:00:00
10-19,Prince William,894,0,8,2020-07-23 00:00:00
20-29,Prince William,1844,0,55,2020-07-23 00:00:00
30-39,Prince William,1929,2,101,2020-07-23 00:00:00
40-49,Prince William,2131,8,173,2020-07-23 00:00:00
50-59,Prince William,1571,15,206,2020-07-23 00:00:00
60-69,Prince William,837,45,177,2020-07-23 00:00:00
70-79,Prince William,336,48,105,2020-07-23 00:00:00
80+,Prince William,253,74,86,2020-07-23 00:00:00
Missing,Prince William,160,0,3,2020-07-23 00:00:00
0-9,Rappahannock,130,0,2,2020-07-23 00:00:00
10-19,Rappahannock,292,0,3,2020-07-23 00:00:00
20-29,Rappahannock,522,0,14,2020-07-23 00:00:00
30-39,Rappahannock,552,0,25,2020-07-23 00:00:00
40-49,Rappahannock,525,2,47,2020-07-23 00:00:00
50-59,Rappahannock,455,4,54,2020-07-23 00:00:00
60-69,Rappahannock,239,7,48,2020-07-23 00:00:00
70-79,Rappahannock,122,16,37,2020-07-23 00:00:00
80+,Rappahannock,101,20,35,2020-07-23 00:00:00
Missing,Rappahannock,23,0,0,2020-07-23 00:00:00
0-9,Rappahannock Rapidan,89,0,1,2020-07-23 00:00:00
10-19,Rappahannock Rapidan,152,0,3,2020-07-23 00:00:00
20-29,Rappahannock Rapidan,327,0,6,2020-07-23 00:00:00
30-39,Rappahannock Rapidan,352,1,18,2020-07-23 00:00:00
40-49,Rappahannock Rapidan,333,2,21,2020-07-23 00:00:00
50-59,Rappahannock Rapidan,257,2,31,2020-07-23 00:00:00
60-69,Rappahannock Rapidan,140,4,18,2020-07-23 00:00:00
70-79,Rappahannock Rapidan,49,8,14,2020-07-23 00:00:00
80+,Rappahannock Rapidan,30,8,17,2020-07-23 00:00:00
Missing,Rappahannock Rapidan,12,0,0,2020-07-23 00:00:00
0-9,Richmond,116,0,6,2020-07-23 00:00:00
10-19,Richmond,217,0,2,2020-07-23 00:00:00
20-29,Richmond,619,0,17,2020-07-23 00:00:00
30-39,Richmond,576,1,30,2020-07-23 00:00:00
40-49,Richmond,427,3,31,2020-07-23 00:00:00
50-59,Richmond,325,1,57,2020-07-23 00:00:00
60-69,Richmond,229,7,56,2020-07-23 00:00:00
70-79,Richmond,99,14,43,2020-07-23 00:00:00
80+,Richmond,40,9,21,2020-07-23 00:00:00
Missing,Richmond,22,0,0,2020-07-23 00:00:00
0-9,Roanoke,20,0,0,2020-07-23 00:00:00
10-19,Roanoke,70,0,0,2020-07-23 00:00:00
20-29,Roanoke,152,0,3,2020-07-23 00:00:00
30-39,Roanoke,159,0,1,2020-07-23 00:00:00
40-49,Roanoke,103,0,1,2020-07-23 00:00:00
50-59,Roanoke,66,0,1,2020-07-23 00:00:00
60-69,Roanoke,48,0,3,2020-07-23 00:00:00
70-79,Roanoke,19,1,3,2020-07-23 00:00:00
80+,Roanoke,43,9,3,2020-07-23 00:00:00
Missing,Roanoke,4,0,0,2020-07-23 00:00:00
0-9,Southside,7,0,0,2020-07-23 00:00:00
10-19,Southside,19,0,0,2020-07-23 00:00:00
20-29,Southside,71,0,2,2020-07-23 00:00:00
30-39,Southside,88,0,4,2020-07-23 00:00:00
40-49,Southside,72,0,6,2020-07-23 00:00:00
50-59,Southside,82,0,11,2020-07-23 00:00:00
60-69,Southside,69,5,15,2020-07-23 00:00:00
70-79,Southside,68,14,12,2020-07-23 00:00:00
80+,Southside,83,13,12,2020-07-23 00:00:00
Missing,Southside,0,0,0,2020-07-23 00:00:00
0-9,Thomas Jefferson,67,0,1,2020-07-23 00:00:00
10-19,Thomas Jefferson,111,0,2,2020-07-23 00:00:00
20-29,Thomas Jefferson,261,0,2,2020-07-23 00:00:00
30-39,Thomas Jefferson,281,0,11,2020-07-23 00:00:00
40-49,Thomas Jefferson,227,0,17,2020-07-23 00:00:00
50-59,Thomas Jefferson,183,2,16,2020-07-23 00:00:00
60-69,Thomas Jefferson,132,4,28,2020-07-23 00:00:00
70-79,Thomas Jefferson,107,5,23,2020-07-23 00:00:00
