health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date,sex
Three Rivers,285,9,36,2020-07-22 00:00:00,Female
Three Rivers,592,3,25,2020-07-22 00:00:00,Male
Three Rivers,20,0,0,2020-07-22 00:00:00,Not Reported
Virginia Beach,1596,18,84,2020-07-22 00:00:00,Female
Virginia Beach,1361,21,86,2020-07-22 00:00:00,Male
Virginia Beach,11,0,0,2020-07-22 00:00:00,Not Reported
Western Tidewater,745,31,48,2020-07-22 00:00:00,Female
Western Tidewater,640,38,65,2020-07-22 00:00:00,Male
Western Tidewater,1,0,0,2020-07-22 00:00:00,Not Reported
West Piedmont,411,4,47,2020-07-22 00:00:00,Female
West Piedmont,341,5,38,2020-07-22 00:00:00,Male
West Piedmont,5,0,0,2020-07-22 00:00:00,Not Reported
Alexandria,1331,30,119,2020-07-21 00:00:00,Female
Alexandria,1243,26,136,2020-07-21 00:00:00,Male
Alexandria,8,0,0,2020-07-21 00:00:00,Not Reported
Alleghany,387,10,13,2020-07-21 00:00:00,Female
Alleghany,323,5,24,2020-07-21 00:00:00,Male
Alleghany,7,0,0,2020-07-21 00:00:00,Not Reported
Arlington,1351,66,192,2020-07-21 00:00:00,Female
Arlington,1394,69,239,2020-07-21 00:00:00,Male
Arlington,5,0,0,2020-07-21 00:00:00,Not Reported
Central Shenandoah,1308,25,97,2020-07-21 00:00:00,Female
Central Shenandoah,1134,24,95,2020-07-21 00:00:00,Male
Central Shenandoah,1,0,0,2020-07-21 00:00:00,Not Reported
Central Virginia,338,2,7,2020-07-21 00:00:00,Female
Central Virginia,332,4,11,2020-07-21 00:00:00,Male
Central Virginia,0,0,0,2020-07-21 00:00:00,Not Reported
Chesapeake,1012,12,99,2020-07-21 00:00:00,Female
Chesapeake,775,12,75,2020-07-21 00:00:00,Male
Chesapeake,3,0,0,2020-07-21 00:00:00,Not Reported
Chesterfield,1861,44,111,2020-07-21 00:00:00,Female
Chesterfield,1858,42,106,2020-07-21 00:00:00,Male
Chesterfield,91,2,0,2020-07-21 00:00:00,Not Reported
Chickahominy,445,20,60,2020-07-21 00:00:00,Female
Chickahominy,363,20,56,2020-07-21 00:00:00,Male
Chickahominy,4,0,0,2020-07-21 00:00:00,Not Reported
Crater,832,29,100,2020-07-21 00:00:00,Female
Crater,1026,21,90,2020-07-21 00:00:00,Male
Crater,15,0,1,2020-07-21 00:00:00,Not Reported
Cumberland Plateau,73,0,2,2020-07-21 00:00:00,Female
Cumberland Plateau,70,0,8,2020-07-21 00:00:00,Male
Cumberland Plateau,0,0,0,2020-07-21 00:00:00,Not Reported
Eastern Shore,671,23,62,2020-07-21 00:00:00,Female
Eastern Shore,658,20,56,2020-07-21 00:00:00,Male
Eastern Shore,9,0,0,2020-07-21 00:00:00,Not Reported
Fairfax,7693,255,772,2020-07-21 00:00:00,Female
Fairfax,7334,266,1039,2020-07-21 00:00:00,Male
Fairfax,94,2,2,2020-07-21 00:00:00,Not Reported
Hampton,417,1,16,2020-07-21 00:00:00,Female
Hampton,331,3,27,2020-07-21 00:00:00,Male
Hampton,3,0,0,2020-07-21 00:00:00,Not Reported
Henrico,1670,94,136,2020-07-21 00:00:00,Female
Henrico,1413,83,155,2020-07-21 00:00:00,Male
Henrico,14,0,0,2020-07-21 00:00:00,Not Reported
Lenowisco,70,1,11,2020-07-21 00:00:00,Female
Lenowisco,63,4,11,2020-07-21 00:00:00,Male
Lenowisco,0,0,0,2020-07-21 00:00:00,Not Reported
Lord Fairfax,1231,46,95,2020-07-21 00:00:00,Female
Lord Fairfax,1105,36,110,2020-07-21 00:00:00,Male
Lord Fairfax,8,0,0,2020-07-21 00:00:00,Not Reported
Loudoun,2353,67,141,2020-07-21 00:00:00,Female
Loudoun,2316,39,183,2020-07-21 00:00:00,Male
Loudoun,26,0,0,2020-07-21 00:00:00,Not Reported
Mount Rogers,527,16,34,2020-07-21 00:00:00,Female
Mount Rogers,455,20,61,2020-07-21 00:00:00,Male
Mount Rogers,2,0,0,2020-07-21 00:00:00,Not Reported
New River,160,1,8,2020-07-21 00:00:00,Female
New River,185,5,17,2020-07-21 00:00:00,Male
New River,3,0,0,2020-07-21 00:00:00,Not Reported
Norfolk,1244,9,74,2020-07-21 00:00:00,Female
Norfolk,1084,12,71,2020-07-21 00:00:00,Male
Norfolk,1,0,0,2020-07-21 00:00:00,Not Reported
Peninsula,1093,24,75,2020-07-21 00:00:00,Female
Peninsula,949,15,74,2020-07-21 00:00:00,Male
Peninsula,9,0,0,2020-07-21 00:00:00,Not Reported
Piedmont,368,5,47,2020-07-21 00:00:00,Female
Piedmont,813,14,67,2020-07-21 00:00:00,Male
Piedmont,4,0,0,2020-07-21 00:00:00,Not Reported
Pittsylvania-Danville,248,4,33,2020-07-21 00:00:00,Female
Pittsylvania-Danville,176,1,23,2020-07-21 00:00:00,Male
Pittsylvania-Danville,4,0,0,2020-07-21 00:00:00,Not Reported
Portsmouth,547,12,58,2020-07-21 00:00:00,Female
Portsmouth,496,9,43,2020-07-21 00:00:00,Male
Portsmouth,3,0,0,2020-07-21 00:00:00,Not Reported
Prince William,5108,83,391,2020-07-21 00:00:00,Female
Prince William,5071,108,497,2020-07-21 00:00:00,Male
Prince William,69,0,1,2020-07-21 00:00:00,Not Reported
Rappahannock,1518,20,121,2020-07-21 00:00:00,Female
Rappahannock,1352,27,136,2020-07-21 00:00:00,Male
Rappahannock,7,0,1,2020-07-21 00:00:00,Not Reported
Rappahannock Rapidan,858,10,51,2020-07-21 00:00:00,Female
Rappahannock Rapidan,850,14,75,2020-07-21 00:00:00,Male
Rappahannock Rapidan,7,1,1,2020-07-21 00:00:00,Not Reported
Richmond,1278,9,115,2020-07-21 00:00:00,Female
Richmond,1302,24,137,2020-07-21 00:00:00,Male
Richmond,43,2,2,2020-07-21 00:00:00,Not Reported
Roanoke,346,7,7,2020-07-21 00:00:00,Female
Roanoke,306,3,8,2020-07-21 00:00:00,Male
Roanoke,13,0,0,2020-07-21 00:00:00,Not Reported
Southside,300,19,30,2020-07-21 00:00:00,Female
Southside,246,13,30,2020-07-21 00:00:00,Male
Southside,4,0,0,2020-07-21 00:00:00,Not Reported
Thomas Jefferson,766,15,61,2020-07-21 00:00:00,Female
Thomas Jefferson,674,15,55,2020-07-21 00:00:00,Male
Thomas Jefferson,0,0,0,2020-07-21 00:00:00,Not Reported
Three Rivers,279,9,36,2020-07-21 00:00:00,Female
Three Rivers,587,3,25,2020-07-21 00:00:00,Male
Three Rivers,20,0,0,2020-07-21 00:00:00,Not Reported
Virginia Beach,1520,17,75,2020-07-21 00:00:00,Female
Virginia Beach,1298,21,79,2020-07-21 00:00:00,Male
Virginia Beach,11,0,0,2020-07-21 00:00:00,Not Reported
Western Tidewater,731,31,47,2020-07-21 00:00:00,Female
Western Tidewater,631,38,65,2020-07-21 00:00:00,Male
Western Tidewater,1,0,0,2020-07-21 00:00:00,Not Reported
West Piedmont,398,4,43,2020-07-21 00:00:00,Female
West Piedmont,333,5,36,2020-07-21 00:00:00,Male
West Piedmont,4,0,0,2020-07-21 00:00:00,Not Reported
Alexandria,1327,30,119,2020-07-20 00:00:00,Female
Alexandria,1224,26,136,2020-07-20 00:00:00,Male
Alexandria,8,0,0,2020-07-20 00:00:00,Not Reported
Alleghany,386,10,13,2020-07-20 00:00:00,Female
Alleghany,322,5,24,2020-07-20 00:00:00,Male
Alleghany,7,0,0,2020-07-20 00:00:00,Not Reported
Arlington,1346,66,192,2020-07-20 00:00:00,Female
Arlington,1387,69,238,2020-07-20 00:00:00,Male
Arlington,4,0,0,2020-07-20 00:00:00,Not Reported
Central Shenandoah,1299,25,97,2020-07-20 00:00:00,Female
Central Shenandoah,1130,23,95,2020-07-20 00:00:00,Male
Central Shenandoah,1,0,0,2020-07-20 00:00:00,Not Reported
Central Virginia,318,2,7,2020-07-20 00:00:00,Female
Central Virginia,318,4,10,2020-07-20 00:00:00,Male
Central Virginia,0,0,0,2020-07-20 00:00:00,Not Reported
Chesapeake,991,12,94,2020-07-20 00:00:00,Female
Chesapeake,764,12,75,2020-07-20 00:00:00,Male
Chesapeake,3,0,0,2020-07-20 00:00:00,Not Reported
Chesterfield,1817,44,105,2020-07-20 00:00:00,Female
Chesterfield,1829,42,102,2020-07-20 00:00:00,Male
Chesterfield,93,2,0,2020-07-20 00:00:00,Not Reported
Chickahominy,431,20,59,2020-07-20 00:00:00,Female
Chickahominy,355,20,56,2020-07-20 00:00:00,Male
Chickahominy,4,0,0,2020-07-20 00:00:00,Not Reported
Crater,821,29,98,2020-07-20 00:00:00,Female
Crater,1024,21,90,2020-07-20 00:00:00,Male
Crater,15,0,1,2020-07-20 00:00:00,Not Reported
Cumberland Plateau,72,0,2,2020-07-20 00:00:00,Female
Cumberland Plateau,67,0,8,2020-07-20 00:00:00,Male
Cumberland Plateau,0,0,0,2020-07-20 00:00:00,Not Reported
Eastern Shore,668,23,61,2020-07-20 00:00:00,Female
Eastern Shore,655,20,56,2020-07-20 00:00:00,Male
Eastern Shore,9,0,0,2020-07-20 00:00:00,Not Reported
Fairfax,7657,256,770,2020-07-20 00:00:00,Female
Fairfax,7311,264,1040,2020-07-20 00:00:00,Male
Fairfax,94,2,2,2020-07-20 00:00:00,Not Reported
Hampton,403,1,16,2020-07-20 00:00:00,Female
Hampton,317,3,27,2020-07-20 00:00:00,Male
Hampton,3,0,0,2020-07-20 00:00:00,Not Reported
Henrico,1650,92,133,2020-07-20 00:00:00,Female
Henrico,1395,83,152,2020-07-20 00:00:00,Male
Henrico,13,0,0,2020-07-20 00:00:00,Not Reported
Lenowisco,61,1,10,2020-07-20 00:00:00,Female
Lenowisco,58,4,11,2020-07-20 00:00:00,Male
Lenowisco,0,0,0,2020-07-20 00:00:00,Not Reported
Lord Fairfax,1226,44,95,2020-07-20 00:00:00,Female
Lord Fairfax,1105,36,109,2020-07-20 00:00:00,Male
Lord Fairfax,8,0,0,2020-07-20 00:00:00,Not Reported
Loudoun,2340,64,137,2020-07-20 00:00:00,Female
Loudoun,2304,39,180,2020-07-20 00:00:00,Male
Loudoun,26,0,0,2020-07-20 00:00:00,Not Reported
Mount Rogers,522,16,32,2020-07-20 00:00:00,Female
Mount Rogers,448,20,60,2020-07-20 00:00:00,Male
Mount Rogers,2,0,0,2020-07-20 00:00:00,Not Reported
New River,160,1,8,2020-07-20 00:00:00,Female
New River,185,5,17,2020-07-20 00:00:00,Male
New River,3,0,0,2020-07-20 00:00:00,Not Reported
Norfolk,1177,8,71,2020-07-20 00:00:00,Female
Norfolk,1036,12,71,2020-07-20 00:00:00,Male
Norfolk,1,0,0,2020-07-20 00:00:00,Not Reported
Peninsula,1070,24,72,2020-07-20 00:00:00,Female
Peninsula,928,15,73,2020-07-20 00:00:00,Male
Peninsula,7,0,0,2020-07-20 00:00:00,Not Reported
Piedmont,363,5,47,2020-07-20 00:00:00,Female
Piedmont,810,14,67,2020-07-20 00:00:00,Male
Piedmont,4,0,0,2020-07-20 00:00:00,Not Reported
Pittsylvania-Danville,248,4,33,2020-07-20 00:00:00,Female
Pittsylvania-Danville,176,1,23,2020-07-20 00:00:00,Male
Pittsylvania-Danville,4,0,0,2020-07-20 00:00:00,Not Reported
Portsmouth,524,12,57,2020-07-20 00:00:00,Female
Portsmouth,482,8,40,2020-07-20 00:00:00,Male
Portsmouth,3,0,0,2020-07-20 00:00:00,Not Reported
Prince William,5074,82,389,2020-07-20 00:00:00,Female
Prince William,5050,107,494,2020-07-20 00:00:00,Male
Prince William,69,0,1,2020-07-20 00:00:00,Not Reported
Rappahannock,1503,19,120,2020-07-20 00:00:00,Female
Rappahannock,1333,27,135,2020-07-20 00:00:00,Male
Rappahannock,7,0,1,2020-07-20 00:00:00,Not Reported
Rappahannock Rapidan,842,10,51,2020-07-20 00:00:00,Female
Rappahannock Rapidan,845,14,75,2020-07-20 00:00:00,Male
Rappahannock Rapidan,7,1,1,2020-07-20 00:00:00,Not Reported
Richmond,1262,10,115,2020-07-20 00:00:00,Female
Richmond,1284,24,135,2020-07-20 00:00:00,Male
Richmond,42,2,2,2020-07-20 00:00:00,Not Reported
Roanoke,343,7,7,2020-07-20 00:00:00,Female
Roanoke,303,3,8,2020-07-20 00:00:00,Male
Roanoke,13,0,0,2020-07-20 00:00:00,Not Reported
Southside,295,19,30,2020-07-20 00:00:00,Female
Southside,243,13,30,2020-07-20 00:00:00,Male
Southside,4,0,0,2020-07-20 00:00:00,Not Reported
Thomas Jefferson,756,14,61,2020-07-20 00:00:00,Female
Thomas Jefferson,658,15,55,2020-07-20 00:00:00,Male
Thomas Jefferson,0,0,0,2020-07-20 00:00:00,Not Reported
Three Rivers,271,9,36,2020-07-20 00:00:00,Female
Three Rivers,582,3,25,2020-07-20 00:00:00,Male
Three Rivers,20,0,0,2020-07-20 00:00:00,Not Reported
Virginia Beach,1461,17,72,2020-07-20 00:00:00,Female
Virginia Beach,1248,20,77,2020-07-20 00:00:00,Male
Virginia Beach,11,0,0,2020-07-20 00:00:00,Not Reported
Western Tidewater,709,30,47,2020-07-20 00:00:00,Female
Western Tidewater,621,38,65,2020-07-20 00:00:00,Male
Western Tidewater,1,0,0,2020-07-20 00:00:00,Not Reported
West Piedmont,376,4,43,2020-07-20 00:00:00,Female
West Piedmont,319,4,35,2020-07-20 00:00:00,Male
West Piedmont,4,0,0,2020-07-20 00:00:00,Not Reported
Alexandria,1319,30,119,2020-07-19 00:00:00,Female
Alexandria,1220,26,136,2020-07-19 00:00:00,Male
Alexandria,8,0,0,2020-07-19 00:00:00,Not Reported
Alleghany,376,10,13,2020-07-19 00:00:00,Female
Alleghany,321,5,24,2020-07-19 00:00:00,Male
Alleghany,7,0,0,2020-07-19 00:00:00,Not Reported
Arlington,1343,66,192,2020-07-19 00:00:00,Female
Arlington,1386,69,238,2020-07-19 00:00:00,Male
Arlington,4,0,0,2020-07-19 00:00:00,Not Reported
Central Shenandoah,1289,25,96,2020-07-19 00:00:00,Female
Central Shenandoah,1120,23,94,2020-07-19 00:00:00,Male
Central Shenandoah,1,0,0,2020-07-19 00:00:00,Not Reported
