health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date,sex
Alleghany,12,0,0,2020-10-29 00:00:00,Not Reported
Arlington,2309,71,240,2020-10-29 00:00:00,Female
Arlington,2334,83,299,2020-10-29 00:00:00,Male
Arlington,4,0,0,2020-10-29 00:00:00,Not Reported
Central Shenandoah,3644,38,154,2020-10-29 00:00:00,Female
Central Shenandoah,3189,45,151,2020-10-29 00:00:00,Male
Central Shenandoah,21,0,0,2020-10-29 00:00:00,Not Reported
Central Virginia,2591,28,91,2020-10-29 00:00:00,Female
Central Virginia,2228,37,105,2020-10-29 00:00:00,Male
Central Virginia,126,0,1,2020-10-29 00:00:00,Not Reported
Chesapeake,2691,36,246,2020-10-29 00:00:00,Female
Chesapeake,2249,43,233,2020-10-29 00:00:00,Male
Chesapeake,5,0,0,2020-10-29 00:00:00,Not Reported
Chesterfield,3992,66,226,2020-10-29 00:00:00,Female
Chesterfield,3659,79,239,2020-10-29 00:00:00,Male
Chesterfield,135,4,0,2020-10-29 00:00:00,Not Reported
Chickahominy,1201,31,96,2020-10-29 00:00:00,Female
Chickahominy,1169,28,101,2020-10-29 00:00:00,Male
Chickahominy,23,0,0,2020-10-29 00:00:00,Not Reported
Crater,2102,63,162,2020-10-29 00:00:00,Female
Crater,2921,54,138,2020-10-29 00:00:00,Male
Crater,54,0,5,2020-10-29 00:00:00,Not Reported
Cumberland Plateau,781,8,45,2020-10-29 00:00:00,Female
Cumberland Plateau,639,6,45,2020-10-29 00:00:00,Male
Cumberland Plateau,14,0,0,2020-10-29 00:00:00,Not Reported
Eastern Shore,769,26,73,2020-10-29 00:00:00,Female
Eastern Shore,756,24,73,2020-10-29 00:00:00,Male
Eastern Shore,9,0,0,2020-10-29 00:00:00,Not Reported
Fairfax,12284,290,983,2020-10-29 00:00:00,Female
Fairfax,11620,324,1314,2020-10-29 00:00:00,Male
Fairfax,163,6,1,2020-10-29 00:00:00,Not Reported
Hampton,1164,13,34,2020-10-29 00:00:00,Female
Hampton,967,19,56,2020-10-29 00:00:00,Male
Hampton,7,0,0,2020-10-29 00:00:00,Not Reported
Henrico,3371,129,243,2020-10-29 00:00:00,Female
Henrico,2981,110,240,2020-10-29 00:00:00,Male
Henrico,42,0,0,2020-10-29 00:00:00,Not Reported
Lenowisco,852,5,48,2020-10-29 00:00:00,Female
Lenowisco,761,21,62,2020-10-29 00:00:00,Male
Lenowisco,11,0,0,2020-10-29 00:00:00,Not Reported
Lord Fairfax,2086,62,156,2020-10-29 00:00:00,Female
Lord Fairfax,1883,70,172,2020-10-29 00:00:00,Male
Lord Fairfax,21,0,0,2020-10-29 00:00:00,Not Reported
Loudoun,3979,80,220,2020-10-29 00:00:00,Female
Loudoun,3867,50,260,2020-10-29 00:00:00,Male
Loudoun,62,0,0,2020-10-29 00:00:00,Not Reported
Mount Rogers,2122,76,142,2020-10-29 00:00:00,Female
Mount Rogers,1658,72,172,2020-10-29 00:00:00,Male
Mount Rogers,15,1,0,2020-10-29 00:00:00,Not Reported
New River,2211,13,33,2020-10-29 00:00:00,Female
New River,2187,14,47,2020-10-29 00:00:00,Male
New River,39,0,0,2020-10-29 00:00:00,Not Reported
Norfolk,2788,39,209,2020-10-29 00:00:00,Female
Norfolk,2628,45,201,2020-10-29 00:00:00,Male
Norfolk,3,0,0,2020-10-29 00:00:00,Not Reported
Peninsula,2658,51,104,2020-10-29 00:00:00,Female
Peninsula,2469,41,118,2020-10-29 00:00:00,Male
Peninsula,19,0,0,2020-10-29 00:00:00,Not Reported
Piedmont,963,17,67,2020-10-29 00:00:00,Female
Piedmont,1545,39,92,2020-10-29 00:00:00,Male
Piedmont,5,0,0,2020-10-29 00:00:00,Not Reported
Pittsylvania-Danville,1408,37,119,2020-10-29 00:00:00,Female
Pittsylvania-Danville,1121,24,78,2020-10-29 00:00:00,Male
Pittsylvania-Danville,9,0,0,2020-10-29 00:00:00,Not Reported
Portsmouth,1504,37,179,2020-10-29 00:00:00,Female
Portsmouth,1345,32,137,2020-10-29 00:00:00,Male
Portsmouth,3,0,0,2020-10-29 00:00:00,Not Reported
Prince William,8646,107,521,2020-10-29 00:00:00,Female
Prince William,8272,151,667,2020-10-29 00:00:00,Male
Prince William,135,0,2,2020-10-29 00:00:00,Not Reported
Rappahannock,3281,40,201,2020-10-29 00:00:00,Female
Rappahannock,2859,52,230,2020-10-29 00:00:00,Male
Rappahannock,22,0,0,2020-10-29 00:00:00,Not Reported
Rappahannock Rapidan,1541,27,81,2020-10-29 00:00:00,Female
Rappahannock Rapidan,1518,28,112,2020-10-29 00:00:00,Male
Rappahannock Rapidan,58,0,0,2020-10-29 00:00:00,Not Reported
Richmond,2694,27,225,2020-10-29 00:00:00,Female
Richmond,2616,48,227,2020-10-29 00:00:00,Male
Richmond,58,2,1,2020-10-29 00:00:00,Not Reported
Roanoke,1559,23,53,2020-10-29 00:00:00,Female
Roanoke,1231,18,45,2020-10-29 00:00:00,Male
Roanoke,20,0,0,2020-10-29 00:00:00,Not Reported
Southside,902,24,43,2020-10-29 00:00:00,Female
Southside,931,24,47,2020-10-29 00:00:00,Male
Southside,12,0,0,2020-10-29 00:00:00,Not Reported
Thomas Jefferson,2343,41,118,2020-10-29 00:00:00,Female
Thomas Jefferson,2119,36,116,2020-10-29 00:00:00,Male
Thomas Jefferson,5,0,0,2020-10-29 00:00:00,Not Reported
Three Rivers,1038,18,65,2020-10-29 00:00:00,Female
Three Rivers,1201,21,73,2020-10-29 00:00:00,Male
Three Rivers,26,0,0,2020-10-29 00:00:00,Not Reported
Virginia Beach,4342,55,232,2020-10-29 00:00:00,Female
Virginia Beach,3641,51,212,2020-10-29 00:00:00,Male
Virginia Beach,18,0,0,2020-10-29 00:00:00,Not Reported
Western Tidewater,2194,68,113,2020-10-29 00:00:00,Female
Western Tidewater,2414,85,123,2020-10-29 00:00:00,Male
Western Tidewater,5,2,0,2020-10-29 00:00:00,Not Reported
West Piedmont,1708,45,154,2020-10-29 00:00:00,Female
West Piedmont,1305,45,143,2020-10-29 00:00:00,Male
West Piedmont,17,0,1,2020-10-29 00:00:00,Not Reported
Alexandria,2228,37,142,2020-10-30 00:00:00,Female
Alexandria,2062,37,182,2020-10-30 00:00:00,Male
Alexandria,13,0,0,2020-10-30 00:00:00,Not Reported
Alleghany,1548,24,60,2020-10-30 00:00:00,Female
Alleghany,1226,13,56,2020-10-30 00:00:00,Male
Alleghany,12,0,0,2020-10-30 00:00:00,Not Reported
Arlington,2323,71,241,2020-10-30 00:00:00,Female
Arlington,2357,83,300,2020-10-30 00:00:00,Male
Arlington,6,0,0,2020-10-30 00:00:00,Not Reported
Central Shenandoah,3699,38,156,2020-10-30 00:00:00,Female
Central Shenandoah,3233,46,152,2020-10-30 00:00:00,Male
Central Shenandoah,21,0,0,2020-10-30 00:00:00,Not Reported
Central Virginia,2631,28,92,2020-10-30 00:00:00,Female
Central Virginia,2257,37,107,2020-10-30 00:00:00,Male
Central Virginia,131,1,2,2020-10-30 00:00:00,Not Reported
Chesapeake,2705,36,249,2020-10-30 00:00:00,Female
Chesapeake,2261,43,234,2020-10-30 00:00:00,Male
Chesapeake,6,0,0,2020-10-30 00:00:00,Not Reported
Chesterfield,4020,67,227,2020-10-30 00:00:00,Female
Chesterfield,3684,79,241,2020-10-30 00:00:00,Male
Chesterfield,136,4,0,2020-10-30 00:00:00,Not Reported
Chickahominy,1202,31,96,2020-10-30 00:00:00,Female
Chickahominy,1175,28,101,2020-10-30 00:00:00,Male
Chickahominy,23,0,0,2020-10-30 00:00:00,Not Reported
Crater,2119,63,162,2020-10-30 00:00:00,Female
Crater,2939,54,140,2020-10-30 00:00:00,Male
Crater,58,0,5,2020-10-30 00:00:00,Not Reported
Cumberland Plateau,801,9,47,2020-10-30 00:00:00,Female
Cumberland Plateau,660,6,48,2020-10-30 00:00:00,Male
Cumberland Plateau,11,0,0,2020-10-30 00:00:00,Not Reported
Eastern Shore,772,26,73,2020-10-30 00:00:00,Female
Eastern Shore,758,24,73,2020-10-30 00:00:00,Male
Eastern Shore,9,0,0,2020-10-30 00:00:00,Not Reported
Fairfax,12345,290,986,2020-10-30 00:00:00,Female
Fairfax,11674,324,1318,2020-10-30 00:00:00,Male
Fairfax,163,6,1,2020-10-30 00:00:00,Not Reported
Hampton,1167,13,35,2020-10-30 00:00:00,Female
Hampton,973,19,56,2020-10-30 00:00:00,Male
Hampton,7,0,0,2020-10-30 00:00:00,Not Reported
Henrico,3386,129,245,2020-10-30 00:00:00,Female
Henrico,3008,111,241,2020-10-30 00:00:00,Male
Henrico,45,0,0,2020-10-30 00:00:00,Not Reported
Lenowisco,874,5,48,2020-10-30 00:00:00,Female
Lenowisco,773,21,62,2020-10-30 00:00:00,Male
Lenowisco,12,0,0,2020-10-30 00:00:00,Not Reported
Lord Fairfax,2112,61,157,2020-10-30 00:00:00,Female
Lord Fairfax,1894,71,173,2020-10-30 00:00:00,Male
Lord Fairfax,21,0,0,2020-10-30 00:00:00,Not Reported
Loudoun,3995,80,222,2020-10-30 00:00:00,Female
Loudoun,3889,50,260,2020-10-30 00:00:00,Male
Loudoun,62,0,0,2020-10-30 00:00:00,Not Reported
Mount Rogers,2151,76,142,2020-10-30 00:00:00,Female
Mount Rogers,1682,72,173,2020-10-30 00:00:00,Male
Mount Rogers,16,1,0,2020-10-30 00:00:00,Not Reported
New River,2265,13,34,2020-10-30 00:00:00,Female
New River,2228,14,48,2020-10-30 00:00:00,Male
New River,39,0,0,2020-10-30 00:00:00,Not Reported
Norfolk,2799,39,210,2020-10-30 00:00:00,Female
Norfolk,2643,45,201,2020-10-30 00:00:00,Male
Norfolk,3,0,0,2020-10-30 00:00:00,Not Reported
Peninsula,2677,51,105,2020-10-30 00:00:00,Female
Peninsula,2482,41,118,2020-10-30 00:00:00,Male
Peninsula,20,0,0,2020-10-30 00:00:00,Not Reported
Piedmont,975,17,67,2020-10-30 00:00:00,Female
Piedmont,1555,39,92,2020-10-30 00:00:00,Male
Piedmont,5,0,0,2020-10-30 00:00:00,Not Reported
Pittsylvania-Danville,1420,37,119,2020-10-30 00:00:00,Female
Pittsylvania-Danville,1138,24,79,2020-10-30 00:00:00,Male
Pittsylvania-Danville,10,0,0,2020-10-30 00:00:00,Not Reported
Portsmouth,1508,37,179,2020-10-30 00:00:00,Female
Portsmouth,1347,32,137,2020-10-30 00:00:00,Male
Portsmouth,3,0,0,2020-10-30 00:00:00,Not Reported
Prince William,8704,107,524,2020-10-30 00:00:00,Female
Prince William,8319,151,669,2020-10-30 00:00:00,Male
Prince William,132,0,2,2020-10-30 00:00:00,Not Reported
Rappahannock,3304,40,202,2020-10-30 00:00:00,Female
Rappahannock,2872,52,230,2020-10-30 00:00:00,Male
Rappahannock,24,0,0,2020-10-30 00:00:00,Not Reported
Rappahannock Rapidan,1547,27,81,2020-10-30 00:00:00,Female
Rappahannock Rapidan,1524,28,112,2020-10-30 00:00:00,Male
Rappahannock Rapidan,58,0,0,2020-10-30 00:00:00,Not Reported
Richmond,2705,27,225,2020-10-30 00:00:00,Female
Richmond,2630,48,227,2020-10-30 00:00:00,Male
Richmond,59,2,1,2020-10-30 00:00:00,Not Reported
Roanoke,1598,23,54,2020-10-30 00:00:00,Female
Roanoke,1260,18,46,2020-10-30 00:00:00,Male
Roanoke,19,0,0,2020-10-30 00:00:00,Not Reported
Southside,918,24,43,2020-10-30 00:00:00,Female
Southside,938,24,47,2020-10-30 00:00:00,Male
Southside,12,0,0,2020-10-30 00:00:00,Not Reported
Thomas Jefferson,2357,41,118,2020-10-30 00:00:00,Female
Thomas Jefferson,2135,36,116,2020-10-30 00:00:00,Male
Thomas Jefferson,6,0,0,2020-10-30 00:00:00,Not Reported
Three Rivers,1048,18,65,2020-10-30 00:00:00,Female
Three Rivers,1206,21,73,2020-10-30 00:00:00,Male
Three Rivers,26,0,0,2020-10-30 00:00:00,Not Reported
Virginia Beach,4362,56,232,2020-10-30 00:00:00,Female
Virginia Beach,3674,52,212,2020-10-30 00:00:00,Male
Virginia Beach,21,0,0,2020-10-30 00:00:00,Not Reported
Western Tidewater,2208,68,113,2020-10-30 00:00:00,Female
Western Tidewater,2428,85,123,2020-10-30 00:00:00,Male
Western Tidewater,5,2,0,2020-10-30 00:00:00,Not Reported
West Piedmont,1740,45,156,2020-10-30 00:00:00,Female
West Piedmont,1332,45,145,2020-10-30 00:00:00,Male
West Piedmont,16,0,1,2020-10-30 00:00:00,Not Reported
Alexandria,2249,37,142,2020-10-31 00:00:00,Female
Alexandria,2075,37,182,2020-10-31 00:00:00,Male
Alexandria,13,0,0,2020-10-31 00:00:00,Not Reported
Alleghany,1628,24,61,2020-10-31 00:00:00,Female
Alleghany,1287,17,57,2020-10-31 00:00:00,Male
Alleghany,11,0,0,2020-10-31 00:00:00,Not Reported
Arlington,2343,71,241,2020-10-31 00:00:00,Female
Arlington,2366,83,300,2020-10-31 00:00:00,Male
Arlington,5,0,0,2020-10-31 00:00:00,Not Reported
Central Shenandoah,3726,38,156,2020-10-31 00:00:00,Female
Central Shenandoah,3257,46,152,2020-10-31 00:00:00,Male
Central Shenandoah,21,0,0,2020-10-31 00:00:00,Not Reported
Central Virginia,2653,28,92,2020-10-31 00:00:00,Female
Central Virginia,2287,37,108,2020-10-31 00:00:00,Male
Central Virginia,144,1,2,2020-10-31 00:00:00,Not Reported
Chesapeake,2725,36,249,2020-10-31 00:00:00,Female
Chesapeake,2279,43,234,2020-10-31 00:00:00,Male
Chesapeake,6,0,0,2020-10-31 00:00:00,Not Reported
Chesterfield,4061,68,227,2020-10-31 00:00:00,Female
Chesterfield,3714,79,244,2020-10-31 00:00:00,Male
Chesterfield,136,4,0,2020-10-31 00:00:00,Not Reported
Chickahominy,1224,31,96,2020-10-31 00:00:00,Female
Chickahominy,1197,28,101,2020-10-31 00:00:00,Male
Chickahominy,23,0,0,2020-10-31 00:00:00,Not Reported
Crater,2129,64,163,2020-10-31 00:00:00,Female
Crater,2949,54,142,2020-10-31 00:00:00,Male
Crater,62,0,5,2020-10-31 00:00:00,Not Reported
Cumberland Plateau,814,9,48,2020-10-31 00:00:00,Female
Cumberland Plateau,674,6,48,2020-10-31 00:00:00,Male
Cumberland Plateau,12,0,0,2020-10-31 00:00:00,Not Reported
Eastern Shore,776,26,73,2020-10-31 00:00:00,Female
Eastern Shore,758,24,73,2020-10-31 00:00:00,Male
Eastern Shore,9,0,0,2020-10-31 00:00:00,Not Reported
Fairfax,12421,290,989,2020-10-31 00:00:00,Female
Fairfax,11758,324,1319,2020-10-31 00:00:00,Male
Fairfax,164,6,1,2020-10-31 00:00:00,Not Reported
Hampton,1172,14,35,2020-10-31 00:00:00,Female
Hampton,984,19,58,2020-10-31 00:00:00,Male
Hampton,7,0,0,2020-10-31 00:00:00,Not Reported
Henrico,3405,129,245,2020-10-31 00:00:00,Female
Henrico,3021,111,242,2020-10-31 00:00:00,Male
Henrico,46,0,1,2020-10-31 00:00:00,Not Reported
Lenowisco,904,5,48,2020-10-31 00:00:00,Female
Lenowisco,810,21,64,2020-10-31 00:00:00,Male
Lenowisco,12,0,0,2020-10-31 00:00:00,Not Reported
Lord Fairfax,2132,61,160,2020-10-31 00:00:00,Female
Lord Fairfax,1910,72,176,2020-10-31 00:00:00,Male
Lord Fairfax,21,0,0,2020-10-31 00:00:00,Not Reported
Loudoun,4014,80,223,2020-10-31 00:00:00,Female
Loudoun,3906,51,262,2020-10-31 00:00:00,Male
Loudoun,61,0,0,2020-10-31 00:00:00,Not Reported
Mount Rogers,2196,76,144,2020-10-31 00:00:00,Female
Mount Rogers,1715,73,175,2020-10-31 00:00:00,Male
Mount Rogers,17,1,0,2020-10-31 00:00:00,Not Reported
New River,2312,13,38,2020-10-31 00:00:00,Female
New River,2257,14,51,2020-10-31 00:00:00,Male
New River,39,0,0,2020-10-31 00:00:00,Not Reported
Norfolk,2814,39,210,2020-10-31 00:00:00,Female
Norfolk,2676,45,201,2020-10-31 00:00:00,Male
Norfolk,3,0,0,2020-10-31 00:00:00,Not Reported
Peninsula,2694,51,105,2020-10-31 00:00:00,Female
Peninsula,2501,41,122,2020-10-31 00:00:00,Male
Peninsula,20,0,0,2020-10-31 00:00:00,Not Reported
Piedmont,979,17,70,2020-10-31 00:00:00,Female
Piedmont,1559,39,92,2020-10-31 00:00:00,Male
Piedmont,5,0,0,2020-10-31 00:00:00,Not Reported
Pittsylvania-Danville,1439,37,122,2020-10-31 00:00:00,Female
Pittsylvania-Danville,1155,24,81,2020-10-31 00:00:00,Male
Pittsylvania-Danville,10,0,1,2020-10-31 00:00:00,Not Reported
Portsmouth,1511,37,180,2020-10-31 00:00:00,Female
Portsmouth,1349,32,140,2020-10-31 00:00:00,Male
Portsmouth,3,0,0,2020-10-31 00:00:00,Not Reported
Prince William,8740,107,529,2020-10-31 00:00:00,Female
Prince William,8358,151,673,2020-10-31 00:00:00,Male
Prince William,132,0,2,2020-10-31 00:00:00,Not Reported
Rappahannock,3344,40,206,2020-10-31 00:00:00,Female
Rappahannock,2897,52,230,2020-10-31 00:00:00,Male
Rappahannock,27,0,0,2020-10-31 00:00:00,Not Reported
Rappahannock Rapidan,1550,27,80,2020-10-31 00:00:00,Female
Rappahannock Rapidan,1531,28,112,2020-10-31 00:00:00,Male
Rappahannock Rapidan,59,0,0,2020-10-31 00:00:00,Not Reported
Richmond,2717,27,226,2020-10-31 00:00:00,Female
Richmond,2639,48,227,2020-10-31 00:00:00,Male
Richmond,59,2,1,2020-10-31 00:00:00,Not Reported
Roanoke,1624,25,58,2020-10-31 00:00:00,Female
Roanoke,1277,18,50,2020-10-31 00:00:00,Male
Roanoke,19,0,0,2020-10-31 00:00:00,Not Reported
Southside,919,24,43,2020-10-31 00:00:00,Female
Southside,944,24,48,2020-10-31 00:00:00,Male
Southside,12,0,0,2020-10-31 00:00:00,Not Reported
Thomas Jefferson,2363,41,120,2020-10-31 00:00:00,Female
Thomas Jefferson,2141,36,119,2020-10-31 00:00:00,Male
Thomas Jefferson,6,0,0,2020-10-31 00:00:00,Not Reported
Three Rivers,1057,18,65,2020-10-31 00:00:00,Female
Three Rivers,1209,21,74,2020-10-31 00:00:00,Male
Three Rivers,26,0,0,2020-10-31 00:00:00,Not Reported
Virginia Beach,4387,55,235,2020-10-31 00:00:00,Female
Virginia Beach,3710,52,213,2020-10-31 00:00:00,Male
Virginia Beach,22,0,0,2020-10-31 00:00:00,Not Reported
Western Tidewater,2220,68,113,2020-10-31 00:00:00,Female
Western Tidewater,2445,85,123,2020-10-31 00:00:00,Male
Western Tidewater,5,2,0,2020-10-31 00:00:00,Not Reported
West Piedmont,1763,45,159,2020-10-31 00:00:00,Female
West Piedmont,1357,45,146,2020-10-31 00:00:00,Male
West Piedmont,16,0,1,2020-10-31 00:00:00,Not Reported
Alexandria,2253,37,143,2020-11-01 00:00:00,Female
Alexandria,2083,37,182,2020-11-01 00:00:00,Male
Alexandria,13,0,0,2020-11-01 00:00:00,Not Reported
Alleghany,1666,24,61,2020-11-01 00:00:00,Female
Alleghany,1330,17,57,2020-11-01 00:00:00,Male
Alleghany,12,0,0,2020-11-01 00:00:00,Not Reported
Arlington,2369,71,241,2020-11-01 00:00:00,Female
Arlington,2390,83,300,2020-11-01 00:00:00,Male
Arlington,5,0,0,2020-11-01 00:00:00,Not Reported
Central Shenandoah,3770,38,156,2020-11-01 00:00:00,Female
Central Shenandoah,3292,46,152,2020-11-01 00:00:00,Male
Central Shenandoah,21,0,0,2020-11-01 00:00:00,Not Reported
Central Virginia,2674,28,93,2020-11-01 00:00:00,Female
Central Virginia,2299,37,108,2020-11-01 00:00:00,Male
Central Virginia,144,1,2,2020-11-01 00:00:00,Not Reported
Chesapeake,2738,36,249,2020-11-01 00:00:00,Female
Chesapeake,2294,43,234,2020-11-01 00:00:00,Male
Chesapeake,6,0,0,2020-11-01 00:00:00,Not Reported
Chesterfield,4081,68,229,2020-11-01 00:00:00,Female
Chesterfield,3725,79,246,2020-11-01 00:00:00,Male
Chesterfield,137,4,0,2020-11-01 00:00:00,Not Reported
Chickahominy,1239,31,97,2020-11-01 00:00:00,Female
Chickahominy,1205,28,102,2020-11-01 00:00:00,Male
Chickahominy,23,0,0,2020-11-01 00:00:00,Not Reported
Crater,2129,64,163,2020-11-01 00:00:00,Female
Crater,2951,54,142,2020-11-01 00:00:00,Male
Crater,62,0,5,2020-11-01 00:00:00,Not Reported
Cumberland Plateau,826,9,50,2020-11-01 00:00:00,Female
Cumberland Plateau,678,6,49,2020-11-01 00:00:00,Male
Cumberland Plateau,11,0,0,2020-11-01 00:00:00,Not Reported
Eastern Shore,779,26,74,2020-11-01 00:00:00,Female
Eastern Shore,759,24,73,2020-11-01 00:00:00,Male
Eastern Shore,9,0,0,2020-11-01 00:00:00,Not Reported
Fairfax,12482,290,991,2020-11-01 00:00:00,Female
Fairfax,11829,324,1322,2020-11-01 00:00:00,Male
Fairfax,164,6,1,2020-11-01 00:00:00,Not Reported
Hampton,1193,14,35,2020-11-01 00:00:00,Female
Hampton,999,19,58,2020-11-01 00:00:00,Male
Hampton,7,0,0,2020-11-01 00:00:00,Not Reported
Henrico,3435,129,247,2020-11-01 00:00:00,Female
Henrico,3043,111,245,2020-11-01 00:00:00,Male
Henrico,48,0,1,2020-11-01 00:00:00,Not Reported
Lenowisco,929,5,49,2020-11-01 00:00:00,Female
Lenowisco,863,21,65,2020-11-01 00:00:00,Male
Lenowisco,12,0,0,2020-11-01 00:00:00,Not Reported
Lord Fairfax,2147,61,160,2020-11-01 00:00:00,Female
Lord Fairfax,1923,71,177,2020-11-01 00:00:00,Male
Lord Fairfax,21,0,0,2020-11-01 00:00:00,Not Reported
Loudoun,4039,81,225,2020-11-01 00:00:00,Female
Loudoun,3947,51,262,2020-11-01 00:00:00,Male
Loudoun,62,0,0,2020-11-01 00:00:00,Not Reported
Mount Rogers,2214,76,144,2020-11-01 00:00:00,Female
Mount Rogers,1735,73,175,2020-11-01 00:00:00,Male
Mount Rogers,20,1,0,2020-11-01 00:00:00,Not Reported
New River,2330,13,38,2020-11-01 00:00:00,Female
New River,2270,14,52,2020-11-01 00:00:00,Male
New River,39,0,0,2020-11-01 00:00:00,Not Reported
Norfolk,2815,39,211,2020-11-01 00:00:00,Female
Norfolk,2676,45,201,2020-11-01 00:00:00,Male
Norfolk,3,0,0,2020-11-01 00:00:00,Not Reported
Peninsula,2707,51,106,2020-11-01 00:00:00,Female
Peninsula,2509,41,122,2020-11-01 00:00:00,Male
Peninsula,20,0,0,2020-11-01 00:00:00,Not Reported
Piedmont,990,17,71,2020-11-01 00:00:00,Female
Piedmont,1576,39,92,2020-11-01 00:00:00,Male
Piedmont,5,0,0,2020-11-01 00:00:00,Not Reported
Pittsylvania-Danville,1456,37,123,2020-11-01 00:00:00,Female
Pittsylvania-Danville,1160,24,83,2020-11-01 00:00:00,Male
Pittsylvania-Danville,10,0,1,2020-11-01 00:00:00,Not Reported
Portsmouth,1511,37,181,2020-11-01 00:00:00,Female
Portsmouth,1351,32,140,2020-11-01 00:00:00,Male
Portsmouth,3,0,0,2020-11-01 00:00:00,Not Reported
Prince William,8758,107,529,2020-11-01 00:00:00,Female
Prince William,8378,151,674,2020-11-01 00:00:00,Male
Prince William,133,0,2,2020-11-01 00:00:00,Not Reported
Rappahannock,3362,41,208,2020-11-01 00:00:00,Female
Rappahannock,2911,52,230,2020-11-01 00:00:00,Male
Rappahannock,27,0,0,2020-11-01 00:00:00,Not Reported
Rappahannock Rapidan,1564,27,80,2020-11-01 00:00:00,Female
Rappahannock Rapidan,1540,28,112,2020-11-01 00:00:00,Male
Rappahannock Rapidan,61,0,0,2020-11-01 00:00:00,Not Reported
Richmond,2745,27,227,2020-11-01 00:00:00,Female
Richmond,2649,48,227,2020-11-01 00:00:00,Male
Richmond,62,2,1,2020-11-01 00:00:00,Not Reported
Roanoke,1645,25,58,2020-11-01 00:00:00,Female
Roanoke,1287,18,51,2020-11-01 00:00:00,Male
Roanoke,19,0,0,2020-11-01 00:00:00,Not Reported
Southside,921,24,43,2020-11-01 00:00:00,Female
Southside,948,24,48,2020-11-01 00:00:00,Male
Southside,12,0,0,2020-11-01 00:00:00,Not Reported
Thomas Jefferson,2370,41,120,2020-11-01 00:00:00,Female
Thomas Jefferson,2151,36,119,2020-11-01 00:00:00,Male
Thomas Jefferson,5,0,0,2020-11-01 00:00:00,Not Reported
Three Rivers,1059,18,66,2020-11-01 00:00:00,Female
Three Rivers,1210,21,74,2020-11-01 00:00:00,Male
Three Rivers,26,0,0,2020-11-01 00:00:00,Not Reported
Virginia Beach,4411,55,235,2020-11-01 00:00:00,Female
Virginia Beach,3749,52,213,2020-11-01 00:00:00,Male
Virginia Beach,24,0,0,2020-11-01 00:00:00,Not Reported
Western Tidewater,2222,68,114,2020-11-01 00:00:00,Female
Western Tidewater,2446,85,123,2020-11-01 00:00:00,Male
Western Tidewater,5,2,0,2020-11-01 00:00:00,Not Reported
West Piedmont,1779,45,160,2020-11-01 00:00:00,Female
West Piedmont,1381,45,146,2020-11-01 00:00:00,Male
West Piedmont,16,0,1,2020-11-01 00:00:00,Not Reported
Alexandria,2260,37,143,2020-11-02 00:00:00,Female
Alexandria,2090,37,182,2020-11-02 00:00:00,Male
Alexandria,13,0,0,2020-11-02 00:00:00,Not Reported
Alleghany,1696,24,61,2020-11-02 00:00:00,Female
Alleghany,1351,17,57,2020-11-02 00:00:00,Male
Alleghany,13,0,0,2020-11-02 00:00:00,Not Reported
Arlington,2375,71,240,2020-11-02 00:00:00,Female
Arlington,2398,83,300,2020-11-02 00:00:00,Male
Arlington,5,0,0,2020-11-02 00:00:00,Not Reported
Central Shenandoah,3775,38,156,2020-11-02 00:00:00,Female
Central Shenandoah,3293,46,152,2020-11-02 00:00:00,Male
Central Shenandoah,21,0,0,2020-11-02 00:00:00,Not Reported
Central Virginia,2688,28,93,2020-11-02 00:00:00,Female
Central Virginia,2312,37,108,2020-11-02 00:00:00,Male
Central Virginia,144,1,2,2020-11-02 00:00:00,Not Reported
Chesapeake,2746,36,249,2020-11-02 00:00:00,Female
Chesapeake,2306,43,234,2020-11-02 00:00:00,Male
Chesapeake,6,0,0,2020-11-02 00:00:00,Not Reported
Chesterfield,4093,68,229,2020-11-02 00:00:00,Female
Chesterfield,3734,79,247,2020-11-02 00:00:00,Male
Chesterfield,137,4,0,2020-11-02 00:00:00,Not Reported
Chickahominy,1249,31,97,2020-11-02 00:00:00,Female
Chickahominy,1211,28,103,2020-11-02 00:00:00,Male
Chickahominy,23,0,0,2020-11-02 00:00:00,Not Reported
Crater,2131,64,164,2020-11-02 00:00:00,Female
Crater,2953,54,142,2020-11-02 00:00:00,Male
Crater,61,0,5,2020-11-02 00:00:00,Not Reported
Cumberland Plateau,837,9,51,2020-11-02 00:00:00,Female
Cumberland Plateau,689,6,49,2020-11-02 00:00:00,Male
Cumberland Plateau,11,0,0,2020-11-02 00:00:00,Not Reported
Eastern Shore,780,26,74,2020-11-02 00:00:00,Female
Eastern Shore,760,24,73,2020-11-02 00:00:00,Male
Eastern Shore,9,0,0,2020-11-02 00:00:00,Not Reported
Fairfax,12562,290,992,2020-11-02 00:00:00,Female
Fairfax,11913,324,1324,2020-11-02 00:00:00,Male
Fairfax,167,6,1,2020-11-02 00:00:00,Not Reported
Hampton,1195,14,35,2020-11-02 00:00:00,Female
Hampton,1000,19,58,2020-11-02 00:00:00,Male
Hampton,7,0,0,2020-11-02 00:00:00,Not Reported
Henrico,3458,129,251,2020-11-02 00:00:00,Female
Henrico,3059,111,246,2020-11-02 00:00:00,Male
Henrico,52,0,1,2020-11-02 00:00:00,Not Reported
Lenowisco,941,6,50,2020-11-02 00:00:00,Female
