health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
Arlington,2843,135,431,2020-07-28 00:00:00
Central Shenandoah,2594,50,202,2020-07-28 00:00:00
Central Virginia,890,6,21,2020-07-28 00:00:00
Chesapeake,2276,26,195,2020-07-28 00:00:00
Chesterfield,4087,90,238,2020-07-28 00:00:00
Chickahominy,880,41,123,2020-07-28 00:00:00
Crater,2057,52,201,2020-07-28 00:00:00
Cumberland Plateau,209,1,13,2020-07-28 00:00:00
Eastern Shore,1367,43,121,2020-07-28 00:00:00
Fairfax,15639,532,1878,2020-07-28 00:00:00
Hampton,938,4,48,2020-07-28 00:00:00
Henrico,3436,178,304,2020-07-28 00:00:00
Lenowisco,201,6,28,2020-07-28 00:00:00
Lord Fairfax,2431,82,210,2020-07-28 00:00:00
Loudoun,4939,108,328,2020-07-28 00:00:00
Mount Rogers,1131,40,104,2020-07-28 00:00:00
New River,407,6,28,2020-07-28 00:00:00
Norfolk,2814,20,162,2020-07-28 00:00:00
Peninsula,2433,40,158,2020-07-28 00:00:00
Piedmont,1278,19,116,2020-07-28 00:00:00
Pittsylvania-Danville,561,5,58,2020-07-28 00:00:00
Portsmouth,1367,21,111,2020-07-28 00:00:00
Prince William,10735,194,934,2020-07-28 00:00:00
Rappahannock,3099,50,282,2020-07-28 00:00:00
Rappahannock Rapidan,1799,26,130,2020-07-28 00:00:00
Richmond,2794,37,266,2020-07-28 00:00:00
Roanoke,739,10,16,2020-07-28 00:00:00
Southside,607,32,62,2020-07-28 00:00:00
Thomas Jefferson,1663,30,133,2020-07-28 00:00:00
Three Rivers,956,13,66,2020-07-28 00:00:00
Virginia Beach,3788,43,191,2020-07-28 00:00:00
Western Tidewater,1631,72,129,2020-07-28 00:00:00
West Piedmont,863,11,96,2020-07-28 00:00:00
Alexandria,2759,57,266,2020-07-29 00:00:00
Alleghany,806,16,37,2020-07-29 00:00:00
Arlington,2857,135,431,2020-07-29 00:00:00
Central Shenandoah,2609,51,202,2020-07-29 00:00:00
Central Virginia,944,9,24,2020-07-29 00:00:00
Chesapeake,2348,27,199,2020-07-29 00:00:00
Chesterfield,4122,93,239,2020-07-29 00:00:00
Chickahominy,886,41,124,2020-07-29 00:00:00
Crater,2067,55,202,2020-07-29 00:00:00
Cumberland Plateau,224,1,15,2020-07-29 00:00:00
Eastern Shore,1369,43,122,2020-07-29 00:00:00
Fairfax,15703,532,1887,2020-07-29 00:00:00
Hampton,963,4,49,2020-07-29 00:00:00
Henrico,3466,177,306,2020-07-29 00:00:00
Lenowisco,212,6,29,2020-07-29 00:00:00
Lord Fairfax,2439,82,213,2020-07-29 00:00:00
Loudoun,4965,109,328,2020-07-29 00:00:00
Mount Rogers,1157,41,107,2020-07-29 00:00:00
New River,411,7,29,2020-07-29 00:00:00
Norfolk,2937,22,164,2020-07-29 00:00:00
Peninsula,2473,40,158,2020-07-29 00:00:00
Piedmont,1284,22,116,2020-07-29 00:00:00
Pittsylvania-Danville,574,6,58,2020-07-29 00:00:00
Portsmouth,1390,21,114,2020-07-29 00:00:00
Prince William,10803,195,937,2020-07-29 00:00:00
Rappahannock,3134,50,282,2020-07-29 00:00:00
Rappahannock Rapidan,1806,26,130,2020-07-29 00:00:00
Richmond,2831,39,270,2020-07-29 00:00:00
Roanoke,780,10,17,2020-07-29 00:00:00
Southside,619,33,62,2020-07-29 00:00:00
Thomas Jefferson,1669,30,135,2020-07-29 00:00:00
Three Rivers,956,15,66,2020-07-29 00:00:00
Virginia Beach,3908,43,192,2020-07-29 00:00:00
Western Tidewater,1651,75,130,2020-07-29 00:00:00
West Piedmont,871,12,98,2020-07-29 00:00:00
Alexandria,2779,57,266,2020-07-30 00:00:00
Alleghany,819,18,37,2020-07-30 00:00:00
Arlington,2874,135,433,2020-07-30 00:00:00
Central Shenandoah,2618,52,203,2020-07-30 00:00:00
Central Virginia,957,9,25,2020-07-30 00:00:00
Chesapeake,2391,27,199,2020-07-30 00:00:00
Chesterfield,4174,96,241,2020-07-30 00:00:00
Chickahominy,892,41,124,2020-07-30 00:00:00
Crater,2092,55,203,2020-07-30 00:00:00
Cumberland Plateau,231,1,16,2020-07-30 00:00:00
Eastern Shore,1366,43,122,2020-07-30 00:00:00
Fairfax,15748,532,1892,2020-07-30 00:00:00
Hampton,973,5,49,2020-07-30 00:00:00
Henrico,3509,178,308,2020-07-30 00:00:00
Lenowisco,218,6,29,2020-07-30 00:00:00
Lord Fairfax,2446,82,213,2020-07-30 00:00:00
Loudoun,4985,109,331,2020-07-30 00:00:00
Mount Rogers,1179,42,112,2020-07-30 00:00:00
New River,415,7,29,2020-07-30 00:00:00
Norfolk,3080,22,165,2020-07-30 00:00:00
Peninsula,2509,41,158,2020-07-30 00:00:00
Piedmont,1300,25,116,2020-07-30 00:00:00
Pittsylvania-Danville,600,7,60,2020-07-30 00:00:00
Portsmouth,1417,22,122,2020-07-30 00:00:00
Prince William,10875,196,938,2020-07-30 00:00:00
Rappahannock,3173,50,283,2020-07-30 00:00:00
Rappahannock Rapidan,1812,26,131,2020-07-30 00:00:00
Richmond,2857,38,273,2020-07-30 00:00:00
Roanoke,805,10,18,2020-07-30 00:00:00
Southside,630,33,63,2020-07-30 00:00:00
Thomas Jefferson,1685,31,135,2020-07-30 00:00:00
Three Rivers,964,15,66,2020-07-30 00:00:00
Virginia Beach,3979,43,193,2020-07-30 00:00:00
Western Tidewater,1670,75,130,2020-07-30 00:00:00
West Piedmont,882,12,103,2020-07-30 00:00:00
Alexandria,2798,58,269,2020-07-31 00:00:00
Alleghany,829,18,37,2020-07-31 00:00:00
Arlington,2897,136,434,2020-07-31 00:00:00
Central Shenandoah,2632,52,204,2020-07-31 00:00:00
Central Virginia,1032,10,27,2020-07-31 00:00:00
Chesapeake,2450,28,201,2020-07-31 00:00:00
Chesterfield,4237,97,241,2020-07-31 00:00:00
Chickahominy,898,42,129,2020-07-31 00:00:00
Crater,2113,57,204,2020-07-31 00:00:00
Cumberland Plateau,240,1,16,2020-07-31 00:00:00
Eastern Shore,1366,43,122,2020-07-31 00:00:00
Fairfax,15755,533,1920,2020-07-31 00:00:00
Hampton,1007,5,49,2020-07-31 00:00:00
Henrico,3541,180,310,2020-07-31 00:00:00
Lenowisco,232,7,29,2020-07-31 00:00:00
Lord Fairfax,2456,84,214,2020-07-31 00:00:00
Loudoun,4995,110,335,2020-07-31 00:00:00
Mount Rogers,1207,47,116,2020-07-31 00:00:00
New River,429,7,29,2020-07-31 00:00:00
Norfolk,3180,24,168,2020-07-31 00:00:00
Peninsula,2555,41,161,2020-07-31 00:00:00
Piedmont,1330,26,116,2020-07-31 00:00:00
Pittsylvania-Danville,616,7,60,2020-07-31 00:00:00
Portsmouth,1462,22,122,2020-07-31 00:00:00
