COUNTY,COUNTYNAME,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Scrape_Time
067,LAFAYETTE,39,2,0,3,4,10,3,3,5,4,5,0,0 to 118,45,20,18,1,39,0,0,4,35,7,0,1,38,0,0,39,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,47 to 47,47,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,38,0,39,38,1,0,0,0,2020-04-13 22:12:45.562914
069,LAKE,2946,85,57,210,414,388,488,475,410,324,92,3,0 to 101,51,1683,1228,35,2924,22,0,73,2717,153,67,162,2763,3,18,2903,80,75,0,155,0,3,5,13,24,30,29,30,27,1,0,11 to 86,56,73,16,47,19,40,93,22,74,7,41,2,0,4,162,79,83,155,7,0,2748,15,2946,2763,162,4,241,174,2020-04-13 22:12:45.562914
071,LEE,5860,82,73,396,835,877,1043,1019,854,496,181,4,0 to 100,51,3483,2273,104,5817,42,1,172,5286,393,98,642,5191,3,24,5792,306,292,16,614,5,6,41,75,92,103,106,113,75,26,0,0 to 100,54,251,35,15,313,66,230,318,131,10,116,9,1,18,642,306,319,613,28,1,5178,13,5860,5191,642,18,751,433,2020-04-13 22:12:45.562914
073,LEON,1974,46,40,268,368,328,331,305,197,68,22,1,0 to 95,43,1125,789,60,1961,12,1,40,1804,106,48,150,1816,2,6,1954,80,64,2,146,0,2,21,33,27,24,27,15,0,1,0,9 to 86,42,64,42,5,35,9,98,39,39,3,17,1,0,0,150,65,83,145,4,1,1808,8,1974,1816,150,0,246,175,2020-04-13 22:12:45.562914
075,LEVY,294,6,10,30,46,42,40,49,40,23,8,0,0 to 118,48,191,100,3,294,0,0,9,281,22,1,7,287,0,0,294,4,3,0,7,0,0,0,1,1,1,3,0,0,1,0,33 to 93,57,3,2,0,2,0,5,2,2,0,1,0,0,0,7,3,4,7,0,0,287,0,294,287,7,0,10,9,2020-04-13 22:12:45.562914
077,LIBERTY,27,1,2,2,7,5,3,4,2,1,0,0,2 to 76,37,13,12,2,27,0,0,1,25,2,0,2,25,0,0,27,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 56,42,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,0,25,0,27,25,2,0,6,6,2020-04-13 22:12:45.562914
079,MADISON,120,18,7,8,14,16,17,11,15,11,3,0,0 to 89,42,65,53,2,119,1,0,11,91,25,3,14,106,0,0,119,8,5,0,13,2,0,2,2,1,2,2,2,1,0,0,0 to 77,46,5,4,0,4,1,8,4,3,0,1,0,0,0,14,5,9,13,1,0,106,0,120,106,14,0,44,23,2020-04-13 22:12:45.562914
081,MANATEE,1759,27,34,119,230,256,300,322,244,163,63,1,0 to 100,52,1055,667,37,1743,16,0,124,1586,155,25,252,1504,1,2,1740,133,115,3,251,0,2,11,26,31,46,39,45,44,8,0,14 to 91,57,158,34,15,44,12,161,78,35,1,48,1,0,15,252,116,133,251,1,0,1489,15,1759,1504,252,15,182,102,2020-04-13 22:12:45.562914
083,MARION,2209,36,33,171,256,312,356,397,384,187,75,2,0 to 119,53,1332,843,34,2203,6,0,328,1759,141,76,101,1873,3,232,1969,54,44,0,98,1,0,4,14,20,24,23,11,3,1,0,2 to 88,49,75,14,9,0,18,80,0,24,2,13,0,0,3,101,45,56,98,3,0,1871,2,2209,1873,101,3,125,87,2020-04-13 22:12:45.562914
085,MARTIN,1178,17,12,62,115,147,191,240,207,132,55,0,0 to 99,56,660,489,29,1171,7,0,67,1060,83,49,129,1042,0,7,1164,51,70,1,122,0,0,6,11,7,20,35,18,26,6,0,19 to 92,61,93,2,7,20,10,91,21,38,2,28,1,0,3,129,75,53,122,7,0,1042,0,1178,1042,129,3,59,52,2020-04-13 22:12:45.562914
