COUNTY,COUNTYNAME,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Scrape_Time
071,LEE,1162,17,17,62,131,156,181,195,234,128,40,1,0,1,5,8,11,8,16,26,23,3,0,1 to 97,53,10 to 94,95,0,688,464,10,1150,11,1,152,981,29,40,34,27,46,27,28,6,1143,101,1042,0,19,42,34,122,101,62,39,94,6,1,1038,4,1133,1042,101,6,284,242,2020-03-28 17:22:43.330485
073,LEON,421,10,11,55,81,65,55,70,50,18,6,0,0,0,1,4,6,1,4,0,0,0,0,0 to 95,44,19 to 60,14,0,259,161,1,417,3,1,10,390,21,7,1,8,13,1,2,0,420,16,404,0,1,9,18,9,16,8,8,13,2,1,403,1,417,404,16,0,77,51,2020-03-28 17:22:43.330498
075,LEVY,60,3,3,2,11,6,6,6,14,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0 to 87,50,64 to 64,1,0,40,20,0,60,0,0,8,52,0,1,0,0,1,0,0,0,60,1,59,0,0,4,3,2,1,0,1,1,0,0,59,0,60,59,1,0,3,2,2020-03-28 17:22:43.330544
077,LIBERTY,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29 to 76,52,NA,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2020-03-28 17:22:43.330557
079,MADISON,21,0,0,1,4,1,6,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,21 to 88,53,NA,0,0,16,5,0,21,0,0,2,19,0,0,0,0,0,0,0,0,21,0,21,0,0,2,0,0,0,0,0,0,0,0,21,0,21,21,0,0,0,0,2020-03-28 17:22:43.330566
081,MANATEE,276,7,6,17,25,31,42,40,60,26,21,1,0,1,0,1,1,5,10,8,4,0,0,0 to 100,54,14 to 83,30,0,151,123,2,272,4,0,38,226,12,3,18,9,12,5,13,1,271,30,241,0,5,25,46,20,30,16,14,30,0,0,237,4,267,241,30,1,95,37,2020-03-28 17:22:43.330574
083,MARION,516,11,14,43,46,67,75,77,106,51,26,0,0,0,2,3,2,4,2,3,0,1,0,0 to 119,53,19 to 88,16,0,304,201,11,514,2,0,25,459,32,10,4,3,13,3,1,0,381,17,364,0,135,74,190,24,17,5,11,16,1,0,364,0,380,364,17,0,54,50,2020-03-28 17:22:43.330582
085,MARTIN,203,1,3,13,16,23,25,30,46,26,20,0,0,0,0,2,2,8,4,4,5,0,0,2 to 99,58,26 to 80,25,0,119,76,8,203,0,0,15,177,11,13,7,5,17,7,1,0,200,25,175,0,3,15,11,8,25,14,10,25,0,0,175,0,200,175,25,0,32,26,2020-03-28 17:22:43.330590
087,MONROE,183,1,1,10,26,23,35,42,27,9,9,0,0,0,3,1,1,7,3,2,3,0,0,4 to 92,52,19 to 80,18,0,102,79,2,170,13,0,32,117,34,4,12,4,14,2,4,0,137,20,117,0,46,37,54,13,20,11,9,18,2,0,110,7,128,117,20,0,50,47,2020-03-28 17:22:43.330598
089,NASSAU,84,1,2,2,7,11,10,23,16,8,4,0,0,0,0,0,0,1,2,3,0,0,0,4 to 92,55,50 to 73,6,0,50,34,0,83,1,0,6,67,11,2,2,2,5,0,1,0,84,6,78,0,0,14,2,5,6,3,3,6,0,0,77,1,83,78,6,0,6,5,2020-03-28 17:22:43.330605
091,OKALOOSA,202,6,11,11,35,34,40,33,16,10,1,5,0,0,2,3,4,5,3,4,5,1,0,1 to 87,44,24 to 87,24,0,118,77,7,197,4,1,53,118,31,17,2,8,20,2,5,0,188,27,161,0,14,38,6,39,27,13,14,23,3,1,160,1,184,161,27,0,94,44,2020-03-28 17:22:43.330613
093,OKEECHOBEE,42,0,3,5,3,4,6,9,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8 to 84,50,NA,0,0,22,20,0,41,1,0,21,14,7,0,0,0,0,0,0,0,41,0,41,0,1,24,2,1,0,0,0,0,0,0,40,1,40,41,0,0,1,0,2020-03-28 17:22:43.330621
095,ORANGE,2282,91,66,204,352,385,370,348,262,133,71,0,0,1,21,25,39,46,38,15,17,4,0,0 to 99,46,9 to 90,192,0,1271,999,12,2206,75,1,103,2109,70,42,109,55,71,92,43,4,2265,206,2059,0,17,87,64,53,206,121,84,191,14,1,1999,60,2191,2059,206,4,294,145,2020-03-28 17:22:43.330629
097,OSCEOLA,554,10,15,45,107,99,85,81,67,35,8,2,0,0,7,12,10,14,11,7,4,1,0,0 to 97,46,18 to 91,63,0,317,235,2,546,8,0,118,350,86,27,14,25,34,14,18,0,491,66,425,0,63,125,34,68,66,32,34,63,3,0,422,3,485,425,66,0,91,57,2020-03-28 17:22:43.330636
099,PALM BEACH,1934,30,45,149,285,293,295,288,284,187,66,12,0,1,23,24,31,29,43,71,55,15,0,0 to 104,50,6 to 92,281,0,1067,830,37,1914,18,2,99,1768,67,37,194,61,79,178,35,5,1905,292,1613,0,29,74,60,83,292,156,129,279,11,2,1606,7,1887,1613,292,5,309,231,2020-03-28 17:22:43.330644
101,PASCO,692,17,23,41,82,98,113,124,116,59,18,1,0,0,2,4,5,7,3,7,0,0,0,0 to 95,50,21 to 73,27,0,416,275,1,682,10,0,64,595,33,16,7,5,20,3,5,2,678,28,649,1,14,68,38,23,28,12,16,27,1,0,642,7,669,649,28,2,118,54,2020-03-28 17:22:43.330652
103,PINELLAS,1669,30,28,103,217,203,265,298,306,141,75,3,0,0,7,11,7,14,24,21,10,0,0,0 to 104,52,18 to 83,83,0,960,697,12,1641,28,0,199,1329,141,40,13,41,55,6,33,4,1614,94,1519,1,55,235,21,59,94,61,33,83,11,0,1503,17,1586,1520,94,4,177,112,2020-03-28 17:22:43.330659
105,POLK,692,12,16,60,85,92,115,123,102,69,18,0,0,1,2,6,6,5,6,3,4,1,0,0 to 97,50,8 to 88,34,0,414,273,5,688,4,0,94,554,44,11,6,17,15,6,13,0,641,34,607,0,51,87,19,28,34,16,18,34,0,0,603,4,637,607,34,0,59,31,2020-03-28 17:22:43.330667
107,PUTNAM,210,7,3,15,29,30,33,37,24,25,7,0,0,0,2,0,2,3,0,4,1,0,0,0 to 96,50,22 to 82,12,0,132,77,1,209,1,0,82,117,11,1,10,1,10,2,0,0,201,12,188,1,9,22,18,70,12,6,6,12,0,0,188,1,200,189,12,0,1,1,2020-03-28 17:22:43.330674
113,SANTA ROSA,213,12,10,14,31,36,35,23,35,14,3,0,2,0,2,0,0,2,1,5,2,0,0,0 to 90,45,0 to 81,14,0,130,82,1,213,0,0,20,183,10,4,3,7,7,1,6,1,211,14,197,0,2,21,3,7,14,10,4,14,0,0,197,0,211,197,14,1,265,243,2020-03-28 17:22:43.330682
115,SARASOTA,686,7,7,33,50,51,80,101,131,142,84,0,0,0,2,0,3,4,5,13,15,6,0,0 to 99,62,21 to 90,40,0,364,318,4,659,27,0,306,347,33,18,11,19,22,8,18,2,657,48,609,0,29,256,44,61,48,24,24,40,8,0,594,15,634,609,48,2,140,62,2020-03-28 17:22:43.330690
117,SEMINOLE,783,15,19,70,132,131,129,118,98,38,33,0,0,0,4,14,9,12,13,8,1,0,0,0 to 104,47,19 to 76,59,0,476,297,10,778,5,0,54,686,43,21,14,26,37,10,14,0,750,61,689,0,33,60,32,36,61,28,33,59,2,0,686,3,745,689,61,0,152,123,2020-03-28 17:22:43.330697
109,ST. JOHNS,674,13,18,40,99,107,116,111,101,46,21,2,0,2,3,3,5,12,9,11,2,1,0,0 to 96,49,12 to 91,46,0,375,262,37,670,4,0,122,501,51,19,6,23,30,7,11,2,651,48,603,0,23,89,63,55,48,34,14,46,2,0,601,2,647,603,48,2,67,52,2020-03-28 17:22:43.330705
111,ST. LUCIE,313,9,11,22,43,42,53,57,46,22,8,0,0,0,1,3,2,3,6,3,2,1,0,0 to 95,48,19 to 95,19,0,180,128,5,310,3,0,34,265,14,14,1,6,17,1,3,1,302,21,281,0,11,33,9,12,21,10,11,19,2,0,280,1,299,281,21,1,38,34,2020-03-28 17:22:43.330712
119,SUMTER,542,2,6,9,10,16,35,75,251,129,9,0,0,0,1,0,1,1,0,18,10,2,0,1 to 96,66,18 to 92,33,0,313,228,1,542,0,0,25,487,30,12,7,14,17,6,10,0,529,33,491,5,13,59,23,19,33,18,15,33,0,0,491,0,524,491,33,0,18,15,2020-03-28 17:22:43.330720
121,SUWANNEE,54,0,2,4,5,6,7,8,14,6,2,0,0,0,0,0,0,1,0,0,0,0,0,7 to 86,54,51 to 51,1,0,39,13,2,54,0,0,32,19,3,0,0,1,1,0,0,0,43,1,42,0,11,33,6,1,1,0,1,1,0,0,42,0,43,42,1,0,5,4,2020-03-28 17:22:43.330728
123,TAYLOR,28,0,0,2,4,5,5,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19 to 81,50,NA,0,0,12,16,0,28,0,0,5,23,0,0,0,0,0,0,0,0,28,0,28,0,0,5,0,0,0,0,0,0,0,0,28,0,28,28,0,0,1,1,2020-03-28 17:22:43.330735
125,UNION,33,1,1,2,5,7,7,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3 to 84,46,NA,0,0,18,15,0,33,0,0,4,26,3,0,0,0,0,0,0,0,32,0,32,0,1,6,4,0,0,0,0,0,0,0,32,0,32,32,0,0,1,0,2020-03-28 17:22:43.330743
999,Unknown,11,0,0,1,3,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21 to 95,49,NA,0,0,6,5,0,3,8,0,0,11,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,3,8,3,11,0,0,9,8,2020-03-28 17:22:43.330750
127,VOLUSIA,511,13,14,34,75,84,62,83,92,43,10,1,0,0,3,4,7,9,4,13,3,1,0,0 to 94,49,17 to 89,43,0,321,185,5,507,4,0,45,416,50,28,4,12,30,3,11,1,506,44,462,0,5,31,30,38,44,18,26,43,1,0,459,3,502,462,44,1,148,105,2020-03-28 17:22:43.330758
129,WAKULLA,37,0,2,2,3,6,10,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7 to 93,50,NA,0,0,25,12,0,37,0,0,4,33,0,0,0,0,0,0,0,0,37,0,37,0,0,4,0,0,0,0,0,0,0,0,37,0,37,37,0,0,14,13,2020-03-28 17:22:43.330765
131,WALTON,98,5,3,9,8,14,22,17,13,5,2,0,0,0,3,0,1,3,3,2,3,0,0,1 to 97,47,20 to 79,8,0,59,39,0,89,9,0,31,41,26,9,1,5,10,1,4,0,95,15,80,0,3,15,30,12,15,6,9,8,7,0,78,2,86,80,15,0,5,1,2020-03-28 17:22:43.330773
133,WASHINGTON,33,0,1,2,4,6,4,5,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,5 to 84,52,53 to 53,1,0,16,10,7,33,0,0,10,19,4,0,1,0,0,0,1,0,27,1,26,0,6,12,1,2,1,1,0,1,0,0,26,0,27,26,1,0,5,5,2020-03-28 17:22:43.330780
001,ALACHUA,1200,58,20,229,246,159,123,131,133,51,29,21,1,0,19,12,7,6,9,10,2,1,1,0 to 101,41,2 to 91,64,0,736,454,10,1186,14,0,175,997,28,11,48,9,17,44,7,0,1179,68,1111,0,21,43,33,9,68,30,37,64,4,0,1101,10,1200,1111,68,0,37,26,2020-03-29 09:50:13.115705
003,BAKER,52,0,3,4,6,3,12,5,6,9,4,0,0,0,0,0,0,0,2,1,2,2,0,5 to 97,53,55 to 97,7,0,38,13,1,51,1,0,39,10,3,5,1,1,5,0,2,0,51,7,44,0,1,13,16,12,7,3,4,7,0,0,43,1,52,44,7,0,1,0,2020-03-29 09:50:13.115705
005,BAY,91,3,3,4,17,10,15,23,8,7,1,0,0,0,0,0,1,1,1,2,0,0,0,0 to 90,48,44 to 74,4,0,48,40,3,89,2,0,15,54,22,4,0,1,4,0,1,0,90,5,85,0,1,14,15,9,5,4,1,4,1,0,84,1,91,85,5,0,11,9,2020-03-29 09:50:13.115705
