County Name,Scrape Time,Total Cases,Total Deaths,Total Hospitalized
Yakima,2020-06-21 21:18:09.274684,6283,138,455
Adams,2020-06-22 21:19:47.718590,108,0,8
Asotin,2020-06-22 21:19:47.718590,20,2,1
Benton,2020-06-22 21:19:47.718590,1437,76,187
Chelan,2020-06-22 21:19:47.718590,286,6,19
Clallam,2020-06-22 21:19:47.718590,33,0,3
Clark,2020-06-22 21:19:47.718590,654,30,98
Columbia,2020-06-22 21:19:47.718590,2,0,0
Cowlitz,2020-06-22 21:19:47.718590,145,0,19
Douglas,2020-06-22 21:19:47.718590,196,3,12
Ferry,2020-06-22 21:19:47.718590,1,0,0
Franklin,2020-06-22 21:19:47.718590,1306,29,126
Garfield,2020-06-22 21:19:47.718590,0,0,0
Grant,2020-06-22 21:19:47.718590,376,5,36
Grays Harbor,2020-06-22 21:19:47.718590,23,0,8
Island,2020-06-22 21:19:47.718590,187,12,32
Jefferson,2020-06-22 21:19:47.718590,33,0,7
King,2020-06-22 21:19:47.718590,9253,602,1734
Kitsap,2020-06-22 21:19:47.718590,191,2,28
Kittitas,2020-06-22 21:19:47.718590,99,0,2
Klickitat,2020-06-22 21:19:47.718590,52,3,8
Lewis,2020-06-22 21:19:47.718590,49,3,13
Lincoln,2020-06-22 21:19:47.718590,2,0,0
Mason,2020-06-22 21:19:47.718590,43,1,5
Okanogan,2020-06-22 21:19:47.718590,63,2,5
Pacific,2020-06-22 21:19:47.718590,13,1,2
Pend Oreille,2020-06-22 21:19:47.718590,3,0,0
Pierce,2020-06-22 21:19:47.718590,2288,92,392
San Juan,2020-06-22 21:19:47.718590,19,0,1
Skagit,2020-06-22 21:19:47.718590,485,15,55
Skamania,2020-06-22 21:19:47.718590,3,0,1
Snohomish,2020-06-22 21:19:47.718590,3249,164,595
Spokane,2020-06-22 21:19:47.718590,985,39,109
Stevens,2020-06-22 21:19:47.718590,17,1,4
Thurston,2020-06-22 21:19:47.718590,216,7,34
Wahkiakum,2020-06-22 21:19:47.718590,4,0,0
Walla Walla,2020-06-22 21:19:47.718590,140,3,9
Whatcom,2020-06-22 21:19:47.718590,499,40,52
Whitman,2020-06-22 21:19:47.718590,28,0,0
Yakima,2020-06-22 21:19:47.718590,6326,138,456
Adams,2020-06-23 21:09:51.432401,109,0,8
Asotin,2020-06-23 21:09:51.432401,20,2,1
Benton,2020-06-23 21:09:51.432401,1463,76,187
Chelan,2020-06-23 21:09:51.432401,289,6,19
Clallam,2020-06-23 21:09:51.432401,33,0,3
Clark,2020-06-23 21:09:51.432401,660,30,98
Columbia,2020-06-23 21:09:51.432401,8,0,0
Cowlitz,2020-06-23 21:09:51.432401,149,0,19
Douglas,2020-06-23 21:09:51.432401,195,3,12
Ferry,2020-06-23 21:09:51.432401,1,0,0
Franklin,2020-06-23 21:09:51.432401,1335,30,128
Garfield,2020-06-23 21:09:51.432401,0,0,0
Grant,2020-06-23 21:09:51.432401,405,6,36
Grays Harbor,2020-06-23 21:09:51.432401,23,0,8
Island,2020-06-23 21:09:51.432401,187,12,32
Jefferson,2020-06-23 21:09:51.432401,33,0,7
King,2020-06-23 21:09:51.432401,9366,604,1731
Kitsap,2020-06-23 21:09:51.432401,195,2,28
Kittitas,2020-06-23 21:09:51.432401,100,0,2
Klickitat,2020-06-23 21:09:51.432401,53,3,8
Lewis,2020-06-23 21:09:51.432401,50,3,13
Lincoln,2020-06-23 21:09:51.432401,2,0,0
Mason,2020-06-23 21:09:51.432401,43,1,5
Okanogan,2020-06-23 21:09:51.432401,63,2,5
Pacific,2020-06-23 21:09:51.432401,13,1,2
Pend Oreille,2020-06-23 21:09:51.432401,3,0,0
Pierce,2020-06-23 21:09:51.432401,2321,93,396
San Juan,2020-06-23 21:09:51.432401,19,0,1
Skagit,2020-06-23 21:09:51.432401,486,15,56
Skamania,2020-06-23 21:09:51.432401,4,0,1
Snohomish,2020-06-23 21:09:51.432401,3329,164,595
Spokane,2020-06-23 21:09:51.432401,1021,38,108
Stevens,2020-06-23 21:09:51.432401,16,1,4
Thurston,2020-06-23 21:09:51.432401,221,7,35
Wahkiakum,2020-06-23 21:09:51.432401,4,0,0
Walla Walla,2020-06-23 21:09:51.432401,144,3,9
Whatcom,2020-06-23 21:09:51.432401,521,40,52
Whitman,2020-06-23 21:09:51.432401,31,0,0
Yakima,2020-06-23 21:09:51.432401,6435,142,457
Adams,2020-06-24 21:44:15.310299,109,0,8
Asotin,2020-06-24 21:44:15.310299,20,2,1
Benton,2020-06-24 21:44:15.310299,1524,76,189
