County Name,Scrape Time,Total Cases,Total Deaths,Total Tested: Negative
Sherman,2020-07-01 20:13:32.862935,1,0,146
Tillamook,2020-07-01 20:13:32.862935,11,0,1239
Umatilla,2020-07-01 20:13:32.862935,533,4,3549
Union,2020-07-01 20:13:32.862935,342,1,1674
Wallowa,2020-07-01 20:13:32.862935,10,0,431
Wasco,2020-07-01 20:13:32.862935,73,1,2180
Washington,2020-07-01 20:13:32.862935,1379,20,32140
Wheeler,2020-07-01 20:13:32.862935,0,0,120
Yamhill,2020-07-01 20:13:32.862935,126,8,5305
Baker,2020-07-02 22:20:05.604422,4,0,503
Benton,2020-07-02 22:20:05.604422,83,5,6218
Clackamas,2020-07-02 22:20:05.604422,773,24,23648
Clatsop,2020-07-02 22:20:05.604422,49,0,2438
Columbia,2020-07-02 22:20:05.604422,31,0,2784
Coos,2020-07-02 22:20:05.604422,41,0,2710
Crook,2020-07-02 22:20:05.604422,11,0,1070
Curry,2020-07-02 22:20:05.604422,7,0,722
Deschutes,2020-07-02 22:20:05.604422,192,0,10744
Douglas,2020-07-02 22:20:05.604422,44,0,5080
Gilliam,2020-07-02 22:20:05.604422,0,0,96
Grant,2020-07-02 22:20:05.604422,1,0,192
Harney,2020-07-02 22:20:05.604422,1,0,411
Hood River,2020-07-02 22:20:05.604422,88,0,2328
Jackson,2020-07-02 22:20:05.604422,131,0,12350
Jefferson,2020-07-02 22:20:05.604422,126,0,1992
Josephine,2020-07-02 22:20:05.604422,41,1,4275
Klamath,2020-07-02 22:20:05.604422,123,1,4997
Lake,2020-07-02 22:20:05.604422,19,0,248
Lane,2020-07-02 22:20:05.604422,180,3,23897
Lincoln,2020-07-02 22:20:05.604422,327,2,4724
Linn,2020-07-02 22:20:05.604422,154,9,6932
Malheur,2020-07-02 22:20:05.604422,140,1,1558
Marion,2020-07-02 22:20:05.604422,1564,47,17189
Morrow,2020-07-02 22:20:05.604422,72,1,501
Multnomah,2020-07-02 22:20:05.604422,2301,69,52619
Polk,2020-07-02 22:20:05.604422,149,12,2912
Sherman,2020-07-02 22:20:05.604422,1,0,147
Tillamook,2020-07-02 22:20:05.604422,12,0,1274
Umatilla,2020-07-02 22:20:05.604422,620,4,3927
Union,2020-07-02 22:20:05.604422,347,1,1704
Wallowa,2020-07-02 22:20:05.604422,10,0,432
Wasco,2020-07-02 22:20:05.604422,75,1,2226
Washington,2020-07-02 22:20:05.604422,1446,20,33368
Wheeler,2020-07-02 22:20:05.604422,0,0,121
Yamhill,2020-07-02 22:20:05.604422,131,8,5423
Baker,2020-07-03 22:49:25.828743,4,0,503
Benton,2020-07-03 22:49:25.828743,83,5,6218
Clackamas,2020-07-03 22:49:25.828743,773,24,23648
Clatsop,2020-07-03 22:49:25.828743,49,0,2438
Columbia,2020-07-03 22:49:25.828743,31,0,2784
Coos,2020-07-03 22:49:25.828743,41,0,2710
Crook,2020-07-03 22:49:25.828743,11,0,1070
Curry,2020-07-03 22:49:25.828743,7,0,722
Deschutes,2020-07-03 22:49:25.828743,192,0,10744
Douglas,2020-07-03 22:49:25.828743,44,0,5080
Gilliam,2020-07-03 22:49:25.828743,0,0,96
Grant,2020-07-03 22:49:25.828743,1,0,192
Harney,2020-07-03 22:49:25.828743,1,0,411
Hood River,2020-07-03 22:49:25.828743,88,0,2328
Jackson,2020-07-03 22:49:25.828743,131,0,12350
Jefferson,2020-07-03 22:49:25.828743,126,0,1992
Josephine,2020-07-03 22:49:25.828743,41,1,4275
Klamath,2020-07-03 22:49:25.828743,123,1,4997
Lake,2020-07-03 22:49:25.828743,19,0,248
Lane,2020-07-03 22:49:25.828743,180,3,23897
Lincoln,2020-07-03 22:49:25.828743,327,2,4724
Linn,2020-07-03 22:49:25.828743,154,9,6932
Malheur,2020-07-03 22:49:25.828743,140,1,1558
Marion,2020-07-03 22:49:25.828743,1564,47,17189
Morrow,2020-07-03 22:49:25.828743,72,1,501
Multnomah,2020-07-03 22:49:25.828743,2301,69,52619
Polk,2020-07-03 22:49:25.828743,149,12,2912
Sherman,2020-07-03 22:49:25.828743,1,0,147
Tillamook,2020-07-03 22:49:25.828743,12,0,1274
Umatilla,2020-07-03 22:49:25.828743,620,4,3927
Union,2020-07-03 22:49:25.828743,347,1,1704
