Active Cases,County Name,Deaths,FIPS,Negative Cases,Pending Cases,Positive Cases,Recovered,Scrape Time,Testing: Private Lab,Testing: Public Lab,Total Tested
1,Desha,0,041,406,0,19,18,2020-05-23 20:36:33.142391,320,105,425
2,Drew,1,043,537,0,19,16,2020-05-23 20:36:33.142391,493,63,556
16,Faulkner,3,045,2687,0,100,81,2020-05-23 20:36:33.142391,2393,394,2787
2,Franklin,0,047,218,0,4,2,2020-05-23 20:36:33.142391,213,9,222
3,Fulton,0,049,221,0,6,3,2020-05-23 20:36:33.142391,212,15,227
6,Garland,1,051,3630,0,133,126,2020-05-23 20:36:33.142391,3651,112,3763
0,Grant,0,053,426,0,16,16,2020-05-23 20:36:33.142391,407,35,442
20,Greene,0,055,1523,0,45,25,2020-05-23 20:36:33.142391,1414,154,1568
5,Hempstead,1,057,257,0,13,7,2020-05-23 20:36:33.142391,252,18,270
0,Hot Spring,0,059,743,0,29,29,2020-05-23 20:36:33.142391,718,54,772
1,Howard,0,061,252,0,15,14,2020-05-23 20:36:33.142391,265,2,267
5,Independence,0,063,681,0,29,24,2020-05-23 20:36:33.142391,683,27,710
1,Izard,0,065,179,0,14,13,2020-05-23 20:36:33.142391,181,12,193
0,Jackson,0,067,216,0,1,1,2020-05-23 20:36:33.142391,207,10,217
259,Jefferson,23,069,2261,0,504,222,2020-05-23 20:36:33.142391,1614,1151,2765
3,Johnson,0,071,308,0,38,35,2020-05-23 20:36:33.142391,310,36,346
0,Lafayette,1,073,39,0,9,8,2020-05-23 20:36:33.142391,46,2,48
17,Lawrence,5,075,593,0,82,60,2020-05-23 20:36:33.142391,647,28,675
6,Lee,1,077,192,0,14,7,2020-05-23 20:36:33.142391,160,46,206
24,Lincoln,8,079,944,0,970,938,2020-05-23 20:36:33.142391,1367,547,1914
1,Little River,0,081,161,0,1,0,2020-05-23 20:36:33.142391,141,21,162
0,Logan,0,083,241,0,4,4,2020-05-23 20:36:33.142391,229,16,245
2,Lonoke,0,085,1551,0,46,44,2020-05-23 20:36:33.142391,1384,213,1597
2,Madison,0,087,263,0,3,1,2020-05-23 20:36:33.142391,250,16,266
0,Marion,0,089,150,0,1,1,2020-05-23 20:36:33.142391,147,4,151
1,Miller,1,091,602,0,42,40,2020-05-23 20:36:33.142391,629,15,644
34,Missing County Info,0,05,27101,0,148,114,2020-05-23 20:36:33.142391,27143,106,27249
14,Mississippi,1,093,889,0,70,55,2020-05-23 20:36:33.142391,854,105,959
0,Monroe,0,095,143,0,5,5,2020-05-23 20:36:33.142391,138,10,148
0,Montgomery,0,097,134,0,1,1,2020-05-23 20:36:33.142391,126,9,135
1,Nevada,0,099,123,0,4,3,2020-05-23 20:36:33.142391,120,7,127
0,Newton,0,101,117,0,3,3,2020-05-23 20:36:33.142391,120,0,120
1,Ouachita,0,103,705,0,10,9,2020-05-23 20:36:33.142391,587,128,715
0,Perry,0,105,246,0,12,12,2020-05-23 20:36:33.142391,226,32,258
2,Phillips,1,107,371,0,7,4,2020-05-23 20:36:33.142391,328,50,378
0,Pike,0,109,514,0,4,4,2020-05-23 20:36:33.142391,512,6,518
7,Poinsett,2,111,464,0,31,22,2020-05-23 20:36:33.142391,470,25,495
1,Polk,0,113,396,0,9,8,2020-05-23 20:36:33.142391,326,79,405
54,Pope,1,115,2190,0,107,52,2020-05-23 20:36:33.142391,2187,110,2297
0,Prairie,0,117,91,0,2,2,2020-05-23 20:36:33.142391,89,4,93
130,Pulaski,29,119,10873,0,773,614,2020-05-23 20:36:33.142391,10077,1569,11646
5,Randolph,0,121,868,0,26,21,2020-05-23 20:36:33.142391,808,86,894
10,Saline,1,125,2906,0,87,76,2020-05-23 20:36:33.142391,2704,289,2993
0,Scott,0,127,25,0,1,1,2020-05-23 20:36:33.142391,20,6,26
0,Searcy,0,129,318,0,6,6,2020-05-23 20:36:33.142391,318,6,324
4,Sebastian,0,131,948,0,19,15,2020-05-23 20:36:33.142391,932,35,967
54,Sevier,1,133,453,0,79,24,2020-05-23 20:36:33.142391,485,47,532
28,Sharp,2,135,283,0,42,12,2020-05-23 20:36:33.142391,269,56,325
323,St. Francis,1,123,2457,0,628,304,2020-05-23 20:36:33.142391,2583,502,3085
0,Stone,0,137,209,0,8,8,2020-05-23 20:36:33.142391,211,6,217
54,Union,5,139,826,0,152,93,2020-05-23 20:36:33.142391,908,70,978
0,Van Buren,2,141,436,0,28,26,2020-05-23 20:36:33.142391,354,110,464
118,Washington,5,143,3744,0,233,110,2020-05-23 20:36:33.142391,3054,923,3977
2,White,1,145,1586,0,38,35,2020-05-23 20:36:33.142391,1517,107,1624
0,Woodruff,0,147,88,0,1,1,2020-05-23 20:36:33.142391,84,5,89
77,Yell,1,149,330,0,94,16,2020-05-23 20:36:33.142391,390,34,424
1,Arkansas,0,001,259,0,3,2,2020-05-24 20:30:19.404170,244,18,262
1,Ashley,0,003,550,0,19,18,2020-05-24 20:30:19.404170,433,136,569
1,Baxter,0,005,543,0,6,5,2020-05-24 20:30:19.404170,528,21,549
