County Name,Scrape Time,Total Deaths
Brown,2020-07-20 20:18:46.234575,2
Buffalo,2020-07-20 20:18:46.234575,2
Faulk,2020-07-20 20:18:46.234575,1
Jackson,2020-07-20 20:18:46.234575,1
Jerauld,2020-07-20 20:18:46.234575,1
Lake,2020-07-20 20:18:46.234575,1
Lincoln,2020-07-20 20:18:46.234575,1
McCook,2020-07-20 20:18:46.234575,1
Meade,2020-07-20 20:18:46.234575,1
Minnehaha,2020-07-20 20:18:46.234575,58
Pennington,2020-07-20 20:18:46.234575,16
Todd,2020-07-20 20:18:46.234575,1
Union,2020-07-20 20:18:46.234575,1
Beadle,2020-07-21 22:02:59.364457,6
Brown,2020-07-21 22:02:59.364457,2
Buffalo,2020-07-21 22:02:59.364457,2
Faulk,2020-07-21 22:02:59.364457,1
Jackson,2020-07-21 22:02:59.364457,1
Jerauld,2020-07-21 22:02:59.364457,1
Lake,2020-07-21 22:02:59.364457,1
Lincoln,2020-07-21 22:02:59.364457,1
McCook,2020-07-21 22:02:59.364457,1
Meade,2020-07-21 22:02:59.364457,1
Minnehaha,2020-07-21 22:02:59.364457,58
Pennington,2020-07-21 22:02:59.364457,16
Todd,2020-07-21 22:02:59.364457,1
Union,2020-07-21 22:02:59.364457,1
Beadle,2020-07-22 21:58:58.555674,6
Brown,2020-07-22 21:58:58.555674,2
Buffalo,2020-07-22 21:58:58.555674,2
Faulk,2020-07-22 21:58:58.555674,1
Jackson,2020-07-22 21:58:58.555674,1
Jerauld,2020-07-22 21:58:58.555674,1
Lake,2020-07-22 21:58:58.555674,1
Lincoln,2020-07-22 21:58:58.555674,1
McCook,2020-07-22 21:58:58.555674,1
Meade,2020-07-22 21:58:58.555674,1
Minnehaha,2020-07-22 21:58:58.555674,58
Pennington,2020-07-22 21:58:58.555674,16
Todd,2020-07-22 21:58:58.555674,1
Union,2020-07-22 21:58:58.555674,1
Beadle,2020-07-23 19:59:41.383847,6
Brown,2020-07-23 19:59:41.383847,2
Buffalo,2020-07-23 19:59:41.383847,2
Faulk,2020-07-23 19:59:41.383847,1
Jackson,2020-07-23 19:59:41.383847,1
Jerauld,2020-07-23 19:59:41.383847,1
Lake,2020-07-23 19:59:41.383847,1
Lincoln,2020-07-23 19:59:41.383847,1
McCook,2020-07-23 19:59:41.383847,1
Meade,2020-07-23 19:59:41.383847,1
Minnehaha,2020-07-23 19:59:41.383847,58
Pennington,2020-07-23 19:59:41.383847,16
Todd,2020-07-23 19:59:41.383847,1
Union,2020-07-23 19:59:41.383847,1
Beadle,2020-07-24 20:20:40.857250,6
Brown,2020-07-24 20:20:40.857250,2
Buffalo,2020-07-24 20:20:40.857250,2
Faulk,2020-07-24 20:20:40.857250,1
Jackson,2020-07-24 20:20:40.857250,1
Jerauld,2020-07-24 20:20:40.857250,1
Lake,2020-07-24 20:20:40.857250,1
Lincoln,2020-07-24 20:20:40.857250,1
McCook,2020-07-24 20:20:40.857250,1
Meade,2020-07-24 20:20:40.857250,1
Minnehaha,2020-07-24 20:20:40.857250,58
Pennington,2020-07-24 20:20:40.857250,16
Todd,2020-07-24 20:20:40.857250,1
Union,2020-07-24 20:20:40.857250,1
Beadle,2020-07-25 20:15:44.083309,6
Brown,2020-07-25 20:15:44.083309,2
Buffalo,2020-07-25 20:15:44.083309,2
Faulk,2020-07-25 20:15:44.083309,1
Jackson,2020-07-25 20:15:44.083309,1
Jerauld,2020-07-25 20:15:44.083309,1
Lake,2020-07-25 20:15:44.083309,1
Lincoln,2020-07-25 20:15:44.083309,1
McCook,2020-07-25 20:15:44.083309,1
Meade,2020-07-25 20:15:44.083309,1
Minnehaha,2020-07-25 20:15:44.083309,58
Pennington,2020-07-25 20:15:44.083309,16
Todd,2020-07-25 20:15:44.083309,1
Union,2020-07-25 20:15:44.083309,1
Beadle,2020-07-26 20:17:15.647577,6
Brown,2020-07-26 20:17:15.647577,2
Buffalo,2020-07-26 20:17:15.647577,2
Faulk,2020-07-26 20:17:15.647577,1
Jackson,2020-07-26 20:17:15.647577,1
Jerauld,2020-07-26 20:17:15.647577,1
Lake,2020-07-26 20:17:15.647577,1
Lincoln,2020-07-26 20:17:15.647577,1
McCook,2020-07-26 20:17:15.647577,1
Meade,2020-07-26 20:17:15.647577,1
Minnehaha,2020-07-26 20:17:15.647577,58
Pennington,2020-07-26 20:17:15.647577,16
Todd,2020-07-26 20:17:15.647577,1
Union,2020-07-26 20:17:15.647577,1
Beadle,2020-07-27 20:10:02.134554,6
Brown,2020-07-27 20:10:02.134554,2
Buffalo,2020-07-27 20:10:02.134554,2
Faulk,2020-07-27 20:10:02.134554,1
Jackson,2020-07-27 20:10:02.134554,1
Jerauld,2020-07-27 20:10:02.134554,1
Lake,2020-07-27 20:10:02.134554,1
Lincoln,2020-07-27 20:10:02.134554,1
McCook,2020-07-27 20:10:02.134554,1
Meade,2020-07-27 20:10:02.134554,1
Minnehaha,2020-07-27 20:10:02.134554,58
Pennington,2020-07-27 20:10:02.134554,16
Todd,2020-07-27 20:10:02.134554,1
Union,2020-07-27 20:10:02.134554,1
Beadle,2020-07-28 20:17:16.136926,6
Brown,2020-07-28 20:17:16.136926,2
Buffalo,2020-07-28 20:17:16.136926,2
Faulk,2020-07-28 20:17:16.136926,1
Jackson,2020-07-28 20:17:16.136926,1
Jerauld,2020-07-28 20:17:16.136926,1
Lake,2020-07-28 20:17:16.136926,1
Lincoln,2020-07-28 20:17:16.136926,1
McCook,2020-07-28 20:17:16.136926,1
Meade,2020-07-28 20:17:16.136926,1
Minnehaha,2020-07-28 20:17:16.136926,58
Pennington,2020-07-28 20:17:16.136926,16
Todd,2020-07-28 20:17:16.136926,1
Union,2020-07-28 20:17:16.136926,1
Beadle,2020-07-29 20:25:25.446340,6
Brown,2020-07-29 20:25:25.446340,2
Buffalo,2020-07-29 20:25:25.446340,2
Faulk,2020-07-29 20:25:25.446340,1
Jackson,2020-07-29 20:25:25.446340,1
Jerauld,2020-07-29 20:25:25.446340,1
Lake,2020-07-29 20:25:25.446340,1
Lincoln,2020-07-29 20:25:25.446340,1
McCook,2020-07-29 20:25:25.446340,1
Meade,2020-07-29 20:25:25.446340,1
