County Name,Scrape Time,Total Deaths,Total Negative Cases,Total Positive Cases,Total Recovered Cases
Sully,2020-08-24 19:18:04.086624,0,97,8,4
Todd,2020-08-24 19:18:04.086624,5,2359,76,69
Lincoln,2020-08-25 20:15:30.495215,2,7646,798,690
Lyman,2020-08-25 20:15:30.495215,3,1017,94,83
Marshall,2020-08-25 20:15:30.495215,0,494,15,10
McCook,2020-08-25 20:15:30.495215,1,693,39,33
McPherson,2020-08-25 20:15:30.495215,0,233,10,7
Meade,2020-08-25 20:15:30.495215,1,2201,176,105
Mellette,2020-08-25 20:15:30.495215,0,401,24,24
Miner,2020-08-25 20:15:30.495215,0,270,15,15
Minnehaha,2020-08-25 20:15:30.495215,70,30359,4938,4422
Moody,2020-08-25 20:15:30.495215,0,694,38,30
Oglala Lakota,2020-08-25 20:15:30.495215,2,3010,163,145
Pennington,2020-08-25 20:15:30.495215,33,11825,1082,870
Perkins,2020-08-25 20:15:30.495215,0,208,9,5
Potter,2020-08-25 20:15:30.495215,0,319,4,2
Roberts,2020-08-25 20:15:30.495215,1,1973,91,81
Sanborn,2020-08-25 20:15:30.495215,0,247,13,13
Spink,2020-08-25 20:15:30.495215,0,1228,37,25
Stanley,2020-08-25 20:15:30.495215,0,292,20,19
Sully,2020-08-25 20:15:30.495215,0,97,8,4
Todd,2020-08-25 20:15:30.495215,5,2351,77,69
Lincoln,2020-08-26 20:19:52.085379,2,7647,805,696
Lyman,2020-08-26 20:19:52.085379,3,1016,95,83
Marshall,2020-08-26 20:19:52.085379,0,495,16,10
McCook,2020-08-26 20:19:52.085379,1,693,39,33
McPherson,2020-08-26 20:19:52.085379,0,233,10,7
Meade,2020-08-26 20:19:52.085379,1,2199,179,107
Mellette,2020-08-26 20:19:52.085379,0,402,24,24
Miner,2020-08-26 20:19:52.085379,0,270,15,15
Minnehaha,2020-08-26 20:19:52.085379,70,30370,4954,4450
Moody,2020-08-26 20:19:52.085379,0,694,38,32
Oglala Lakota,2020-08-26 20:19:52.085379,2,3011,163,145
Pennington,2020-08-26 20:19:52.085379,33,11821,1091,877
Perkins,2020-08-26 20:19:52.085379,0,208,9,5
Potter,2020-08-26 20:19:52.085379,0,319,4,2
Roberts,2020-08-26 20:19:52.085379,1,1973,91,81
Sanborn,2020-08-26 20:19:52.085379,0,247,13,13
Spink,2020-08-26 20:19:52.085379,0,1227,38,26
Stanley,2020-08-26 20:19:52.085379,0,292,20,19
Sully,2020-08-26 20:19:52.085379,0,97,8,4
Todd,2020-08-26 20:19:52.085379,5,2351,77,69
Lincoln,2020-08-27 20:09:37.552741,2,7787,830,710
Lyman,2020-08-27 20:09:37.552741,3,1050,99,83
Marshall,2020-08-27 20:09:37.552741,0,509,16,10
McCook,2020-08-27 20:09:37.552741,1,703,41,34
McPherson,2020-08-27 20:09:37.552741,0,243,10,7
Meade,2020-08-27 20:09:37.552741,1,2247,247,113
Mellette,2020-08-27 20:09:37.552741,0,403,24,24
Miner,2020-08-27 20:09:37.552741,0,271,15,15
Minnehaha,2020-08-27 20:09:37.552741,70,30904,5028,4488
Moody,2020-08-27 20:09:37.552741,0,700,39,34
Oglala Lakota,2020-08-27 20:09:37.552741,2,3037,169,146
Pennington,2020-08-27 20:09:37.552741,33,12089,1211,889
Perkins,2020-08-27 20:09:37.552741,0,221,13,5
Potter,2020-08-27 20:09:37.552741,0,328,7,2
Roberts,2020-08-27 20:09:37.552741,1,2044,93,81
