# Deaths Race/Ethnicity: American Indian or Alaska Native (Hispanic),# Deaths Race/Ethnicity: American Indian or Alaska Native (Not Hispanic),# Deaths Race/Ethnicity: American Indian or Alaska Native (Unknown Ethnicity),# Deaths Race/Ethnicity: Asian (Hispanic),# Deaths Race/Ethnicity: Asian (Not Hispanic),# Deaths Race/Ethnicity: Asian (Unknown Ethnicity),# Deaths Race/Ethnicity: Black or African American (Hispanic),# Deaths Race/Ethnicity: Black or African American (Not Hispanic),# Deaths Race/Ethnicity: Black or African American (Unknown Ethnicity),# Deaths Race/Ethnicity: Other Race (Hispanic),# Deaths Race/Ethnicity: Other Race (Not Hispanic),# Deaths Race/Ethnicity: Other Race (Unknown Ethnicity),# Deaths Race/Ethnicity: Unknown Race (Hispanic),# Deaths Race/Ethnicity: Unknown Race (Not Hispanic),# Deaths Race/Ethnicity: Unknown Race (Unknown Ethnicity),# Deaths Race/Ethnicity: White (Hispanic),# Deaths Race/Ethnicity: White (Not Hispanic),# Deaths Race/Ethnicity: White (Unknown Ethnicity),County Name,Report Date,Total Deaths
0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,3,0,TALLAHATCHIE,08/26/2020,13
0,0,0,0,0,0,0,9,2,1,0,0,0,1,0,0,15,4,TATE,08/26/2020,32
0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,2,TIPPAH,08/26/2020,15
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,24,0,TISHOMINGO,08/26/2020,26
0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,2,1,TUNICA,08/26/2020,11
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,3,UNION,08/26/2020,21
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,19,0,WALTHALL,08/26/2020,24
0,1,0,0,0,0,0,15,5,0,1,0,0,0,1,0,17,3,WARREN,08/26/2020,43
0,0,0,0,1,0,0,36,6,0,0,1,0,0,2,0,13,0,WASHINGTON,08/26/2020,59
0,0,0,0,0,0,0,10,1,0,0,3,0,0,0,0,2,5,WAYNE,08/26/2020,21
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,WEBSTER,08/26/2020,13
0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,3,0,WILKINSON,08/26/2020,17
0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,5,0,WINSTON,08/26/2020,19
0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,1,4,0,YALOBUSHA,08/26/2020,11
0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,5,0,YAZOO,08/26/2020,19
1,64,20,0,3,1,2,1020,105,13,12,21,1,2,35,17,940,116,Total,08/26/2020,2373
0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,8,1,ADAMS,08/27/2020,31
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,ALCORN,08/27/2020,6
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,AMITE,08/27/2020,7
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,20,0,ATTALA,08/27/2020,25
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BENTON,08/27/2020,1
0,0,0,0,0,0,0,33,4,0,0,0,0,0,1,0,7,1,BOLIVAR,08/27/2020,46
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,CALHOUN,08/27/2020,10
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,1,CARROLL,08/27/2020,11
1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,8,0,CHICKASAW,08/27/2020,20
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,CHOCTAW,08/27/2020,4
0,0,0,0,0,0,0,10,3,0,0,0,0,0,1,0,2,0,CLAIBORNE,08/27/2020,16
0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,15,0,CLARKE,08/27/2020,28
0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,1,1,CLAY,08/27/2020,14
0,0,0,0,0,0,0,10,4,1,0,0,0,0,0,0,2,0,COAHOMA,08/27/2020,17
0,0,0,0,0,0,0,20,2,0,0,1,0,0,1,2,4,1,COPIAH,08/27/2020,31
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,1,COVINGTON,08/27/2020,17
0,0,0,0,0,0,0,11,6,0,0,0,0,0,2,3,17,4,DESOTO,08/27/2020,43
0,0,0,0,0,0,0,28,2,1,0,0,0,0,1,1,27,1,FORREST,08/27/2020,61
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,FRANKLIN,08/27/2020,3
0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,7,1,GEORGE,08/27/2020,12
0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,7,2,GREENE,08/27/2020,14
0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,9,1,GRENADA,08/27/2020,31
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,1,HANCOCK,08/27/2020,18
0,0,0,0,0,1,0,12,3,0,1,0,0,0,0,1,31,4,HARRISON,08/27/2020,53
0,0,0,0,0,0,1,85,11,1,3,2,0,0,1,0,31,2,HINDS,08/27/2020,137
0,1,0,0,0,0,0,42,7,0,0,0,0,0,0,0,4,0,HOLMES,08/27/2020,54
0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,3,0,HUMPHREYS,08/27/2020,14
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,ISSAQUENA,08/27/2020,3
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,ITAWAMBA,08/27/2020,14
0,0,0,0,1,0,0,18,0,1,0,0,0,0,2,1,33,3,JACKSON,08/27/2020,59
0,0,0,0,0,0,0,7,0,0,1,1,0,0,1,0,3,0,JASPER,08/27/2020,13
0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,JEFFERSON,08/27/2020,8
0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,4,0,JEFFERSON DAVIS,08/27/2020,8
0,0,0,0,0,0,0,23,2,1,0,2,0,0,2,0,35,6,JONES,08/27/2020,71
0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,3,1,KEMPER,08/27/2020,15
0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,19,5,LAFAYETTE,08/27/2020,34
0,0,0,0,0,0,0,5,1,2,0,2,0,0,2,0,7,7,LAMAR,08/27/2020,26
