# Cases Race/Ethnicity: American Indian or Alaska Native (Hispanic),# Cases Race/Ethnicity: American Indian or Alaska Native (Not Hispanic),# Cases Race/Ethnicity: American Indian or Alaska Native (Unknown Ethnicity),# Cases Race/Ethnicity: Asian (Hispanic),# Cases Race/Ethnicity: Asian (Not Hispanic),# Cases Race/Ethnicity: Asian (Unknown Ethnicity),# Cases Race/Ethnicity: Black or African American (Hispanic),# Cases Race/Ethnicity: Black or African American (Not Hispanic),# Cases Race/Ethnicity: Black or African American (Unknown Ethnicity),# Cases Race/Ethnicity: Other Race (Hispanic),# Cases Race/Ethnicity: Other Race (Not Hispanic),# Cases Race/Ethnicity: Other Race (Unknown Ethnicity),# Cases Race/Ethnicity: Unknown Race (Hispanic),# Cases Race/Ethnicity: Unknown Race (Not Hispanic),# Cases Race/Ethnicity: Unknown Race (Unknown Ethnicity),# Cases Race/Ethnicity: White (Hispanic),# Cases Race/Ethnicity: White (Not Hispanic),# Cases Race/Ethnicity: White (Unknown Ethnicity),County Name,Report Date,Total Cases
0,1,1,0,0,0,0,105,18,1,6,56,1,1,221,8,351,99,PEARL RIVER,09/22/2020,869
0,0,1,0,1,0,0,55,25,1,4,32,0,4,81,0,150,59,PERRY,09/22/2020,413
0,1,0,1,2,0,2,496,26,1,17,11,0,5,266,2,366,21,PIKE,09/22/2020,1217
1,0,0,0,1,1,0,130,38,94,7,48,17,8,186,29,457,224,PONTOTOC,09/22/2020,1241
0,2,2,0,0,0,0,112,14,1,7,8,1,3,150,1,449,76,PRENTISS,09/22/2020,826
0,0,0,0,0,0,1,168,74,0,6,29,0,2,63,0,25,7,QUITMAN,09/22/2020,375
0,3,1,2,14,2,5,664,109,86,45,202,2,17,401,14,1346,289,RANKIN,09/22/2020,3202
3,4,4,0,0,0,1,385,41,198,8,30,2,2,150,20,272,48,SCOTT,09/22/2020,1168
0,0,1,0,0,0,0,70,49,1,0,9,0,1,89,0,35,8,SHARKEY,09/22/2020,263
0,2,1,0,0,0,0,267,106,5,7,26,0,25,128,0,354,94,SIMPSON,09/22/2020,1015
0,0,0,0,0,0,0,117,21,2,6,13,0,2,38,0,282,45,SMITH,09/22/2020,526
0,1,0,0,0,0,0,72,15,0,7,30,0,0,56,7,139,33,STONE,09/22/2020,360
0,1,5,0,3,0,3,690,222,1,29,93,0,10,149,2,152,69,SUNFLOWER,09/22/2020,1429
0,0,0,0,0,0,1,258,191,3,7,22,0,5,76,1,86,112,TALLAHATCHIE,09/22/2020,762
0,0,1,0,0,0,3,251,114,5,8,28,1,4,213,5,235,90,TATE,09/22/2020,958
0,0,0,0,1,1,1,68,10,34,7,31,6,2,161,7,258,63,TIPPAH,09/22/2020,650
0,1,0,0,0,0,0,11,1,2,10,13,5,2,63,11,491,55,TISHOMINGO,09/22/2020,665
0,1,0,0,1,0,0,184,64,0,2,10,2,2,178,0,28,9,TUNICA,09/22/2020,481
1,1,0,0,0,0,1,150,38,46,6,10,3,9,150,10,426,132,UNION,09/22/2020,983
0,0,0,0,1,0,0,219,12,1,8,9,0,6,91,2,236,10,WALTHALL,09/22/2020,595
0,3,1,0,3,2,3,581,208,3,18,81,0,6,117,1,269,86,WARREN,09/22/2020,1382
0,0,1,0,1,1,1,1060,339,4,20,243,0,12,264,2,185,53,WASHINGTON,09/22/2020,2186
0,0,0,0,0,0,0,448,57,4,34,83,0,2,30,3,167,49,WAYNE,09/22/2020,877
0,0,1,0,0,0,0,69,7,1,3,9,0,0,22,1,183,36,WEBSTER,09/22/2020,332
0,2,0,0,0,0,1,150,33,0,4,11,0,1,60,0,31,8,WILKINSON,09/22/2020,301
0,0,6,0,0,0,2,222,140,2,5,9,0,1,68,0,135,141,WINSTON,09/22/2020,731
0,0,0,0,0,0,1,159,22,0,4,7,0,0,113,2,94,17,YALOBUSHA,09/22/2020,419
0,3,0,0,2,2,4,549,83,2,2,50,1,4,150,33,138,18,YAZOO,09/22/2020,1041
17,489,782,11,262,74,119,29744,7409,1668,1027,4571,119,424,13540,819,25604,7342,Total,09/22/2020,94021
0,1,0,0,5,0,0,422,86,4,16,25,0,3,48,73,174,69,ADAMS,09/23/2020,926
0,1,0,0,0,1,0,48,7,10,7,25,0,17,238,3,349,80,ALCORN,09/23/2020,786
0,0,0,0,1,0,0,79,19,0,4,8,0,3,69,2,110,26,AMITE,09/23/2020,321
0,2,2,0,0,0,0,258,71,5,6,11,0,1,59,1,184,53,ATTALA,09/23/2020,653
0,0,0,0,0,0,0,62,21,7,1,20,0,2,54,2,28,26,BENTON,09/23/2020,223
0,3,5,0,4,0,4,746,361,5,24,47,0,16,275,3,237,83,BOLIVAR,09/23/2020,1813
0,1,0,1,0,0,0,140,14,28,3,15,0,4,94,21,165,22,CALHOUN,09/23/2020,508
0,0,5,0,0,0,1,88,23,0,1,11,0,1,19,3,108,54,CARROLL,09/23/2020,314
1,0,0,0,0,0,6,288,61,8,7,28,1,2,58,10,170,27,CHICKASAW,09/23/2020,667
0,0,0,0,0,0,0,49,16,0,1,5,0,0,30,0,58,22,CHOCTAW,09/23/2020,181
0,0,0,0,1,0,1,217,92,0,1,25,0,0,87,0,23,12,CLAIBORNE,09/23/2020,459
0,0,0,0,1,0,0,201,16,3,8,20,0,2,36,0,232,51,CLARKE,09/23/2020,570
0,0,1,0,0,0,0,326,50,1,7,18,0,0,34,1,128,19,CLAY,09/23/2020,585
0,0,0,0,0,1,0,395,178,3,11,106,1,7,262,9,123,48,COAHOMA,09/23/2020,1144
0,2,1,0,1,0,3,560,122,48,20,105,1,4,99,5,161,34,COPIAH,09/23/2020,1166
0,0,0,0,0,0,1,229,51,11,3,30,1,6,78,5,326,72,COVINGTON,09/23/2020,813
0,6,0,3,21,6,11,1154,275,144,77,162,18,21,1943,123,1159,354,DESOTO,09/23/2020,5477
0,0,2,0,9,3,3,627,180,114,26,167,5,6,323,21,715,224,FORREST,09/23/2020,2425
0,0,1,0,0,0,0,77,17,0,1,6,0,2,11,1,65,11,FRANKLIN,09/23/2020,192
0,0,0,0,7,1,0,65,97,2,6,36,1,1,79,11,247,206,GEORGE,09/23/2020,759
0,0,1,0,1,0,0,48,21,0,3,37,0,1,39,0,137,71,GREENE,09/23/2020,359
0,0,18,0,0,0,2,543,52,0,14,24,0,4,64,0,280,71,GRENADA,09/23/2020,1072
0,0,0,0,1,0,0,58,9,2,13,36,0,0,73,13,298,69,HANCOCK,09/23/2020,572
5,3,2,1,36,17,5,776,160,44,44,166,2,19,559,101,1332,533,HARRISON,09/23/2020,3805
1,5,3,0,23,7,21,3799,781,79,62,579,5,17,587,27,889,147,HINDS,09/23/2020,7032
0,1,1,0,1,0,0,743,163,2,18,35,0,1,59,0,63,8,HOLMES,09/23/2020,1095
0,0,0,0,1,0,1,186,90,0,2,33,0,1,32,1,20,8,HUMPHREYS,09/23/2020,375
0,0,0,0,0,0,1,49,17,0,0,5,0,2,12,0,14,4,ISSAQUENA,09/23/2020,104
0,0,0,0,0,1,1,26,3,3,3,9,0,3,65,3,472,198,ITAWAMBA,09/23/2020,787
0,5,0,0,33,11,3,419,84,50,25,219,5,12,1335,48,765,416,JACKSON,09/23/2020,3430
0,1,1,0,1,0,0,289,36,0,9,30,1,2,58,0,120,14,JASPER,09/23/2020,562
